text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"02 Jan 2025
					17:17:43",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/53b9ef1725_09bec4e9f3.pdf,Perolehan atau kehilangan kontrak penting [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/c0e899a4d0_2efe6ce461.pdf,20250102_ACES_Laporan Informasi dan Fakta Material_31842027_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/f468efbcae_158e6f853d.pdf,20250102_ACES_Laporan Informasi dan Fakta Material_31842027_lamp1.pdf
"07 Jan 2025
					15:45:11",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/480bb8e1c4_52d7f69990.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/0cb6921ac8_4471bd04f9.pdf,20250107_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31843513_lamp1.pdf,,
"07 Jan 2025
					19:38:02",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce3333e527_1f4ef5c3b1.pdf,Transaksi Afiliasi [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/aa6053f0c7_e36e908e56.pdf,20250107_ACES_Informasi Transaksi Afiliasi_31843682_lamp1.pdf,,
"20 Jan 2025
					15:30:51",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/c63e812906_68d7db97e0.pdf,Konfirmasi Emiten Grup [],ACES,,,,
"02 Jan 2025
					14:58:31",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/51af7b3b65_c77fdedeb3.pdf,Informasi Kurs Konversi Dividen Tunai Interim PT Alamtri Resources Indonesia Tbk (Perseroan) [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/1680b2f58a_c9736d8e6a.pdf,20250102_ADRO_Laporan Informasi dan Fakta Material_31842099_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/e0872d3e58_f5f2bbd6f5.pdf,20250102_ADRO_Laporan Informasi dan Fakta Material_31842099_lamp2.pdf
"07 Jan 2025
					18:43:35",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/996c0285fd_74fa61b010.pdf,Laporan Bulanan Aktivitas Eksplorasi [],ADRO,,,,
"08 Jan 2025
					16:17:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/87f4702bd8_838feba407.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/80b54a471a_d9af15d750.pdf,20250107_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31843617_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/9437f17182_8680131700.pdf,20250107_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31843617_lamp2.pdf
"15 Jan 2025
					16:44:12",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/baaf9a0d65_b647bc20be.pdf,Laporan Pengalihan Kembali Saham Hasil Buy Back [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/45f29ec6ee_25e6497f01.pdf,20250115_ADRO_Laporan Pengalihan Saham Hasil Buy Back_31845763_lamp1.pdf,,
"15 Jan 2025
					16:45:31",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ccceee8771_b457d2baba.pdf,Laporan Pengalihan Kembali Saham Hasil Buy Back [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/e6832fc713_5a06d36f21.pdf,20250115_ADRO_Laporan Pengalihan Saham Hasil Buy Back_31845766_lamp1.pdf,,
"23 Jan 2025
					16:29:20",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/7fe3a4d515_39bdb8d800.pdf,Konfirmasi Emiten Grup [],ADRO,,,,
