text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2,d-iblock href 3,d-iblock 3
"02 Jul 2025
					22:12:55",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/e61f722d85_cde213f1ca.pdf,Transaksi Afiliasi [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/136d27a30c_d5a314c217.pdf,20250702_AADI_Informasi Transaksi Afiliasi_31911050_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/d7e4f35ee4_5a052270f9.pdf,20250702_AADI_Informasi Transaksi Afiliasi_31911050_lamp2.pdf,,
"10 Jul 2025
					18:50:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/324c26299e_8a919f2d1f.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/356c47d2e2_d49664e374.pdf,20250704_AADI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31911708_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/6ca4435d95_b30a26151b.pdf,20250704_AADI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31911708_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/ef9343bd06_8945cf36f3.pdf,20250704_AADI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31911708_lamp3.pdf
"10 Jul 2025
					19:59:25",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/0e98140f99_6e8ae16ee3.pdf,Laporan Bulanan Aktivitas Eksplorasi [],AADI,,,,,,
"15 Jul 2025
					20:06:50",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/587f9996ad_9056f1bf39.pdf,Laporan Penggunaan Dana Hasil Penawaran Umum [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/2680029e47_8b03ef729f.pdf,20250711_AADI_Laporan Penggunaan Dana Hasil Penawaran Umum_31914171_lamp1.pdf,,,,
"18 Jul 2025
					19:30:29",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/381c4d136a_aeb14d37b3.pdf,Rencana Penyampaian Laporan Keuangan Kuartal II 2025 Ditelaah secara terbatas [],AADI,,,,,,
"07 Jul 2025
					15:01:20",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/96946cf6b3_9e98a07bfa.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/5e4da13428_39f5b87c36.pdf,20250707_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31912181_lamp1.pdf,,,,
"31 Jul 2025
					16:49:43",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/20250731181255-56079-0/FinancialStatement-2025-II-ACES.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/20250731181255-56079-0/Checklist%20LK%20AHI%201H25.pdf,Checklist LK AHI 1H25.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/20250731181255-56079-0/FinancialStatement-2025-II-ACES.xlsx,FinancialStatement-2025-II-ACES.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/20250731181255-56079-0/inlineXBRL.zip,inlineXBRL.zip
"02 Jul 2025
					21:24:33",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/a3c0d776f4_eb48d1f292.pdf,Transaksi Afiliasi [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/be230508bd_3bf189cd19.pdf,20250701_ADMR_Informasi Transaksi Afiliasi_31910183_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/ef39751013_c354d6253b.pdf,20250701_ADMR_Informasi Transaksi Afiliasi_31910183_lamp2.pdf,,
"08 Jul 2025
					16:20:38",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/f40ceb7ac2_eedf46dac4.pdf,Laporan Bulanan Aktivitas Eksplorasi [],ADMR,,,,,,
"08 Jul 2025
					16:21:16",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/f95652be77_95f22f895d.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/5ce86eab9c_a41d879fc2.pdf,20250708_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31912663_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/a4413b8ae8_ef2914ffc4.pdf,20250708_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31912663_lamp2.pdf,,
