text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"10 Feb 2025
					10:46:21",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/b463ef3063_11baa52027.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/f4f270ca1b_14eb85f32e.pdf,20250210_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31861095_lamp1.pdf,,
"07 Feb 2025
					10:33:49",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4f08223964_a7d4a5f0e2.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/3756af62d3_4d50b7c6ee.pdf,20250206_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31860145_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/43476ec9f7_505debfb6f.pdf,20250206_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31860145_lamp1.pdf
"07 Feb 2025
					16:24:08",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/b44fd9ddcf_75c30f4728.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/14d00f10b9_b3a6864757.pdf,20250207_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31860528_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/28d4e41079_e80067154a.pdf,20250207_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31860528_lamp1.pdf
"27 Feb 2025
					16:32:32",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/efdaf64226_ab69f8ee68.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/bc24ebae30_4eda827cb2.pdf,20250227_ADRO_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31864968_lamp1.pdf,,
"05 Feb 2025
					17:21:55",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/b35c8f2e06_f9795de721.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/9b7745afb3_43f2ac2b70.pdf,20250205_AKRA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31859785_lamp1.pdf,,
"05 Feb 2025
					17:23:58",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/01f3ed0e80_034a6fd67f.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/887c583785_16be22e274.pdf,20250205_AKRA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31859787_lamp1.pdf,,
"10 Feb 2025
					13:46:16",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4435cae642_e7083c6e23.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/9c9d3c0256_d19545b63b.pdf,20250210_AKRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31861282_lamp1.pdf,,
"11 Feb 2025
					16:28:32",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/ed7572c61b_9f45ac3c9e.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/e8605c1db0_c5eb6321c0.pdf,20250211_AKRA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31861708_lamp1.pdf,,
"12 Feb 2025
					14:12:35",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/bf9652bc74_2f46cc9975.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/71beda3a18_cf4a411619.pdf,20250212_AKRA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31861855_lamp1.pdf,,
"17 Feb 2025
					17:04:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/c949c4c8f1_160faa9e05.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4bf91a9e4b_9f5d5c33e6.pdf,20250217_AKRA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31862874_lamp1.pdf,,
"21 Feb 2025
					11:28:34",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/60f85630ae_de4d0d65b5.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/2cc55fe925_e074cadfab.pdf,20250221_AKRA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31864059_lamp1.pdf,,
"24 Feb 2025
					16:32:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/5df94db76b_bb9a8ed763.pdf,Peningkatan Modal Ditempatkan dan Disetor PT Anugerah Krida Retailindo [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/18df913d25_63db7eaf71.pdf,20250224_AKRA_Laporan Informasi dan Fakta Material_31864397_lamp1.pdf,,
"10 Feb 2025
					14:25:07",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/9ebdae9527_ff9cb782ff.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/75c660d163_b4649d4ba3.pdf,20250204_AMMN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31849137_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/9b96fc03c0_ca99a77bd1.pdf,20250204_AMMN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31849137_lamp2.pdf
"06 Feb 2025
					18:24:04",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/8bc34d630f_705cc35a46.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AMRT,,,,
"28 Feb 2025
					13:34:28",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/b5f4d0f657_d75b4a6ad1.pdf,Penjelasan atas Volatilitas Transaksi [],AMRT,,,,
"07 Feb 2025
					17:42:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/6125517aa7_02d7e14e5e.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ANTM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/c448c09d2a_5eb2c89d8f.pdf,20250207_ANTM_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31860916_lamp1.pdf,,
"26 Feb 2025
					11:14:59",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/9292542e7c_d165e557e9.pdf,"ANTAM Kembali Raih Dua PROPER Emas, Bukti Nyata Komitmen Keberlanjutan []",ANTM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/2e485635cb_bc4e9b7d26.pdf,20250226_ANTM_Laporan Informasi dan Fakta Material_31864788_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/fb48b8ab1d_a785cce33b.pdf,20250226_ANTM_Laporan Informasi dan Fakta Material_31864788_lamp2.pdf
"07 Feb 2025
					16:08:49",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/c35917b9c8_88d7446dae.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ARTO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d3d06c8dc_e01ae767d0.pdf,20250207_ARTO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31860646_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/bdacdc29d6_5904e33960.pdf,20250207_ARTO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31860646_lamp2.pdf
"25 Feb 2025
					21:31:32",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/955c388226_57e0e29737.pdf,Perubahan Anggaran Dasar Perseroan [],ARTO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/57aaed6bde_4d62396b16.pdf,20250225_ARTO_Laporan Informasi dan Fakta Material_31864709_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/8acdfa1f80_0d5d33c93b.pdf,20250225_ARTO_Laporan Informasi dan Fakta Material_31864709_lamp1.pdf
"07 Feb 2025
					17:49:22",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/2ada7883c9_3b393e96fc.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ASII,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/1813dc25fb_2eba7961ef.pdf,20250204_ASII_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31849467_lamp1.pdf,,
"27 Feb 2025
					16:27:21",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202402/20250227163807-49735-0/FinancialStatement-2024-Tahunan-ASII.pdf,Penyampaian Laporan Keuangan Tahunan [],ASII,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202402/20250227163807-49735-0/Astra%20Account%20December%202024.pdf,Astra Account December 2024.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202402/20250227163807-49735-0/FinancialStatement-2024-Tahunan-ASII.xlsx,FinancialStatement-2024-Tahunan-ASII.xlsx
"27 Feb 2025
					16:43:29",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/0915c104d6_4a0ce4b960.pdf,Penyampaian Laporan Keuangan [],ASII,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/26db2758b3_c661d72e7d.pdf,20250227_ASII_Laporan Informasi dan Fakta Material_31865092_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/3b2d3ff6db_e45729fe3d.pdf,20250227_ASII_Laporan Informasi dan Fakta Material_31865092_lamp3.pdf
"06 Feb 2025
					18:44:56",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/5a53a6963d_0ebb4ff3e8.pdf,Laporan Bulanan Registrasi Pemegang Efek [],BBCA,,,,
"10 Feb 2025
					16:37:10",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/5108642506_d8d5040504.pdf,Penjelasan atas Pemberitaan Media Massa [],BBCA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/589f61e7bc_93c98668b9.pdf,20250210_BBCA_Tanggapan atas Permintaan Penjelasan Bursa_31861413_lamp1.pdf,,
"12 Feb 2025
					17:53:18",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/caafd4fa17_08bac90645.pdf,Pemanggilan Rapat Umum Pemegang Saham Tahunan [],BBCA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/1c58753f76_d749ef6224.pdf,20250212_BBCA_Pemanggilan RUPS_31861939_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/ab6aef0547_a60db9569e.pdf,20250212_BBCA_Pemanggilan RUPS_31861939_lamp1.pdf
"12 Feb 2025
					17:54:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/caafd4fa17_08bac90645.pdf,Pemanggilan Rapat Umum Pemegang Saham Tahunan [],BBCA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/1c58753f76_d749ef6224.pdf,20250212_BBCA_Pemanggilan RUPS_31861939_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/ab6aef0547_a60db9569e.pdf,20250212_BBCA_Pemanggilan RUPS_31861939_lamp1.pdf
"12 Feb 2025
					17:55:29",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/caafd4fa17_08bac90645.pdf,Pemanggilan Rapat Umum Pemegang Saham Tahunan [],BBCA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/1c58753f76_d749ef6224.pdf,20250212_BBCA_Pemanggilan RUPS_31861939_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/ab6aef0547_a60db9569e.pdf,20250212_BBCA_Pemanggilan RUPS_31861939_lamp1.pdf
"12 Feb 2025
					18:43:24",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/9a1a195a24_01080c7735.pdf,Penyampaian Laporan Tahunan & Keberlanjutan dan ESG [],BBCA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/0878fedd86_c4c7ccf2a5.pdf,AnnualReport2025-BBCA-att1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/7df5a56d31_ddbaa007c7.pdf,AnnualReport2025-BBCA-att3.pdf
"13 Feb 2025
					17:23:49",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/f389599715_d49ee44e2a.pdf,Penyampaian Bukti Iklan Panggilan RUPS [],BBCA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/14243fb69f_d4dfb61ccb.pdf,20250213_BBCA_Penyampaian Bukti Iklan_31862154_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/b6c5110d30_9919c5d5f9.pdf,20250213_BBCA_Penyampaian Bukti Iklan_31862154_lamp1.pdf
