text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2,d-iblock href 3,d-iblock 3
"06 Mar 2025
					18:50:14",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/4b91b85c1f_7e9967dadc.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/3b7fdb3241_746c059071.pdf,20250306_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31867008_lamp1.pdf,,,,
"03 Mar 2025
					16:10:11",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250303161739-49811-0/FinancialStatement-2024-Tahunan-ADMR.pdf,Penyampaian Laporan Keuangan Tahunan [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250303161739-49811-0/ADMR%20-%20Laporan%20Keuangan%20Desember%202024.pdf,ADMR - Laporan Keuangan Desember 2024.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250303161739-49811-0/ADMR%20-%20OJK%20Checklist%20Desember%202024.pdf,ADMR - OJK Checklist Desember 2024.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250303161739-49811-0/ADMR%20-%20Penyampaian%20Kenaikan%20Aset%20Desember%202024.pdf,ADMR - Penyampaian Kenaikan Aset Desember 2024.pdf
"03 Mar 2025
					21:23:18",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/6803b64ef6_a80033df2d.pdf,News Release Kinerja Keuangan dan Laporan Operasional FY24 [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/6cffc8ba62_81f1a63433.pdf,20250303_ADMR_Laporan Informasi dan Fakta Material_31865813_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/ea22275e0e_0e3fb38be0.pdf,20250303_ADMR_Laporan Informasi dan Fakta Material_31865813_lamp2.pdf,,
"03 Mar 2025
					21:29:00",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/285334ce8c_279d72550b.pdf,Penyampaian Informasi Pemenuhan Kewajiban Public Expose - Tahunan [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/471b9ad88c_d30179b8d2.pdf,20250303_ADMR_Public Expose_31865717_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/5a63e98484_0f14e2962f.pdf,20250303_ADMR_Public Expose_31865717_lamp1.pdf,,
"07 Mar 2025
					18:12:59",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/86a0a6471a_29cddedeba.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/50ce0d56cd_b20c1ce722.pdf,20250226_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31864785_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/6e9cd83eac_8b09c0d9d4.pdf,20250226_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31864785_lamp2.pdf,,
"27 Mar 2025
					19:20:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/1ee9d1e18a_590d7cdda8.pdf,Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/6533eedd3e_70b303bb57.pdf,20250327_ADMR_Pengumuman RUPS_31871657_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/f451e5c522_29cbf3a9b1.pdf,20250327_ADMR_Pengumuman RUPS_31871657_lamp2.pdf,,
"04 Mar 2025
					18:30:42",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250304184041-49831-0/FinancialStatement-2024-Tahunan-ADRO.pdf,Penyampaian Laporan Keuangan Tahunan [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250304184041-49831-0/FinancialStatement-2024-Tahunan-ADRO.xlsx,FinancialStatement-2024-Tahunan-ADRO.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250304184041-49831-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202403/20250304184041-49831-0/instance.zip,instance.zip
"04 Mar 2025
					18:55:47",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/01b3585b10_98e3876a44.pdf,Penyampaian Informasi Pemenuhan Kewajiban Public Expose - Tahunan [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/298ec8bc31_36a1d990a2.pdf,20250304_ADRO_Public Expose_31866229_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/f890830c9b_e69e376102.pdf,20250304_ADRO_Public Expose_31866229_lamp2.pdf,,
"04 Mar 2025
					20:36:08",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/8cac36c423_6cd0e8590b.pdf,News Release Kinerja Keuangan dan Laporan Operasional FY24 [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/a2dcb02c6d_ca8ef319a0.pdf,20250304_ADRO_Laporan Informasi dan Fakta Material_31866237_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/ece0a1e25d_2a568e57c1.pdf,20250304_ADRO_Laporan Informasi dan Fakta Material_31866237_lamp1.pdf,,
"09 Mar 2025
					09:17:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/298706101a_4dba86695c.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/16d3b779a9_b494f0b428.pdf,20250307_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31867488_lamp4.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/ad227a5755_cad3e7edca.pdf,20250307_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31867488_lamp3.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/b76c822a9d_7963b5086e.pdf,20250307_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31867488_lamp2.pdf
"10 Mar 2025
					11:32:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/22c419d359_236d0a3e13.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202503/0307e21b50_11fbfac490.pdf,20250310_AKRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31867779_lamp1.pdf,,,,
