text-small,f-m-20,f-m-20 2,
"02 Apr 2025
					17:53:21",Penyampaian Laporan Keuangan Tahunan [],ACES,"Laporan keuangan ACES menunjukkan pendapatan sebesar Rp8.582.510.248.665, laba periode berjalan sebesar Rp884.715.551.552, dan jumlah aset sebesar Rp8.191.411.810.234."
"02 Apr 2025
					18:59:20",Penyampaian Informasi Pemenuhan Kewajiban Public Expose - Tahunan [],ACES,ACES menyampaikan informasi pemenuhan kewajiban public expose tahunan 
"02 Apr 2025
					18:59:44",Siaran Pers: PT Aspirasi Hidup Indonesia Tbk Mencatatkan Pertumbuhan Kinerja Gemilang [],ACES,ACES merilis siaran pers mengenai pertumbuhan kinerja yang gemilang di tahun sebelumnya
"08 Apr 2025
					16:01:58",Laporan Bulanan Registrasi Pemegang Efek [],ACES,Laporan Bulanan Registrasi Pemegang Efek ACES menunjukkan kenaikan pemegang saham sebanyak 1.379 pemegang
"30 Apr 2025
					20:12:40",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ACES,"Laporan keuangan interim ACES menunjukkan pendapatan sebesar Rp2.136.083.624.591, laba periode berjalan sebesar Rp138.301.498.740, dan jumlah aset sebesar Rp8.443.250.056.986"
"30 Apr 2025
					20:28:20",Penyampaian Laporan Tahunan [],ACES,"Laporan tahunan ACES membahas tentang identitas baru perseroan, kinerja tahun lalu, laporan manajemen, tata kelola dan tanggung jawab sosial dan lingkungan"
"30 Apr 2025
					21:04:41",Penyampaian Laporan Keberlanjutan dan ESG [],ACES,"ACES menyampaikan laporan keberlanjutan dan ESG yang menunjukkan emisi, konsumsi sumber daya, lingkungan kerja dan komitmen perusahaan"
"09 Apr 2025
					16:43:44",Laporan Bulanan Aktivitas Eksplorasi [],ADMR,Laporan Bulanan Aktivitas Eksplorasi ADMR menunjukkan penggunaan biaya sebesar 1.814.585 USD untuk kegiatan pengeboran dan survei geofisika
"09 Apr 2025
					17:07:03",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"Laporan Bulanan Registrasi Pemegang Efek ADMR menunjukkan penurunan jumlah saham free float sebesar 0,08% dan penurunan jumlah pemegang saham sebanyak 331 pemegang"
"22 Apr 2025
					18:30:20",Pemanggilan Rapat Umum Pemegang Saham Tahunan [],ADMR,"ADMR melakukan pemanggilan RUPS Tahunan yang membahas persetujuan laporan tahunan dan laporan keuangan, persetujuan penggunaan laba bersih, penetapan gaji / honorarium anggota direksi dan dewan komisaris serta penunjukan kantor akuntan, perubahan susunan anggota dewan komisaris perseroan, persetujuan pergantian nama perseroan dan penyesuaian anggaran dasar perseroan"
"22 Apr 2025
					20:08:26",Penyampaian Laporan Tahunan [],ADMR,"Laporan tahunan ADMR membahas tentang operasi dan proyek yang dilakukan, laporan kinerja dan keuangan, tata kelola dan laporan manajemen"
"22 Apr 2025
					23:06:47",Penyampaian Laporan Keberlanjutan dan ESG [],ADMR,"Laporan Keberlanjutan dan ESG ADMR menunjukkan emisi, konsumsi daya dan kinerja sosial serta komitmen dan strategi keberlanjutan"
"29 Apr 2025
					17:27:52",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ADMR,"Laporan keuangan ADMR menunjukkan pendapatan sebesar USD199.937.386, laba periode berjalan sebesar USD64.849.488, dan jumlah aset sebesar USD2.239.610.620."
"30 Apr 2025
					17:48:24",Penjelasan atas Pemberitaan Media Massa [],ADMR,ADMR memberikan penjelasan atas pemberitaan kasus korupsi minyak mentah Pertamina yang melibatkan petinggi ADMR
"08 Apr 2025
					16:50:58",Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],ADRO,ADRO memberitahukan rencana RUPS Tahunan yang akan dilakukan dalam bulan mendatang 
"08 Apr 2025
					16:57:56",Rencana Pembelian Kembali Saham PT Alamtri Resources Indonesia Tbk [],ADRO,ADRO mengumumkan rencana pembelian kembali saham sebanyak-banyaknya  Rp4.000.000.000.000
"09 Apr 2025
					16:36:29",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,"Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan penurunan kepemilikan saham Scripless dan kenaikan saham treasury sebesar 1,061% dan kenaikan jumlah pemegang saham sebanyak 1.731 pemegang"
"10 Apr 2025
					16:02:01",Laporan Bulanan Aktivitas Eksplorasi [],ADRO,Laporan Bulanan Aktivitas Eksplorasi ADRO menunjukkan penggunaan biaya sebesar 1.814.585 USD untuk pengeboran open hole dan coring serta survei geofisika
"23 Apr 2025
					17:36:58",Pemanggilan Rapat Umum Pemegang Saham Tahunan [],ADRO,"ADRO melakukan pemanggilan RUPS Tahunan yang membahas persetujuan laporan tahunan, laporan keuangan tahunan, persetujuan penggunaan laba bersih, perubahan susunan anggota dewan komisaris dan direksi perseroan, penetapan gaji atau honorarium anggota dewan komisaris dan direksi perseroan, penunjukan kantor akuntan publik, penyesuaian anggaran dasar perseroan, dan persetujuan atas pembelian kembali saham"
"23 Apr 2025
					22:40:31",Penyampaian Laporan Tahunan [],ADRO,"Laporan tahunan ADRO membahas tentang laporan manajemen, tinjauan korporasi, pembangunan keberlanjutan, mitra dalam pasar modal dan kondisi keuangan"
"23 Apr 2025
					22:56:51",Penyampaian Laporan Keberlanjutan dan ESG [],ADRO,"Laporan keberlanjutan dan ESG ADMR menunjukkan emisi, konsumsi daya dan kinerja sosial serta komitmen dan strategi keberlanjutan"
"30 Apr 2025
					17:44:08",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ADRO,"Laporan keuangan ADRO menunjukkan pendapatan sebesar USD381.619 ribu, laba periode berjalan sebesar USD87.311 ribu, dan jumlah aset sebesar USD6.434.397 ribu."
"05 Apr 2025
					00:10:58",Pemanggilan Rapat Umum Pemegang Saham Tahunan [],AKRA,"AKRA melakukan pemanggilan RUPS Tahunan yang membahas persetujuan laporan tahunan, laporan keuangan tahunan, persetujuan penggunaan laba bersih, perubahan susunan anggota dewan komisaris dan direksi perseroan, penetapan remunerasi bagi anggota direksi dan komisaris untuk tahun ini"
"05 Apr 2025
					17:59:15",Penyampaian Laporan Tahunan [],AKRA,"Laporan tahunan AKRA membahas tentang pencapaian tahunan, analisis dan laporan manajemen, laporan keuangan dan profil perusahaan"
"05 Apr 2025
					20:54:12",Penyampaian Laporan Keberlanjutan dan ESG [],AKRA,"Laporan Keberlanjutan dan ESG AKRA menunjukkan emisi, konsumsi daya dan kinerja sosial serta komitmen dan strategi keberlanjutan"
"05 Apr 2025
					22:26:12",Penyampaian Bukti Iklan Panggilan RUPS [],AKRA,"AKRA menyampaikan bukti iklan panggilan RUPS melalui media situs web perseroan, IDX dan KSEI"
"09 Apr 2025
					19:34:34",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,"Laporan Bulanan Registrasi Pemegang Efek AKRA menunjukkan kenaikan jumlah saham Scripless dimiliki oleh Direksi dan Dewan Komisaris kurang dari 5% dan jumlah saham Scripless dimiliki oleh Pengendali kurang dari 5% serta penurunan jumlah saham free float sebesar 0,02% dan penurunan jumlah pemegang saham sebanyak 630 pemegang"
"09 Apr 2025
					19:35:26",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham seorang direksi yang membeli 2.000.000 saham untuk investasi
"09 Apr 2025
					19:36:16",Peningkatan Modal Ditempatkan dan Disetor PT Andahanesa Abadi [],AKRA,"AKRA melaporkan peningkatan modal sebuah anak perusahaan sejumlah Rp. 10.000.000.000,"
"09 Apr 2025
					20:05:36",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham seorang komisaris pengendali yang membeli 7.310.000 saham untuk investasi
"09 Apr 2025
					20:06:40",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham seorang direksi pengendali yang membeli 1.000.000 saham untuk investasi
"25 Apr 2025
					10:38:06",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AKRA,"Laporan keuangan AKRA menunjukkan pendapatan sebesar Rp10.255.845.950 ribu, laba periode berjalan sebesar Rp604.320.407 ribu, dan jumlah aset sebesar Rp32.640.699.510 ribu."
"29 Apr 2025
					18:20:59",Ringkasan Risalah Rapat Umum Para Pemegang Saham Tahunan [],AKRA,"AKRA memberikan ringkasan risalah RUPS Tahunan yang membahas  persetujuan laporan tahunan, laporan keuangan tahunan, persetujuan penggunaan laba bersih, perubahan susunan anggota dewan komisaris dan direksi perseroan, penetapan remunerasi bagi anggota direksi dan komisaris untuk tahun ini"
"30 Apr 2025
					15:15:52",Penyampaian Bukti Iklan Hasil RUPS [],AKRA,"AKRA menyampaikan bukti iklan hasil RUPS melalui media situs web perseroan, IDX dan KSEI"
"30 Apr 2025
					15:19:05",Keterbukaan Informasi terkait Aksi Korporasi - Dividen Tunai [],AKRA,AKRA memberikan informasi mengenai dividen tunai yang bernilai Rp1.975.281.960.000 dengan nilai per saham sebesar Rp100
"30 Apr 2025
					16:12:04",Penyampaian Bukti Iklan Jadwal Pembagian Dividen tunai final [],AKRA,"AKRA menyampaikan bukti iklan jadwal pembagian dividen tunai melalui media situs web perseroan, IDX dan KSEI"
"10 Apr 2025
					15:32:06",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,"Laporan Bulanan Registrasi Pemegang Efek AMMN menunjukkan penurunan kepemilikan saham pengendali sebesar 0,035%, penurunan kepemilikan saham pemegang >5% sebesar 0,13% dan kenaikan jumlah saham freefloat sebesar 0,1% serta penurunan jumlah pemegang saham sebanyak 274 pemegang"
"10 Apr 2025
					15:32:57",Laporan Bulanan Aktivitas Eksplorasi [],AMMN,"Laporan Bulanan Aktivitas Eksplorasi AMMN menunjukkan penggunaan biaya sebesar 3.585.340 USD untuk pengeboran inti 4 rig, analisis sampel inti, pemetaan geologi dan pemetaan alterasi"
"21 Apr 2025
					12:59:55",Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],AMMN,AMMN memberitahukan rencana RUPS Tahunan yang akan dilakukan dalam bulan mendatang
"23 Apr 2025
					10:25:55",Penyampaian Bukti Iklan Pemberitahuan RUPS [],AMMN,"AMMN menyampaikan bukti iklan pemberitahuan RUPS melalui media situs web perseroan, IDX dan KSEI"
"29 Apr 2025
					19:13:32",Penyampaian Laporan Tahunan [],AMMN,"Laporan tahunan AMMN membahas tentang performa tahunan, tata kelola, profil perusahaan, tanggung jawab sosial, dan laporan keuangan"
"29 Apr 2025
					19:16:31",Penyampaian Laporan Keberlanjutan dan ESG [],AMMN,"Laporan Keberlanjutan dan ESG AMMN menunjukkan emisi, konsumsi daya dan kinerja sosial serta komitmen dan strategi keberlanjutan"
"30 Apr 2025
					13:23:46",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AMMN,"Laporan keuangan AMMN menunjukkan pendapatan sebesar USD 2.124 ribu, rugi periode berjalan sebesar USD 137.630 ribu, dan jumlah aset sebesar USD 11.789.695 ribu"
"30 Apr 2025
					14:12:46",Hasil Kinerja Q1 AMMAN [],AMMN,AMMN melaporkan hasil kinerja Q1 tahun ini
"30 Apr 2025
					14:14:58",Keterbukaan Informasi Rencana Pembelian Kembali Saham Dalam Kondisi Pasar yang Berfluktuasi secara Signifikan [],AMMN,AMMN menyampaikan rencana pembelian kembali saham sebanyak-banyaknya USD 50.000.000
"09 Apr 2025
					16:24:47",Transaksi Afiliasi [],AMRT,AMRT melaporkan transaksi afiliasi antara dua entitas anak atas objek transaksi Pembelian Saham Milik PT Midi Utama Indonesia senilai Rp200.455.446.600
"09 Apr 2025
					16:49:38",Penyampaian Bukti Iklan Transaksi Afiliasi dan/atau Benturan Kepentingan [],AMRT,AMRT menyampaikan bukti iklan transaksi afiliasi  melalui situs web perseroan dan IDX
"10 Apr 2025
					08:41:11",Laporan Bulanan Registrasi Pemegang Efek [],AMRT,"Laporan Bulanan Registrasi Pemegang Efek AMRT menunjukkan penurunan kepemilikan saham milik pengendali sebesar 3% dan penurunan jumlah saham free float sebesar 0,02% serta kenaikan jumlah pemegang saham sebanyak 46 pemegang"
"15 Apr 2025
					11:05:52",Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],AMRT,AMRT memberitahukan rencana RUPS Tahunan yang akan dilakukan dalam bulan mendatang
"15 Apr 2025
					11:42:07",Penyampaian Bukti Iklan Pemberitahuan RUPS [],AMRT,"AMRT menyampaikan bukti iklan pemberitahuan RUPS melalui media situs perseroan, IDX dan KSEI"
"29 Apr 2025
					17:20:05",Penyampaian Laporan Tahunan & Keberlanjutan dan ESG [],AMRT,"Laporan tahunan AMRT membahas tentang laporan keberlanjutan, tata kelola, laporan manajemen, profil perusahaan dan laporan keuangan"
"30 Apr 2025
					11:23:52",Pemanggilan Rapat Umum Pemegang Saham Tahunan [],AMRT,"AMRT melakukan pemanggilan RUPS Tahunan yang membahas persetujuan laporan tahunan, laporan keuangan tahunan, persetujuan penggunaan laba bersih, persetujuan penunjukan kantor akuntan publik dan penentuan honorarium dari anggota dewan komisaris"
"30 Apr 2025
					11:43:04",Penyampaian Bukti Iklan Panggilan RUPS [],AMRT,"AMRT menyampaikan bukti iklan panggilan RUPS melalui media situs web perseroan, IDX dan KSEI"
"30 Apr 2025
					20:55:08",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AMRT,"Laporan keuangan AMRT menunjukkan pendapatan sebesar Rp32.772.512 juta, laba periode berjalan sebesar Rp1.008.326 juta, dan jumlah aset sebesar Rp46.449.188 juta"
"08 Apr 2025
					19:11:27",Penyampaian Laporan Keuangan Tahunan [],ANTM,"Laporan keuangan ANTM menunjukkan pendapatan sebesar Rp69.192.440 juta, laba periode berjalan sebesar Rp3.852.218 juta, dan jumlah aset sebesar Rp44.522.645 juta"
