text-small,f-m-20,f-m-20 2,
"04 Jun 2025
					15:59:39",Laporan Bulanan Registrasi Pemegang Efek [],ACES,"ACES melaporkan registrasi pemegang efek bulanan dengan total saham 17.120.389.700 lembar, pengendali 60%, free float 39,99%, dan jumlah pemegang saham 44.044."
"18 Jun 2025
					13:31:01",Ringkasan Risalah Rapat Umum Para Pemegang Saham Tahunan [],ACES,"ACES menyelenggarakan RUPST dengan kuorum 83,73% dan menyetujui penggunaan laba bersih Rp892.043.887.177, termasuk dividen tunai Rp579.867.599.139 atau Rp33,87 per saham, serta perubahan susunan direksi."
"18 Jun 2025
					16:02:58",Keterbukaan Informasi terkait Aksi Korporasi - Dividen Tunai [],ACES,"ACES mengumumkan dividen tunai dengan total Rp579.867.599.139 atau Rp33,87 per saham, dengan jadwal pembagian tanpa tanggal spesifik."
"18 Jun 2025
					16:03:50","Siaran Pers: PT Aspirasi Hidup Indonesia Tbk Gelar RUPST, Umumkan Pembagian Dividen dan Tegaskan Komitmen Keberlanjutan []",ACES,"ACES menyampaikan siaran pers terkait penyelenggaraan RUPST, pembagian dividen, dan komitmen keberlanjutan, tanpa dampak material terhadap operasional."
"19 Jun 2025
					09:19:56",Penyampaian Bukti Iklan Hasil RUPS [],ACES,ACES menyampaikan bukti iklan hasil RUPS yang dimuat di beberapa media.
"24 Jun 2025
					13:11:34",Perubahan Corporate Secretary [],ACES,ACES mengumumkan perubahan Corporate Secretary dengan pejabat baru menggantikan pejabat lama.
"03 Jun 2025
					23:40:13",Ringkasan Risalah Rapat Umum Para Pemegang Saham Tahunan [],ADMR,"ADMR menyelenggarakan RUPST dengan kuorum 90,701% dan menyetujui penggunaan laba bersih AS$436.656.873, termasuk dividen tunai AS$120.000.000, dana cadangan AS$4.366.569, dan laba ditahan AS$312.290.304, serta perubahan nama perseroan dan susunan pengurus."
"03 Jun 2025
					23:42:14",Perubahan dan/atau Tambahan Keterbukaan Informasi terkait Aksi Korporasi - Dividen Tunai [],ADMR,ADMR mengumumkan dividen tunai dengan total nilai AS$120.000.000 dan jadwal pembagian.
"04 Jun 2025
					16:22:26",Keterbukaan Informasi terkait Aksi Korporasi - Dividen Tunai [],ADMR,ADMR menyampaikan kembali informasi dividen tunai dengan total AS$120.000.000 dan jadwal pembagian.
"04 Jun 2025
					17:29:21",Ringkasan Risalah Rapat Umum Para Pemegang Saham Tahunan (KOREKSI) [],ADMR,"ADMR menyampaikan koreksi atas ringkasan risalah RUPST dengan hasil yang sama, termasuk penggunaan laba bersih AS$436.656.873, dividen tunai AS$120.000.000, dan perubahan nama perseroan."
"04 Jun 2025
					17:31:58",Perubahan Nama PT Adaro Minerals Indonesia Tbk [],ADMR,"ADMR mengumumkan perubahan nama perseroan, tanpa dampak material terhadap operasional."
"05 Jun 2025
					22:11:57",Perubahan Corporate Secretary [],ADMR,"ADMR mengumumkan perubahan Corporate Secretary dengan pejabat baru menggantikan pejabat lama, efektif pada periode tertentu."
"09 Jun 2025
					16:39:00",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"ADMR melaporkan registrasi pemegang efek bulanan dengan total saham 40.882.331.500 lembar, pengendali 84,451%, free float 12,53%, dan jumlah pemegang saham 45.179."
"10 Jun 2025
					16:10:22",Perubahan Nama Emiten [],ADMR,"Bursa mengumumkan perubahan nama emiten ADMR, efektif pada tanggal tertentu."
"16 Jun 2025
					19:06:54",Informasi Kurs Konversi Dividen Tunai PT Alamtri Minerals Indonesia Tbk (Perseroan) [],ADMR,"ADMR mengumumkan kurs konversi dividen tunai sebesar Rp16.293/US$ untuk periode terkait, sehingga total dividen menjadi Rp1.954.993.092.330 atau Rp47,82 per saham atas 40.882.331.500 saham."
"25 Jun 2025
					21:10:15",Transaksi Afiliasi [],ADMR,"ADMR melaporkan transaksi afiliasi pembelian saham perusahaan target senilai Rp572.794.727.400, dengan pihak terafiliasi sebagai lawan transaksi."
"03 Jun 2025
					23:54:44",Ringkasan Risalah Rapat Umum Para Pemegang Saham Tahunan [],ADRO,"ADRO menyampaikan ringkasan RUPST dengan kuorum 85,321%, menyetujui laba bersih USD1.380.012.509 dialokasikan untuk dividen tunai USD500.000.000 (termasuk interim USD200.000.000 dan final USD300.000.000) serta laba ditahan USD880.012.509, disertai perubahan pengurus dan anggaran dasar."
