text-small,f-m-20,f-m-20 2,
"07 Nov 2025
					19:45:12",Jadwal Dividen Tunai Interim [],AADI,AADI menyampaikan jadwal dividen tunai interim senilai USD250.000.000
"10 Nov 2025
					17:51:22",Laporan Bulanan Registrasi Pemegang Efek [],AADI,Laporan Bulanan Registrasi Pemegang Efek AADI menunjukkan penurunan pemegang saham sebanyak 3.364 pemegang
"19 Nov 2025
					17:19:44",Kurs Konversi Dividen Tunai Interim Tahun Ini[],AADI,AADI menyampaikan informasi kurs konversi dividen tunai interim tahun ini sebesar Rp16.760/AS$
"06 Nov 2025
					16:28:15",Laporan Bulanan Registrasi Pemegang Efek [],ACES,Laporan Bulanan Registrasi Pemegang Efek ACES menunjukkan kenaikan pemegang saham sebanyak 1.048 pemegang
"21 Nov 2025
					09:22:54",Perubahan Internal Audit [],ACES,ACES melaporkan perubahan anggota tim internal audit berupa seorang ketua unit internal audit baru
"07 Nov 2025
					16:02:29",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"Laporan Bulanan Registrasi Pemegang Efek ADMR menunjukkan kenaikan kepemilikan saham pengendali sebesar 0,555%, penurunan jumlah saham free float sebesar 0,57% dan penurunan jumlah pemegang saham sebanyak 5.955 pemegang"
"07 Nov 2025
					15:59:13",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan penurunan pemegang saham sebanyak 15.184 pemegang
"07 Nov 2025
					17:32:15",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,Laporan Bulanan Registrasi Pemegang Efek AKRA menunjukkan perubahan jumlah saham scripless dimiliki oleh Afiliasi dari Pengendali kurang dari 5% sebanyak 300.000 saham dan penurunan jumlah pemegang saham sebanyak 512 pemegang
"01 Nov 2025
					10:01:10",AMMAN Peroleh Rekomendasi Ekspor Konsentrat Tembaga dari ESDM [],AMMN,AMMN merilis sebuah press release mengenai perolehan rekomendasi ekspor konsentrat tembaga dari ESDM 
"10 Nov 2025
					16:20:34",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,"Laporan Bulanan Registrasi Pemegang Efek AMMN menunjukkan penurunan kepemilikan saham oleh salah seorang komisaris dan kenaikan kepemilikan saham Scripless sebesar 0,064% dan kenaikan jumlah saham free float sebesar 0,06% serta penurunan jumlah pemegang saham sebanyak 2.333 pemegang"
