text-small,f-m-20,f-m-20 2,
"10 Sep 2025
					19:57:09",Laporan Bulanan Registrasi Pemegang Efek [],AADI,"AADI menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 7.786.891.760, free float 19,49%, dan jumlah pemegang saham 86.404."
"04 Sep 2025
					15:44:24",Laporan Bulanan Registrasi Pemegang Efek [],ACES,"ACES melaporkan registrasi pemegang efek bulanan dengan total saham 17.120.389.700, free float 39,99%, dan jumlah pemegang saham 50.952."
"04 Sep 2025
					18:57:49",Penjelasan atas Permintaan Penjelasan Bursa [],ADMR,"ADMR menyampaikan tanggapan atas permintaan penjelasan bursa, dengan rincian pada lampiran."
"09 Sep 2025
					15:53:56",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"ADMR melaporkan registrasi pemegang efek bulanan dengan total saham 40.882.331.500, free float 12,54%, dan jumlah pemegang saham 48.739."
"16 Sep 2025
					23:12:40",Penjelasan atas Permintaan Penjelasan Bursa [],ADMR,ADMR menyampaikan tanggapan atas permintaan penjelasan bursa terkait laporan keuangan/
"10 Sep 2025
					16:01:31",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,"ADRO melaporkan registrasi pemegang efek bulanan dengan total saham 29.389.689.400, free float 28,67%, dan jumlah pemegang saham 209.253."
"03 Sep 2025
					23:04:51",Penyampaian Materi Public Expose - Tahunan [],AKRA,AKRA menyampaikan materi public expose tahunan.
"10 Sep 2025
					14:03:38",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,"AKRA melaporkan registrasi pemegang efek bulanan dengan total saham 20.073.474.600, free float 32,64%, dan jumlah pemegang saham 28.225."
"12 Sep 2025
					10:01:34",Laporan Hasil Public Expose - Tahunan [],AKRA,AKRA menyampaikan hasil public expose tahunan yang dihadiri 124 peserta di luar manajemen dan karyawan.
"03 Sep 2025
					18:24:42",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,"AMMN melaporkan keterbukaan informasi pemegang saham tertentu berupa pembelian saham oleh seorang komisaris, dengan total kepemilikan setelah transaksi 335.304.360 saham atau 0,462%."
"10 Sep 2025
					15:20:25",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,"AMMN melaporkan registrasi pemegang efek bulanan dengan total saham 72.518.217.656, free float 18,76%, dan jumlah pemegang saham 19.155."
"30 Sep 2025
					21:24:40",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,"AMMN melaporkan transaksi saham oleh seorang komisaris berupa penjualan 20.000.000 saham pada harga 7.675, sehingga kepemilikan setelah transaksi menjadi 315.304.360 saham atau 0,435%."
