text-small,f-m-20,f-m-20 2,
"08 Agt 2025
					21:04:40",Laporan Bulanan Registrasi Pemegang Efek [],AADI,"Laporan Bulanan Registrasi Pemegang Efek AADI menunjukkan kenaikan kepemilikan saham pihak afiliasi dan penurunan kepemilikan saham Scripless sebesar 1,2% dan penurunan jumlah pemegang saham sebanyak 966"
"12 Agt 2025
					19:42:48",Penjelasan atas Pemberitaan Media Massa [],AADI,AADI memberikan klafrifikasi atas salah seorang direktur yang dipanggil menjadi saksi dari Kejaksaan Agung Republik Indonesia untuk didengar dan diperiksa sebagai saksi dalam Penyidikan Perkara Dugaan Tindak Pidana Korupsi Dalam Tata Kelola Minyak Mentah dan Produk Kilang pada PT Pertamina
"29 Agt 2025
					16:00:24",Penyampaian Laporan Keuangan Interim Yang Ditelaah Secara Terbatas [],AADI,"Laporan Keuangan Interim AADI menunjukkan pendapatan sebesar Rp37,77 triliun, laba periode berjalan sebesar Rp7,81 triliun dan total aset sebesar Rp98,83 triliun."
"06 Agt 2025
					17:18:43",Laporan Bulanan Registrasi Pemegang Efek [],ACES,Laporan Bulanan Registrasi Pemegang Efek ACES menunjukkan kenaikan pemegang saham sebanyak 3.840 pemegang
"05 Agt 2025
					16:12:54",Perubahan Alamat/Nomor Telepon/Fax/E-Mail/Website/NPWP/NPKP [],ADMR,ADMR melaporkan perubahan website perseroan 
"08 Agt 2025
					18:55:18",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"Laporan Bulanan Registrasi Pemegang Efek ADMR menunjukkan kenaikan kepemilikan saham Scripless sebesar 0,005% dan kenaikan jumlah saham free float sebesar 0,01% serta penurunan jumlah pemegang saham sebanyak 1.563"
"12 Agt 2025
					20:28:59",Penjelasan atas Pemberitaan Media Massa [],ADMR,ADMR memberikan klafrifikasi atas salah seorang direktur yang dipanggil menjadi saksi dari Kejaksaan Agung Republik Indonesia untuk didengar dan diperiksa sebagai saksi dalam Penyidikan Perkara Dugaan Tindak Pidana Korupsi Dalam Tata Kelola Minyak Mentah dan Produk Kilang pada PT Pertamina
"29 Agt 2025
					21:33:32",Penyampaian Laporan Keuangan Interim Yang Ditelaah Secara Terbatas [],ADMR,"Laporan Keuangan Interim ADMR menunjukkan pendapatan sebesar Rp7,21 triliun, laba periode berjalan sebesar Rp2,25 triliun dan total aset sebesar Rp39,67 triliun"
"08 Agt 2025
					20:04:47",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,"Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan penurunan dan kenaikan kepemilikan saham Scrip dan Scripless sebesar 0,449% dan penurunan jumlah saham free float sebesar 0,44% serta kenaikan jumlah pemegang saham sebanyak 6.295 pemegang"
"12 Agt 2025
					20:24:46",Penjelasan atas Pemberitaan Media Massa [],ADRO,ADRO memberikan klafrifikasi atas salah seorang direktur yang dipanggil menjadi saksi dari Kejaksaan Agung Republik Indonesia untuk didengar dan diperiksa sebagai saksi dalam Penyidikan Perkara Dugaan Tindak Pidana Korupsi Dalam Tata Kelola Minyak Mentah dan Produk Kilang pada PT Pertamina
"26 Agt 2025
					16:31:58",Pencatatan Saham [],ADRO,ADRO melakukan pencatatan saham yang mengurangi 1.368.976.500 saham dari saham treasury
"29 Agt 2025
					19:22:06",Penyampaian Laporan Keuangan Interim Yang Ditelaah Secara Terbatas [],ADRO,"Laporan Keuangan Interim ADRO menunjukkan pendapatan sebesar Rp13,92 triliun, laba periode berjalan sebesar Rp3,16 triliun dan total aset sebesar Rp104,02 triliun"
"29 Agt 2025
					19:24:02",Penjelasan atas Volatilitas Transaksi [],ADRO,ADRO memberikan penjelasan bahwa pihak mereka tidak mengetahui penyebab volitilitas transaksi yang terjadi
"06 Agt 2025
					16:50:44",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik pengendali yang membeli 6.000.000 saham dengan tujuan investasi
"06 Agt 2025
					16:51:21",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik pengendali yang membeli 3.000.000 saham dengan tujuan investasi
"06 Agt 2025
					16:52:18",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik direksi yang membeli 6.000.000 saham dengan tujuan investasi
"06 Agt 2025
					16:52:55",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik direksi yang membeli 6.000.000 saham dengan tujuan investasi
"06 Agt 2025
					16:59:30",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik direksi yang membeli 3.000.000 saham dengan tujuan investasi
"06 Agt 2025
					17:13:02",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik direksi yang membeli 1.800.000 saham dengan tujuan investasi
"06 Agt 2025
					17:14:07",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik direksi yang membeli 1.200.000 saham dengan tujuan investasi
"06 Agt 2025
					17:15:33",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,AKRA melaporkan perubahan kepemilikan saham milik direksi yang membeli 1.200.000 saham dengan tujuan investasi
"08 Agt 2025
					16:15:35",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,Laporan Bulanan Registrasi Pemegang Efek AKRA menunjukkan kenaikan pemegang saham sebanyak 805 pemegang
"25 Agt 2025
					15:30:01",Rencana Penyelenggaraan Public Expose - Tahunan [],AKRA,AKRA menyampaikan rencana penyelenggaraan public expose tahunan yang akan dilakukan dalam bulan mendatang yang membahas laporan kinerja kuartal II serta prospek dan strategi usaha
"07 Agt 2025
					17:29:57",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,AMMN melaporkan perubahan kepemilikan saham milik direksi yang menjual 27.991.800 saham atas alasan investasi pribadi
"07 Agt 2025
					18:01:17",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,"Laporan Bulanan Registrasi Pemegang Efek AMMN menunjukkan penurunan kepemilikan saham pihak luar sebesar 0,221% dan kenaikan jumlah pemegang saham sebanyak 666 pemegang"
"13 Agt 2025
					16:26:43",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,AMMN melaporkan perubahan kepemilikan saham milik direksi yang menjual 26.000.000 saham atas alasan investasi pribadi
"14 Agt 2025
					18:29:31",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,AMMN melaporkan perubahan kepemilikan saham milik direksi yang menjual 3.536.500 saham atas alasan investasi pribadi
"15 Agt 2025
					19:11:42",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,AMMN melaporkan perubahan kepemilikan saham milik direksi yang menjual 40.000.000 saham atas alasan investasi pribadi
