text-small,f-m-20,f-m-20 2,
"08 Des 2025
					19:16:41",Rencana Penyelenggaraan Public Expose - Tahunan [],AADI,AADI mengumumkan rencana Public Expose Tahunan dengan kapasitas fisik terbatas 50 orang.
"09 Des 2025
					19:03:57",Laporan Bulanan Registrasi Pemegang Efek [],AADI,"Laporan Bulanan Registrasi Pemegang Efek AADI menunjukkan kenaikan pemegang saham sebanyak 4.814 pemegang (dari 76.850 menjadi 81.664) dengan free float 18,81%."
"17 Des 2025
					23:18:53",Penyampaian Materi Public Expose - Tahunan [],AADI,AADI menyampaikan materi Public Expose Tahunan 
"24 Des 2025
					16:32:32",Laporan Hasil Public Expose - Tahunan [],AADI,AADI menyampaikan laporan hasil Public Expose Tahunan yang dihadiri 67 peserta.
"08 Des 2025
					16:15:27",Laporan Bulanan Registrasi Pemegang Efek [],ACES,"Laporan Bulanan Registrasi Pemegang Efek ACES menunjukkan kenaikan pemegang saham sebanyak 2.153 pemegang (dari 52.464 menjadi 54.617) dengan free float 39,99%."
"08 Des 2025
					16:34:30",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"Laporan Bulanan Registrasi Pemegang Efek ADMR menunjukkan kenaikan pemegang saham sebanyak 2.795 pemegang (dari 43.120 menjadi 45.915) dengan free float 11,97%."
"08 Des 2025
					16:21:54",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,"Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan kenaikan pemegang saham sebanyak 2.655 pemegang (dari 204.733 menjadi 207.388) dengan free float 28,67%."
"17 Des 2025
					21:06:07",Jadwal Dividen Tunai Interim [],ADRO,ADRO mengumumkan rencana pembagian dividen tunai interim sebesar USD 250.000.000.
"10 Des 2025
					10:43:45",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,"Laporan Bulanan Registrasi Pemegang Efek AKRA menunjukkan penurunan pemegang saham sebanyak 2.655 pemegang (dari 28.157 menjadi 25.502) dengan free float 32,64%."
"09 Des 2025
					14:23:36",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,"Laporan Bulanan Registrasi Pemegang Efek AMMN menunjukkan kenaikan pemegang saham sebanyak 2.288 pemegang (dari 25.642 menjadi 27.930) dengan free float 18,6%."
