text-small,f-m-20,f-m-20 2,
"02 Jul 2025
					22:12:55",Transaksi Afiliasi [],AADI,AADI melaporkan transaksi afiliasi dengan pihak yang dikendalikan oleh perseroan PT Pari Coal dengan objek transaksi berupa Amendemen Perjanjian Pinjaman senilai Rp26.000.000
"10 Jul 2025
					18:50:17",Laporan Bulanan Registrasi Pemegang Efek [],AADI,"Laporan Bulanan Registrasi Pemegang Efek AADI menunjukkan kenaikan jumlah saham scripless dimiliki oleh Afiliasi dari Pengendali kurang dari 5% dari 1.131.034.171 menjadi 1.232.730.171 dan penurunan jumlah saham free float sebesar 0,69% serta penurunan jumlah pemegang saham sebanyak 2.346 pemegang"
"10 Jul 2025
					19:59:25",Laporan Bulanan Aktivitas Eksplorasi [],AADI,Laporan Bulanan Aktivitas Eksplorasi AADI menunjukkan tidak adanya aktivitas eksplorasi yang dilakukan selama beberapa bulan
"15 Jul 2025
					20:06:50",Laporan Penggunaan Dana Hasil Penawaran Umum [],AADI,AADI melaporkan penggunaan dana hasil penawaran umum IPO Saham
"18 Jul 2025
					19:30:29",Rencana Penyampaian Laporan Keuangan Kuartal II Ditelaah secara terbatas [],AADI,AADI menyampaikan rencana penyampaian Laporan Keuangan Kuartal II tahun ini
"07 Jul 2025
					15:01:20",Laporan Bulanan Registrasi Pemegang Efek [],ACES,Laporan Bulanan Registrasi Pemegang Efek ACES menunjukkan kenaikan pemegang saham sebanyak 1.412 pemegang
"31 Jul 2025
					16:49:43",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ACES,"Laporan Keuangan Interim ACES menunjukkan pendapatan sebesar Rp4,268,981,847,408, laba periode berjalan sebesar Rp289,421,229,522 dan total aset sebesar Rp8,503,699,474,347"
"02 Jul 2025
					21:24:33",Transaksi Afiliasi [],ADMR,ADMR melaporkan transaksi afiliasi antara dua perusahaan di bawah kendali perseroan dengan objek transaksi berupa Penambahan Modal senilai Rp947.497.000.000
"08 Jul 2025
					16:20:38",Laporan Bulanan Aktivitas Eksplorasi [],ADMR,Laporan Bulanan Aktivitas Eksplorasi ADMR menunjukkan penggunaan biaya sebesar 3.679.271 USD untuk aktivitas pengeboran dengan open hole dan coring
"08 Jul 2025
					16:21:16",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,Laporan Bulanan Registrasi Pemegang Efek ADMR menunjukkan kenaikan pemegang saham sebanyak 2.833 pemegang
"08 Jul 2025
					16:22:47",Rencana Penyampaian Laporan Keuangan Kuartal II Ditelaah secara terbatas [],ADMR,ADMR menyampaikan rencana penyampaian Laporan Keuangan Kuartal II tahun ini
"28 Jul 2025
					16:47:48",Perubahan Alamat/Nomor Telepon/Fax/E-Mail/Website/NPWP/NPKP [],ADMR,ADMR melaporkan perubahan website perseroan
"02 Jul 2025
					16:32:09",Laporan Pengalihan Kembali Saham Hasil Buy Back [],ADRO,ADRO melaporkan pengalihan kembali saham hasil buyback yang belum dialihkan sebanyak 1.623.753.500 saham
"03 Jul 2025
					16:21:50",Perubahan Alamat/Nomor Telepon/Fax/E-Mail/Website/NPWP/NPKP [],ADRO,"ADRO melaporkan perubahan website, email dan NPWP perseroan"
"09 Jul 2025
					16:00:13",Laporan Bulanan Aktivitas Eksplorasi [],ADRO,Laporan Bulanan Aktivitas Eksplorasi ADRO menunjukkan penggunaan biaya sebesar 3.679.271 USD untuk aktivitas pengeboran dengan open hole dan coring
"10 Jul 2025
					16:35:47",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,"Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan kenaikan kepemilikan saham oleh pihak afiliasi dari 7,772% menjadi 10,415% dan penurunan jumlah saham free float sebesar 0,63% serta kenaikan jumlah pemegang saham sebanyak 12.597 pemegang"
"14 Jul 2025
					16:07:23",Rencana Penyampaian Laporan Keuangan Kuartal II Ditelaah secara terbatas [],ADRO,ADRO menyampaikan rencana penyampaian Laporan Keuangan Kuartal II tahun ini
"10 Jul 2025
					14:37:05",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,Laporan Bulanan Registrasi Pemegang Efek AKRA menunjukkan kenaikan pemegang saham sebanyak 1.451 pemegang
"28 Jul 2025
					09:31:26",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AKRA,"Laporan Keuangan Interim AKRA menunjukkan pendapatan sebesar Rp21,417,873,802 ribu, laba periode berjalan sebesar Rp1,329,800,155 ribu dan total aset sebesar Rp31,794,529,536 ribu"
"28 Jul 2025
					10:08:18",Jadwal Dividen Tunai Interim [],AKRA,AKRA memberikan jadwal dividen tunai interim senilai Rp989.988.480.000 dengan nilai per saham senilai Rp50
"28 Jul 2025
					10:08:46",Laporan Pengalihan Kembali Saham Hasil Buy Back [],AKRA,AKRA melaporkan pengalihan kembali saham hasil buyback sebanyak 15.650.000 saham dengan jumlah saham hasil buyback yang belum dialihkan sebanyak 320.655.000 saham
"30 Jul 2025
					11:09:01",Penyampaian Bukti Iklan Jadwal Pembagian dividen interim [],AKRA,"AKRA menyampaikan bukti iklan jadwal pembagian dividen interim melalui media situs web perseroan, IDX dan KSEI"
"10 Jul 2025
					16:40:41",Laporan Bulanan Aktivitas Eksplorasi [],AMMN,"Laporan Bulanan Aktivitas Eksplorasi AMMN menunjukkan penggunaan biaya sebanyak 2.204.759 USD untuk pengeboran inti 3 rig, survei IP, pemetaan alterasi ASD, 37.742 USD untuk persiapan survei dan akusisi geofisika IP dan 605.062 untuk pengeboran inti 1 rig, pengambilan sampel dan survei IP"
"10 Jul 2025
					16:41:22",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,"Laporan Bulanan Registrasi Pemegang Efek AMMN menunjukkan penurunan kepemilikan saham oleh seorang direksi dari 0,109% menjadi 0,055%, kenaikan saham treasury sebesar 0,069% dan penurunan kepemilikan saham Scripless sebesar 0,015% serta penurunan jumlah pemegang saham sebanyak 2.609 pemegang"
"31 Jul 2025
					10:56:27",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AMMN,"Laporan Keuangan Interim AMMN menunjukkan pendapatan sebesar 182,595 ribu USD, laba periode berjalan sebesar 146,425 ribu usd dan total aset sebesar 12,681,770 ribu USD"
"31 Jul 2025
					11:26:55",Hasil Kinerja H1 AMMAN [],AMMN,AMMN merilis siaran pers mengenai hasil kerja di paruh pertama di tahun ini
"07 Jul 2025
					15:36:50",Laporan Bulanan Registrasi Pemegang Efek [],AMRT,Laporan Bulanan Registrasi Pemegang Efek AMRT menunjukkan kenaikan pemegang saham sebanyak 22 pemegang
"08 Jul 2025
					14:23:01",Investasi PT Sumber Alfaria Trijaya Tbk (Perseroan) di PT Noovoleum Indonesia Investama [],AMRT,AMRT melaporkan investasi di PT Noovoleum Indonesia Investama senilai 1 juta USD
"31 Jul 2025
					12:36:21",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AMRT,"Laporan Keuangan Interim AMRT menunjukkan pendapatan sebesar Rp63,812,732 juta, laba periode berjalan sebesar Rp1,956,129 juta dan total aset sebesar Rp39,491,795 juta"
"04 Jul 2025
					14:26:11","Tata Kelola Unggul, ANTAM Raih Tiga Penghargaan Internasional []",ANTM,"ANTM menyampaikan sebuah rilis berjudul Tata Kelola Unggul, ANTAM Raih Tiga Penghargaan Internasional"
"04 Jul 2025
					18:37:23",ANTAM - IBC Wujudkan Ekosistem Industri EV Terintegrasi Bersama CBL [],ANTM,ANTM menyampaikan sebuah rilis berjudul IBC Wujudkan Ekosistem Industri EV Terintegrasi Bersama CBL
"07 Jul 2025
					17:02:55",Laporan Bulanan Registrasi Pemegang Efek [],ANTM,Laporan Bulanan Registrasi Pemegang Efek ANTM menunjukkan kenaikan pemegang saham sebanyak 403 pemegang
"07 Jul 2025
					17:44:59",57 Tahun ANTAM jadi Pelopor Hilirisasi Mineral Strategis Nasional [],ANTM,ANTM menyampaikan sebuah rilis berjudul 57 Tahun ANTAM jadi Pelopor Hilirisasi Mineral Strategis Nasional
"10 Jul 2025
					17:57:30",ANTAM Raih Apresiasi ICDX Berkat Komitmen Energi Bersih di UBPP Logam Mulia [],ANTM,ANTM menyampaikan sebuah rilis berjudul ANTAM Raih Apresiasi ICDX Berkat Komitmen Energi Bersih di UBPP Logam Mulia
"10 Jul 2025
					18:08:53",Laporan Bulanan Aktivitas Eksplorasi [],ANTM,"Laporan Bulanan Aktivitas Eksplorasi ANTM menunjukkan penggunaan biaya sebesar Rp107.684.228.571 untuk eksplorasi dan penambangan material emas, nikel dan bauksit"
"15 Jul 2025
					19:26:19","Tunjukkan Fundamental Keuangan yang Kuat, ANTAM Bagikan 100% Laba Bersih Tahun Lalu Sebagai Dividen []",ANTM,"ANTM menyampaikan sebuah rilis berjudul Tunjukkan Fundamental Keuangan yang Kuat, ANTAM Bagikan 100% Laba Bersih Tahun Lalu Sebagai Dividen"
"15 Jul 2025
					20:18:03",Laporan Penggunaan Dana Hasil Penawaran Umum [],ANTM,ANTM melaporkan penggunaan dana hasil penawaran umum Right Issue
"16 Jul 2025
					12:20:29",ANTAM Raih Penghargaan Indonesia Original Brand untuk Kategori Logam Mulia [],ANTM,ANTM menyampaikan sebuah rilis berjudul ANTAM Raih Penghargaan Indonesia Original Brand untuk Kategori Logam Mulia
"28 Jul 2025
					20:00:48",Penyampaian Materi pada Acara Medan Investor Meeting & Connectivity [],ANTM,"ANTM menyampaikan materi pada Medan Investor Meeting & Connectivity yang membahas profil perusahaan, operasional, kerjasama dengan negara, target ESG, kondisi finansial dan perkembangan perseroan"
"30 Jul 2025
					17:42:42",Rencana Penyampaian Laporan Keuangan Kuartal II Ditelaah secara terbatas [],ANTM,ANTM menyampaikan rencana penyampaian Laporan Keuangan Kuartal II tahun ini
"31 Jul 2025
					15:39:19",Penyampaian Laporan Kuartalan Periode Triwulan II Tahun Ini[],ANTM,"ANTM menyampaikan laporan kuartalan periode triwulan II tahun ini yang merangkum penjualan, produksi mineral, kegiatan eksplorasi dan aktivitas lainnya"
"07 Jul 2025
					18:14:54",Laporan Bulanan Registrasi Pemegang Efek [],ARTO,Laporan Bulanan Registrasi Pemegang Efek ARTO menunjukkan kenaikan pemegang saham sebanyak 394 pemegang
"24 Jul 2025
					15:48:31",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ARTO,"Laporan Keuangan Interim ARTO menunjukkan pendapatan sebesar Rp1,593,135 juta, laba periode berjalan sebesar Rp127,069 juta dan total aset sebesar Rp32,428,691 juta"
"24 Jul 2025
					16:10:41",Laporan Hasil Pelaksanaan Konversi ESOP MSOP [],ARTO,ARTO melaporkan hasil pelaksanaan konversi ESOP MSOP dengan jumlah yang belum dilaksanakan dan masih berlaku sebanyak 123.019.100 dan 10.000.000 dengan harga pelaksanaan pada Rp2.150
"25 Jul 2025
					11:22:05",Informasi atau Fakta Material lainnya. [],ARTO,ARTO memberikan informasi mengenai penyampaian siaran pers berjudul Bank Jago Konsisten Tumbuh Berkelanjutan Sepanjang Semester I
"02 Jul 2025
					17:02:11",Transaksi Afiliasi [],ASII,ASII melaporkan transaksi afiliasi dengan PT Toyota-Astra Motor dengan objek transaksi berupa Penyewaan Tanah dan Bangunan senilai Rp105.000.000.000
"08 Jul 2025
					17:19:04",Laporan Bulanan Registrasi Pemegang Efek [],ASII,Laporan Bulanan Registrasi Pemegang Efek ASII menunjukkan perubahan minor jumlah saham scripless dimiliki oleh Direksi dan Dewan Komisaris kurang dari 5% dan jumlah saham free float serta penurunan jumlah pemegang saham sebanyak 1.747 pemegang
"30 Jul 2025
					17:20:38",Penyampaian Laporan Keuangan [],ASII,ASII menyampaikan laporan keuangan yang menunjukkan nilai ekuitas sebesar Rp278.754 miliar dan pendapatan sebesar Rp162.857 miliar
"30 Jul 2025
					19:55:23",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ASII,"Laporan Keuangan Interim ASII menunjukkan pendapatan sebesar Rp162,857 miliar, laba periode berjalan sebesar Rp19,481 miliar dan total aset sebesar Rp487,794 miliar"
"03 Jul 2025
					17:48:30",Laporan Bulanan Registrasi Pemegang Efek [],BBCA,"Laporan Bulanan Registrasi Pemegang Efek BBCA menunjukkan penurunan kepemilikan saham seorang komisaris sebesar 0,087%, kenaikan jumlah saham free float sebesar 0,09% dan kenaikan jumlah pemegang saham sebanyak 22.761 pemegang"
"04 Jul 2025
					17:24:18",Jatuh Tempo Obligasi / Sukuk Korporasi [],BBCA,Bursa menyampaikan jatuh tempo Obligasi Subordinasi Berkelanjutan I milik BBCA
"28 Jul 2025
					16:00:46",Penyampaian Materi pada Acara Medan Investor Meeting & Connectivity [],BBCA,"BBCA menyampaikan materi pada acara Medan Investor Meeting & Connectivity yang membahas profil perusahaan, aplikasi mobile, target ESG, dan performa finansial"
"29 Jul 2025
					15:58:57",Laporan Pengalihan Kembali Saham Hasil Buy Back [],BBCA,BBCA melaporkan pengalihan kembali saham hasil buyback dengan jumlah saham hasil buy back yang belum dialihkan sebanyak 28.317.500 saham
"30 Jul 2025
					16:46:38",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BBCA,"Laporan Keuangan Interim BBCA menunjukkan pendapatan sebesar Rp49,313,964 juta, laba periode berjalan sebesar Rp30,027,910 juta dan total aset sebesar Rp1,504,118,975 juta"
"30 Jul 2025
					17:57:47","Penyampaian Press Release terkait Informasi Ringkasan Kinerja Keuangan Semester I Tahun Ini (unaudited) PT Bank Central Asia Tbk (""Perseroan"") []",BBCA,BBCA menyampaikan press release terkait informasi ringkasan kinerja keuangan paruh pertama tahun ini
"31 Jul 2025
					17:42:39",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BBCA,BBCA menyampaikan bukti iklan informasi laporan keuangan interim melalui media situs web perseroan dan IDX
