text-small,f-m-20,f-m-20 2,
"06 Mar 2025
					18:50:14",Laporan Bulanan Registrasi Pemegang Efek [],ACES,Laporan Bulanan Registrasi Pemegang Efek ACES menunjukkan penurunan pemegang saham sebanyak 964 pemegang
"03 Mar 2025
					16:10:11",Penyampaian Laporan Keuangan Tahunan [],ADMR,"Laporan keuangan ADMR menunjukkan pendapatan sebesar $1,15 Miliar dan laba tahun berjalan sebesar $434,77 Juta dan kenaikan total aset sebesar $370 Miliar"
"03 Mar 2025
					21:23:18",News Release Kinerja Keuangan dan Laporan Operasional [],ADMR,"ADMR melakukan news release mengenai kinerja keuangan dan laporan operasional yang dilakukan pada tahun sebelumnya yang mencapai target yang dituju dan mencatatkan penghasilan, insiden dan penghargaan yang didapatkan"
"03 Mar 2025
					21:29:00",Penyampaian Informasi Pemenuhan Kewajiban Public Expose - Tahunan [],ADMR,"ADMR menyampaikan informasi tentang pemenuhan kewajiban public expose yang disampaikan mencakup progres, infrastruktur, kewajiban dan tanggung jawab sosial."
"07 Mar 2025
					18:12:59",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"Laporan Bulanan Registrasi Pemegang Efek ADMR menunjukkan kenaikan kepemilikan saham oleh pengendali sebesar 0,166% serta penurunan jumlah saham free float sebesar 0,27% dan kenaikan jumlah kepemilikan saham sebanyak 964 pemegang"
"27 Mar 2025
					19:20:37",Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],ADMR,ADMR memberitahukan rencana RUPS Tahunan yang akan dilakukan dua bulan mendatang secara fisik
"04 Mar 2025
					18:30:42",Penyampaian Laporan Keuangan Tahunan [],ADRO,"Laporan keuangan ADRO menunjukkan pendapatan sebesar $2,08 Miliar dan laba bersih sebesar $1,56 Miliar dengan total aset sebesar $6,70 miliar dan jumlah ekuitas $5,37 miliar"
"04 Mar 2025
					18:55:47",Penyampaian Informasi Pemenuhan Kewajiban Public Expose - Tahunan [],ADRO,"ADRO menyampaikan informasi tentang pemenuhan kewajiban public expose yang disampaikan mencakup ringkasan operasional, progres, penggunaan sumber daya terbarukan, dan keberlanjutan"
"04 Mar 2025
					20:36:08",News Release Kinerja Keuangan dan Laporan Operasional FY24 [],ADRO,"ADMR melakukan news release mengenai kinerja keuangan dan laporan operasional yang dilakukan pada tahun sebelumnya yang berfokus pada keunggulan operasional, pengendalian biaya, pendapatan dan energi terbarukan"
"09 Mar 2025
					09:17:36",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,"Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan penurunan pemegang saham Scripless dan kenaikan saham treasury sebesar 0,249%, penurunan jumlah saham free float sebesar 0,24% dan penurunan jumlah pemegang saham sejumlah 2.123 pemegang"
"10 Mar 2025
					11:32:45",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,"Laporan Bulanan Registrasi Pemegang Efek AKRA menunjukkan kenaikan kepemilikan saham oleh pengendali sebesar 0,07% dan komisaris pengendali sebesar 0,14% serta penurunan jumlah saham free float sebesar 0,21% dan penurunan jumlah kepemilikan saham sebanyak 474 pemegang"
"19 Mar 2025
					01:10:59",Penyampaian Laporan Keuangan Tahunan [],AKRA,"Laporan keuangan AKRA menunjukkan penjualan dan pendapatan usaha sebesar Rp38,73 triliun dengan total aset meningkat menjadi Rp33,11 triliun"
"21 Mar 2025
					14:41:09",Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],AKRA,AKRA memberitahukan rencana RUPS Tahunan yang akan dilakukan di bulan mendatang secara fisik
"21 Mar 2025
					15:42:10",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,"AKRA melaporkan perubahan kepemilikan saham oleh direksi yang membeli sejumlah 0,005% saham untuk investasi "
"21 Mar 2025
					15:42:39",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,"AKRA melaporkan perubahan kepemilikan saham oleh direksi yang membeli sejumlah 0,004% saham untuk investasi "
"21 Mar 2025
					17:56:34",Penyampaian Bukti Iklan Pemberitahuan RUPS [],AKRA,"AKRA menyampaikan bukti iklan pemberitahuan RUPS yang dilakukan melalui media situs web Bursa Efek Indonesia, situs web KSEI dan situs web perseroan"
"26 Mar 2025
					17:17:24",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,"AKRA melaporkan perubahan kepemilikan saham oleh komisaris pengendali yang membeli sejumlah 0,0147% saham untuk investasi "
"28 Mar 2025
					10:03:47",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,"AKRA melaporkan perubahan kepemilikan saham oleh komisaris pengendali yang membeli sejumlah 0,007% saham untuk investasi "
"10 Mar 2025
					14:48:07",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,Laporan Bulanan Registrasi Pemegang Efek AMMN menunjukkan kenaikan pemegang saham sebanyak 1.752 pemegang
"20 Mar 2025
					14:28:26",Penyampaian Laporan Keuangan Tahunan [],AMMN,"Laporan keuangan tahunan AMMN menunjukkan pendapatan sebesar $2,66 Miliar serta kenaikan laba bersih berjalan yang mencapai $636,9 Juta"
"20 Mar 2025
					14:40:21",Hasil Kinerja Tahunan AMMAN [],AMMN,"AMMN memberitahukan hasil kinerja tahunan pada tahun lalu yang mencakup kenaikan angka produksi emas, tembaga dan semen serta kenaikan penjualan sebesar 31% dari tahun sebelumnya"
"20 Mar 2025
					15:56:38",Penyampaian Informasi Pemenuhan Kewajiban Public Expose - Tahunan [],AMMN,"AMMN menyampaikan informasi tentang pemenuhan kewajiban public expose yang disampaikan mencakup ringkasan operasional, proyek ekspansi dan kondisi keuangan"
"06 Mar 2025
					14:55:48",Laporan Bulanan Registrasi Pemegang Efek [],AMRT,"Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan penurunan  jumlah saham free float sebesar 0,06% dan kenaikan jumlah pemegang saham sejumlah 4.543 pemegang"
"21 Mar 2025
					13:26:06",Penyampaian Laporan Keuangan Tahunan [],AMRT,"Laporan keuangan AMRT menunjukkan pertumbuhan penjualan sebesar 10,55% menjadi Rp118,23 triliun, didukung oleh peningkatan total aset hingga mencapai Rp38,80 triliun dan penurunan laba bersih sebesar 7,58% menjadi Rp3,22 triliun"
"27 Mar 2025
					15:56:44",Laporan Kepemilikan Saham [],AMRT,AMRT melaporkan perubahan kepemilikan saham oleh pengendali yang menjual sejumlah 3% saham atas alasan divestasi
"27 Mar 2025
					17:05:24",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMRT,"AMRT melaporkan perubahan kepemilikan saham oleh komisaris yang membeli sejumlah 0,0012% saham untuk investasi "
"27 Mar 2025
					17:16:29",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMRT,"AMRT melaporkan perubahan kepemilikan saham oleh komisaris yang menjual sejumlah 0,0176% saham atas alasan divestasi"
"27 Mar 2025
					21:13:10",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMRT,AMRT melaporkan perubahan kepemilikan saham oleh pengendali yang menjual sejumlah 3% saham atas alasan divestasi
"10 Mar 2025
					09:54:11","Spesial Ramadan dan Idulfitri, ANTAM Hadirkan Emas Masjid Damaskus []",ANTM,ANTM Merilis Emas Tematik dengan tema khusus untuk menyambut bulan Ramadan dan Idulfitri
"10 Mar 2025
					09:54:11",Laporan Bulanan Registrasi Pemegang Efek [],ANTM,Laporan Bulanan Registrasi Pemegang Efek ANTM menunjukkan penurunan pemegang saham sebanyak 11.032 pemegang
