text-small,f-m-20,f-m-20 2,
"07 Mei 2025
					17:44:05",Pengunduran Diri  Anggota Direksi PT Aspirasi Hidup Indonesia Tbk [],ACES,ACES menerima pengunduran diri seorang direktur dan akan mengajukan persetujuan pengunduran diri tersebut dalam RUPS Tahunan.
"08 Mei 2025
					18:01:11",Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],ACES,"ACES mengumumkan rencana RUPS Tahunan untuk tahun buku terkait, dengan lokasi hybrid dan tanggal pencatatan pemegang saham yang berhak hadir."
"09 Mei 2025
					18:54:40",Penyampaian Bukti Iklan Pemberitahuan RUPS [],ACES,"ACES menyampaikan bukti iklan pemberitahuan RUPS Tahunan yang dimuat di situs web bursa, situs perseroan, dan situs kustodian sentral."
"20 Mei 2025
					16:31:20",Pemanggilan Rapat Umum Pemegang Saham Tahunan [],ACES,"ACES menyampaikan pemanggilan RUPS Tahunan dengan agenda persetujuan laporan tahunan dan laporan keuangan, penetapan penggunaan laba bersih, penunjukan auditor, remunerasi, dan perubahan susunan pengurus."
"22 Mei 2025
					17:10:52",Penyampaian Bukti Iklan Panggilan RUPS [],ACES,"ACES menyampaikan bukti iklan pemanggilan RUPS Tahunan yang dimuat di situs web bursa, situs perseroan, dan situs kustodian sentral."
"07 Mei 2025
					16:52:17",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,"ADMR melaporkan registrasi pemegang efek bulanan dengan total saham tercatat 40.882.331.500 lembar, pengendali 84,379%, free float 5.149.982.314 lembar (12,6%), dan jumlah pemegang saham naik 2.314 menjadi 44.232."
"09 Mei 2025
					19:44:16",Perubahan Jadwal Rapat Umum Pemegang Saham Tahunan [],ADMR,"ADMR mengumumkan perubahan jadwal RUPS Tahunan untuk tahun buku terkait, dengan agenda antara lain persetujuan laporan tahunan, penggunaan laba bersih, penunjukan auditor, remunerasi, perubahan susunan pengurus, perubahan nama perseroan, dan penyesuaian anggaran dasar."
"26 Mei 2025
					18:21:41",Penjelasan atas Volatilitas Transaksi [],ADMR,"ADMR menyampaikan penjelasan atas volatilitas transaksi efek, menyatakan tidak mengetahui adanya informasi atau fakta material yang dapat mempengaruhi nilai efek atau keputusan investasi, tidak memiliki rencana tindakan korporasi dalam waktu dekat, dan pemegang saham utama berorientasi nilai tambah jangka panjang."
"05 Mei 2025
					16:49:51",Perubahan Internal Audit [],ADRO,"ADRO mengumumkan perubahan ketua unit internal audit, efektif pada periode terkait, dengan pejabat baru menggantikan pejabat lama."
"08 Mei 2025
					16:58:31",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,"ADRO melaporkan registrasi pemegang efek bulanan dengan total saham tercatat 30.758.665.900 lembar, pengendali 52,089%, free float 9.182.787.783 lembar (29,85%), dan jumlah pemegang saham naik 9.724 menjadi 165.235."
"09 Mei 2025
					18:10:35",Perubahan Jadwal Rapat Umum Pemegang Saham Tahunan [],ADRO,"ADRO mengumumkan perubahan jadwal RUPS Tahunan dengan agenda antara lain persetujuan laporan tahunan, penggunaan laba bersih, penunjukan auditor, remunerasi, perubahan susunan pengurus, penyesuaian anggaran dasar, persetujuan buyback, dan perubahan pasal terkait pengurangan modal."
"14 Mei 2025
					17:01:40",Perubahan Informasi Rencana Pembelian Kembali Saham PT Alamtri Resources Indonesia Tbk (KOREKSI) [],ADRO,ADRO mengoreksi informasi rencana pembelian kembali saham berdasarkan regulasi terkait
"15 Mei 2025
					16:38:37",Keterbukaan Informasi Dalam Rangka Pembelian Kembali Saham Berdasarkan POJK 13 tahun 2023 [],ADRO,ADRO menyampaikan keterbukaan informasi dalam rangka pembelian kembali saham berdasarkan regulasi terkait.
"07 Mei 2025
					11:34:30",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,"AKRA melaporkan registrasi pemegang efek bulanan dengan total saham tercatat 20.073.474.600 lembar, pengendali 65,44%, free float 6.533.416.150 lembar (32,55%), dan jumlah pemegang saham naik 664 menjadi 24.942."
