text-small,f-m-20,f-m-20 2,d-iblock,d-iblock 2,d-iblock 3,d-iblock 4,d-iblock 5,
"10 Okt 2025
					19:04:12",Laporan Bulanan Registrasi Pemegang Efek [],AADI,20251007_AADI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965104_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek AADI menunjukkan perubahan saham scripless dari 19,4863% menjadi 18,8104%, penurunan porsi free float dari 19,49% menjadi 18,81% dan penurunan jumlah pemegang saham sejumlah 6.190 pemegang"
"10 Okt 2025
					20:26:45",Laporan Bulanan Aktivitas Eksplorasi [],AADI,,,,,,AADI menyatakan bahwa aktivitas eksplorasi oleh PT Pari Coal berupa pemodelan geologi dan kajian aspek penambangan di area Nyerubungan tanpa mengeluarkan biaya eksplorasi
"31 Okt 2025
					19:19:17",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AADI,Director Statement AAI 30 September 2025.pdf,FinancialStatement-2025-III-AADI.xlsx,FS Adaro Andalan Indonesia Tbk 30 September 2025.pdf,inlineXBRL.zip,instance.zip,"Laporan keuangan AADI yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 587,32 juta. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 3,61 miliar. Selain itu, total aset AADI tercatat mencapai 6,11 miliar pada akhir periode tersebut"
"06 Okt 2025
					16:56:56",Laporan Bulanan Registrasi Pemegang Efek [],ACES,20251006_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964900_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek ACES menunjukkan peningkatan pemegang saham sebanyak 464 pemegang.
"31 Okt 2025
					15:44:08",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ACES,Checklist LK AHI 3Q25.pdf,Cover Letter LK 3Q25.pdf,FinancialStatement-2025-III-ACES.xlsx,inlineXBRL.zip,instance.zip,"Laporan keuangan ACES yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 476,74 milliar. Sepanjang periode sembilan bulan tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 6,23 triliun. Selain itu, total aset ACES mencapai 8,16 triliun pada akhir periode tersebut"
"08 Okt 2025
					16:04:05",Laporan Bulanan Registrasi Pemegang Efek [],ADMR,20251006_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964876_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek ADMR menunjukkan peningkatan pemegang saham sebanyak 336 pemegang.
"08 Okt 2025
					16:04:48",Laporan Bulanan Aktivitas Eksplorasi [],ADMR,,,,,,ADMR melaporkan bahwa aktivitas eksplorasi oleh PT Maruwai Coal berupa pengeboran open hole dan coring di area East Maruwai dengan total biaya sebesar 5.201.426
"13 Okt 2025
					20:45:58",Penjelasan atas Permintaan Penjelasan Bursa [],ADMR,20251013_ADMR_Tanggapan atas Permintaan Penjelasan Bursa_31967103_lamp1.pdf,,,,,ADMR menyampaikan surat tanggapan kepada PT Bursa Efek Indonesia (BEI) atas surat permintaan penjelasan dari BEI perihal klarifikasi atau penjelasan tertulis dari perseroan
"13 Okt 2025
					20:48:14",Penjelasan atas Volatilitas Transaksi [],ADMR,,,,,,"ADMR memberikan penjelasan kepada PT Bursa Efek Indonesia terkait volatilitas transaksi efek dengan menyatakan tidak ada informasi material, kejadian penting, atau rencana aksi korporasi yang belum diungkapkan kepada publik"
"31 Okt 2025
					17:39:12",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ADMR,ADMR - Directors Statement 30 Sep 2025.pdf,ADMR - Kenaikan Aset  Liabilitas September 2025.pdf,ADMR - Laporan Keuangan Konsolidasian 30 Sept 2025.pdf,FinancialStatement-2025-III-ADMR.xlsx,inlineXBRL.zip,"Laporan keuangan ADMR yang tidak diaudit menunjukkan kinerja keuangan dengan perolehan laba bersih mencapai 3,36 triliun. Sepanjang periode tersebut, pendapatan usaha perseroan tercatat sebesar 11,26 triliun, sementara total aset ADMR tumbuh dan mencapai 44,21 triliun pada akhir periode tersebut"
"08 Okt 2025
					16:05:13",Laporan Bulanan Registrasi Pemegang Efek [],ADRO,20251007_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965267_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek ADRO menunjukkan peningkatan pemegang saham sebanyak 10.664 pemegang
