text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"10 Sep 2025
					19:57:09",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/bf8e10fb7d_27d543b604.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/8ef261368c_4dcfae04f1.pdf,20250903_AADI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31937232_lamp1.pdf,,
"04 Sep 2025
					15:44:24",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/00a6541a4f_1f60dfbe94.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/9d203aebae_ee348759d6.pdf,20250904_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31937502_lamp1.pdf,,
"04 Sep 2025
					18:57:49",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/64c3127996_eeac88ced2.pdf,Penjelasan atas Permintaan Penjelasan Bursa [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/d286c2ef8f_30f8930487.pdf,20250904_ADMR_Tanggapan atas Permintaan Penjelasan Bursa_31937813_lamp1.pdf,,
"09 Sep 2025
					15:53:56",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/a5f4987596_89f98d3136.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/50b46e5695_bb37b5324b.pdf,20250908_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31938176_lamp1.pdf,,
"16 Sep 2025
					23:12:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/09034b4f0d_4e255d2e18.pdf,Penjelasan atas Permintaan Penjelasan Bursa [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/4496609a5b_f61f933053.pdf,20250916_ADMR_Tanggapan atas Permintaan Penjelasan Bursa_31950390_lamp1.pdf,,
"10 Sep 2025
					16:01:31",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/c6359b417f_1a744bfb03.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/532e8ad5bb_80e1b6ee87.pdf,20250909_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31938749_lamp1.pdf,,
"03 Sep 2025
					23:04:51",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/3c9bb04015_15181b5d84.pdf,Penyampaian Materi Public Expose - Tahunan [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/1840e9bb1c_a6f18bde18.pdf,20250903_AKRA_Public Expose_31937245_lamp1.pdf,,
"10 Sep 2025
					14:03:38",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/75d430ffe0_6f595be01e.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/ee70008277_c5c80916e5.pdf,20250910_AKRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31939040_lamp1.pdf,,
"12 Sep 2025
					10:01:34",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/2934c887f3_d7e6cebaf6.pdf,Laporan Hasil Public Expose - Tahunan [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/42aa0fa181_8290d1a1f7.pdf,20250912_AKRA_Public Expose_31939660_lamp1.pdf,,
"03 Sep 2025
					18:24:42",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/48c1639f7e_4f888c8a40.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/febfd04fb9_a79613bacb.pdf,20250903_AMMN_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31937209_lamp1.pdf,,
"10 Sep 2025
					15:20:25",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/026da06c01_2f107233bf.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/11e379f4b6_884058d214.pdf,20250909_AMMN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31938679_lamp3.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/4c2619e409_5c7eda2660.pdf,20250909_AMMN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31938679_lamp1.pdf
"30 Sep 2025
					21:24:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/7fea6bb8cd_5cc4e6c5c1.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/0cf2ea1f76_616cb395d5.pdf,20250925_AMMN_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31952316_lamp1.pdf,,
"08 Sep 2025
					15:04:00",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/fe4c094424_60ec1d7539.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AMRT,,,,
"08 Sep 2025
					18:17:06",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/70717bb1da_8ceeea0447.pdf,Penyampaian Materi Public Expose - Tahunan [],ANTM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/0b39141df2_84791ec251.pdf,20250908_ANTM_Public Expose_31938448_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/d05ac977b6_9bec5125a7.pdf,20250908_ANTM_Public Expose_31938448_lamp2.pdf
"09 Sep 2025
					14:41:10",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/8643ed85a1_2844a958ce.pdf,Penyampaian Materi Public Expose - Tahunan (KOREKSI) [],ANTM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/300d771a08_deface76f1.pdf,20250909_ANTM_Public Expose_31938712_lamp1.pdf,,
"09 Sep 2025
					14:56:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/8a5d7eb8c4_893ae94862.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ANTM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/ed4aa9b955_d46409fecc.pdf,20250909_ANTM_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31938730_lamp1.pdf,,
