text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"08 Agt 2025
					21:04:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/4e3f5e30ac_fc2c8b631a.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/08df3d4367_2a71f95a34.pdf,20250804_AADI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31929976_lamp1.pdf,,
"12 Agt 2025
					19:42:48",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/aab7a16298_83e31af871.pdf,Penjelasan atas Pemberitaan Media Massa [],AADI,,,,
"29 Agt 2025
					16:00:24",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20250829160945-57390-0/FinancialStatement-2025-II-AADI.pdf,Penyampaian Laporan Keuangan Interim Yang Ditelaah Secara Terbatas [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20250829160945-57390-0/Checklist%20Pengungkapan%20LK%20AADI%2030%20Juni%202025.pdf,Checklist Pengungkapan LK AADI 30 Juni 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20250829160945-57390-0/Director%20Statement%20AADI%2030%20June%202025.pdf,Director Statement AADI 30 June 2025.pdf
"06 Agt 2025
					17:18:43",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/1841f6dd31_371b92af02.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/4d1e56bef5_3a470ce80d.pdf,20250806_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31930897_lamp1.pdf,,
"05 Agt 2025
					16:12:54",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/56549a89bd_cff8673cd7.pdf,Perubahan Alamat/Nomor Telepon/Fax/E-Mail/Website/NPWP/NPKP [],ADMR,,,,
"08 Agt 2025
					18:55:18",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/086ac468bd_0be6723328.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/d0610811b9_1ca80244b5.pdf,20250806_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31930844_lamp1.pdf,,
"12 Agt 2025
					20:28:59",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/4555f6bd2d_118645fa75.pdf,Penjelasan atas Pemberitaan Media Massa [],ADMR,,,,
"29 Agt 2025
					21:33:32",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/20250902162007-57445-0/FinancialStatement-2025-II-ADMR.pdf,Penyampaian Laporan Keuangan Interim Yang Ditelaah Secara Terbatas [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/20250902162007-57445-0/ADMR%20-%20Kenaikan%20Liabilitas%20Juni%202025.pdf,ADMR - Kenaikan Liabilitas Juni 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/20250902162007-57445-0/ADMR%20-%20Laporan%20Keuangan%20Konsolidasian%2030%20Juni%202025.pdf,ADMR - Laporan Keuangan Konsolidasian 30 Juni 2025.pdf
"08 Agt 2025
					16:14:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/bc72dd5009_7b59c4d5f3.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/074b831d62_9274f53f77.pdf,20250808_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31931660_lamp3.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/581d93847a_d5d826176d.pdf,20250808_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31931660_lamp1.pdf
"08 Agt 2025
					20:04:47",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/2138967fcc_04e4cd847a.pdf,Laporan Bulanan Registrasi Pemegang Efek (KOREKSI) [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/090af5d01f_57529614e5.pdf,20250808_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31931867_lamp1.pdf,,
