text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"07 Mei 2025
					17:44:05",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/d2262da831_eebf47294f.pdf,Pengunduran Diri  Anggota Direksi PT Aspirasi Hidup Indonesia Tbk [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/f7c7b852fd_e99800b877.pdf,20250507_ACES_Laporan Informasi dan Fakta Material_31883633_lamp1.pdf,,
"08 Mei 2025
					18:01:11",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/e0e662962f_542e08262c.pdf,Pemberitahuan Rencana Rapat Umum Pemegang Saham Tahunan [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/47a791f59f_5cdaacac43.pdf,20250508_ACES_Pengumuman RUPS_31884261_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/5945e9939c_5bd28a421f.pdf,20250508_ACES_Pengumuman RUPS_31884261_lamp1.pdf
"09 Mei 2025
					18:54:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/99d0fc7d9b_a09516e3ae.pdf,Penyampaian Bukti Iklan Pemberitahuan RUPS [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/faa4888ec3_a0c46b2f95.pdf,20250509_ACES_Penyampaian Bukti Iklan_31884788_lamp1.pdf,,
"20 Mei 2025
					16:31:20",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/fa86769dae_85a205812b.pdf,Pemanggilan Rapat Umum Pemegang Saham Tahunan [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/03fda1044e_4eb0a71b45.pdf,20250520_ACES_Pemanggilan RUPS_31887367_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/aea02230e3_70e35a435d.pdf,20250520_ACES_Pemanggilan RUPS_31887367_lamp1.pdf
"22 Mei 2025
					17:10:52",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/d443f147fa_039f47be68.pdf,Penyampaian Bukti Iklan Panggilan RUPS [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/3bf0fd3b9e_c85c15c115.pdf,20250521_ACES_Penyampaian Bukti Iklan_31887938_lamp1.pdf,,
"07 Mei 2025
					16:52:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/18e27881b9_2f94c704bb.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/a360b7fcfb_1757d3a03f.pdf,20250506_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31882959_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/caaf5ab8bf_e8682f9949.pdf,20250506_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31882959_lamp1.pdf
"09 Mei 2025
					19:44:16",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/3e8242c7a2_a7c5651141.pdf,Perubahan Jadwal Rapat Umum Pemegang Saham Tahunan [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/50ef219485_3fd56520ed.pdf,20250507_ADMR_Pemanggilan RUPS_31883269_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/bcb9fdd0f4_84460723ab.pdf,20250507_ADMR_Pemanggilan RUPS_31883269_lamp1.pdf
"26 Mei 2025
					18:21:41",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/4a169dfe11_0090a04dfd.pdf,Penjelasan atas Volatilitas Transaksi [],ADMR,,,,
"05 Mei 2025
					16:49:51",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/4dab6a860a_702b8b876c.pdf,Perubahan Internal Audit [],ADRO,,,,
"08 Mei 2025
					16:58:31",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/2d81360f63_797c29fcd5.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/25e859bbd4_2cb54eaad0.pdf,20250508_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31884097_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/6a841c0585_b24fa00f65.pdf,20250508_ADRO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31884097_lamp4.pdf
"09 Mei 2025
					18:10:35",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/4eee5e125c_18903afb78.pdf,Perubahan Jadwal Rapat Umum Pemegang Saham Tahunan [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/300cd4b129_2b9b78b867.pdf,20250509_ADRO_Pemanggilan RUPS_31884604_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/71995cf311_d6bfd464ff.pdf,20250509_ADRO_Pemanggilan RUPS_31884604_lamp2.pdf
"14 Mei 2025
					17:01:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/d78e3318fa_d64836f263.pdf,Perubahan Informasi Rencana Pembelian Kembali Saham PT Alamtri Resources Indonesia Tbk (KOREKSI) [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/1d21534a0d_02a4135d77.pdf,20250514_ADRO_Laporan Informasi dan Fakta Material_31885585_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/bf36097847_2d264b74f1.pdf,20250514_ADRO_Laporan Informasi dan Fakta Material_31885585_lamp1.pdf
"15 Mei 2025
					16:38:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/ec9f8536cb_8e3db4e782.pdf,Keterbukaan Informasi Dalam Rangka Pembelian Kembali Saham Berdasarkan POJK 13 tahun 2023 [],ADRO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/523b174c8e_f69dd31fbf.pdf,20250515_ADRO_Laporan Informasi dan Fakta Material_31885925_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/fc611d6604_69d1cda406.pdf,20250515_ADRO_Laporan Informasi dan Fakta Material_31885925_lamp1.pdf
"07 Mei 2025
					11:34:30",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/2f76cf092c_2733b9f0e9.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/c75ad186ee_30b6e8ed80.pdf,20250507_AKRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31883359_lamp1.pdf,,
"23 Mei 2025
					19:05:49",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/fad6cae453_61c456da90.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/2951e4dff5_0f79882bf2.pdf,20250523_AKRA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31888964_lamp1.pdf,,
"28 Mei 2025
					10:21:12",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/bcbf5de73b_b50fa7b43c.pdf,Perubahan Komite Audit [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/87feb1a0d2_1c2972b8a8.pdf,20250528_AKRA_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31889930_lamp1.pdf,,
"28 Mei 2025
					10:21:50",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/ff70f419d0_c62559d2fc.pdf,Perubahan Komite Nominasi dan Remunerasi Emiten atau Perusahaan Publik [],AKRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/f3cc12a595_b2557d2012.pdf,20250528_AKRA_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31889938_lamp1.pdf,,
"05 Mei 2025
					20:35:29",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/efe13aca38_22736b70e2.pdf,Laporan Hasil Pelaksanaan Pembelian Kembali Saham [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/19fd4c9f3e_371b4146b8.pdf,20250505_AMMN_Laporan Informasi dan Fakta Material_31882535_lamp1.pdf,,
"06 Mei 2025
					14:27:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/7ccbde5726_53c5108d86.pdf,Pemanggilan Rapat Umum Pemegang Saham Tahunan [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/841da67a40_9f63109a41.pdf,20250506_AMMN_Pemanggilan RUPS_31882741_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/a382fb2602_cd073cd344.pdf,20250506_AMMN_Pemanggilan RUPS_31882741_lamp2.pdf
"06 Mei 2025
					20:12:19",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/ff96794e96_f085724763.pdf,Laporan Hasil Pelaksanaan Pembelian Kembali Saham [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/1f9607d321_01fdae06eb.pdf,20250506_AMMN_Laporan Informasi dan Fakta Material_31883135_lamp1.pdf,,
"09 Mei 2025
					16:06:26",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/90e04843bd_720598712b.pdf,Penjelasan atas Permintaan Penjelasan Bursa [],AMMN,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202505/dafd4e4260_5059aaacc6.pdf,20250508_AMMN_Tanggapan atas Permintaan Penjelasan Bursa_31884283_lamp1.pdf,,
