text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2,d-iblock href 3,d-iblock 3,d-iblock href 4,d-iblock 4,d-iblock href 5,d-iblock 5
"10 Okt 2025
					19:04:12",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/1f2930e71f_a6b84057db.pdf,Laporan Bulanan Registrasi Pemegang Efek [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/21de8dc593_c15fc34150.pdf,20251007_AADI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965104_lamp1.pdf,,,,,,,,
"10 Okt 2025
					20:26:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a8ef915d44_58c5c39a5a.pdf,Laporan Bulanan Aktivitas Eksplorasi [],AADI,,,,,,,,,,
"31 Okt 2025
					19:19:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220172249-58414-0/FinancialStatement-2025-III-AADI.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AADI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220172249-58414-0/Director%20Statement%20AAI%2030%20September%202025.pdf,Director Statement AAI 30 September 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220172249-58414-0/FinancialStatement-2025-III-AADI.xlsx,FinancialStatement-2025-III-AADI.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220172249-58414-0/FS%20Adaro%20Andalan%20Indonesia%20Tbk%2030%20September%202025.pdf,FS Adaro Andalan Indonesia Tbk 30 September 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220172249-58414-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220172249-58414-0/instance.zip,instance.zip
"06 Okt 2025
					16:56:56",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/0815041df8_3aa8fb4edb.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/44f4ef99e9_7a11c58ee4.pdf,20251006_ACES_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964900_lamp1.pdf,,,,,,,,
"31 Okt 2025
					15:44:08",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171938-58176-0/FinancialStatement-2025-III-ACES.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ACES,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171938-58176-0/Checklist%20LK%20AHI%203Q25.pdf,Checklist LK AHI 3Q25.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171938-58176-0/Cover%20Letter%20LK%203Q25.pdf,Cover Letter LK 3Q25.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171938-58176-0/FinancialStatement-2025-III-ACES.xlsx,FinancialStatement-2025-III-ACES.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171938-58176-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171938-58176-0/instance.zip,instance.zip
"08 Okt 2025
					16:04:05",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/1ee0813d68_49b7103df1.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/27ba098f40_d2136d32d4.pdf,20251006_ADMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964876_lamp1.pdf,,,,,,,,
"08 Okt 2025
					16:04:48",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/2d3aa4118a_26dabafdc9.pdf,Laporan Bulanan Aktivitas Eksplorasi [],ADMR,,,,,,,,,,
"13 Okt 2025
					20:45:58",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/8b17f45f42_9c2db75453.pdf,Penjelasan atas Permintaan Penjelasan Bursa [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/c1fa174847_ed884e6bc3.pdf,20251013_ADMR_Tanggapan atas Permintaan Penjelasan Bursa_31967103_lamp1.pdf,,,,,,,,
"13 Okt 2025
					20:48:14",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/08cd5e549f_e076d7b0ed.pdf,Penjelasan atas Volatilitas Transaksi [],ADMR,,,,,,,,,,
"31 Okt 2025
					17:39:12",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220175057-58514-0/FinancialStatement-2025-III-ADMR.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ADMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220175057-58514-0/ADMR%20-%20Directors%20Statement%2030%20Sep%202025.pdf,ADMR - Directors Statement 30 Sep 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220175057-58514-0/ADMR%20-%20Kenaikan%20Aset%20%20Liabilitas%20September%202025.pdf,ADMR - Kenaikan Aset  Liabilitas September 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220175057-58514-0/ADMR%20-%20Laporan%20Keuangan%20Konsolidasian%2030%20Sept%202025.pdf,ADMR - Laporan Keuangan Konsolidasian 30 Sept 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220175057-58514-0/FinancialStatement-2025-III-ADMR.xlsx,FinancialStatement-2025-III-ADMR.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220175057-58514-0/inlineXBRL.zip,inlineXBRL.zip
