Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,7273.53955078125,8225.0,8700.0,8200.0,8600.0,21152800
2025-01-03,6941.9189453125,7850.0,8275.0,7800.0,8225.0,22675900
2025-01-06,6787.1630859375,7675.0,7925.0,7650.0,7875.0,13110900
2025-01-07,6964.02685546875,7875.0,8075.0,7650.0,7675.0,19520000
2025-01-08,6897.703125,7800.0,7950.0,7725.0,7875.0,10791400
2025-01-09,6809.2705078125,7700.0,7825.0,7650.0,7800.0,7906700
2025-01-10,7494.61962890625,8475.0,8550.0,7550.0,7700.0,53141500
2025-01-13,7384.0791015625,8350.0,8850.0,8200.0,8475.0,39643700
2025-01-14,7715.69970703125,8725.0,8775.0,8375.0,8450.0,23693100
2025-01-15,7804.1318359375,8825.0,8975.0,8700.0,8825.0,19820500
2025-01-16,7782.0234375,8800.0,8950.0,8550.0,8875.0,15213500
2025-01-17,7870.45556640625,8900.0,9200.0,8825.0,8825.0,29547800
2025-01-20,7892.56396484375,8925.0,9175.0,8875.0,9000.0,18672500
2025-01-21,7826.240234375,8850.0,9000.0,8750.0,8975.0,15622500
2025-01-22,7892.56396484375,8925.0,9100.0,8800.0,8850.0,18217600
2025-01-23,8047.31982421875,9100.0,9400.0,8975.0,9050.0,38617100
2025-01-24,8025.2119140625,9075.0,9250.0,9050.0,9175.0,16629300
2025-01-30,8511.587890625,9625.0,9750.0,9100.0,9100.0,52306500
2025-01-31,8356.83203125,9450.0,9800.0,9450.0,9750.0,15546900
2025-02-03,8003.1044921875,9050.0,9400.0,8925.0,9350.0,28710000
2025-02-04,7936.77978515625,8975.0,9125.0,8850.0,9050.0,13200900
2025-02-05,7826.240234375,8850.0,9025.0,8775.0,8975.0,11821800
2025-02-06,7361.9716796875,8325.0,8925.0,8250.0,8900.0,21256500
2025-02-07,7207.21533203125,8150.0,8350.0,7975.0,8325.0,23143400
2025-02-10,7052.458984375,7975.0,8375.0,7825.0,8375.0,17859300
2025-02-11,6853.48681640625,7750.0,8050.0,7725.0,8000.0,11567800
2025-02-12,7118.783203125,8050.0,8200.0,7750.0,7750.0,14910400
2025-02-13,7030.35107421875,7950.0,8075.0,7850.0,8075.0,6934200
2025-02-14,7074.5673828125,8000.0,8100.0,7950.0,7950.0,4237200
2025-02-17,7295.64697265625,8250.0,8300.0,7975.0,8025.0,9321200
2025-02-18,7406.1875,8375.0,8550.0,8275.0,8300.0,10796800
2025-02-19,7140.89111328125,8075.0,8475.0,8025.0,8475.0,10236900
2025-02-20,6765.0546875,7650.0,8050.0,7550.0,8000.0,67214500
2025-02-21,6787.1630859375,7675.0,7800.0,7400.0,7650.0,20244100
2025-02-24,6720.83837890625,7600.0,7675.0,7500.0,7675.0,8838300
2025-02-25,6477.650390625,7325.0,7650.0,7275.0,7600.0,16281900
2025-02-26,6322.89453125,7150.0,7425.0,7150.0,7375.0,13316400
2025-02-27,6411.32666015625,7250.0,7525.0,7150.0,7175.0,12668600
2025-02-28,5947.05810546875,6725.0,7275.0,6650.0,7175.0,22501000
2025-03-03,5858.62548828125,6625.0,6950.0,6550.0,6800.0,23048400
2025-03-04,5504.8974609375,6225.0,6625.0,6000.0,6625.0,37373400
2025-03-05,5637.5458984375,6375.0,6650.0,6250.0,6250.0,22020200
