Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,998.504150390625,1155.0,1155.0,1125.0,1135.0,8611700
2025-01-03,972.5691528320312,1125.0,1165.0,1125.0,1155.0,10465700
2025-01-06,903.4085693359375,1045.0,1125.0,1045.0,1125.0,31499500
2025-01-07,950.9564208984375,1100.0,1100.0,1030.0,1045.0,25083900
2025-01-08,1011.4717407226562,1170.0,1200.0,1075.0,1100.0,27246700
2025-01-09,1015.794189453125,1175.0,1210.0,1125.0,1170.0,39594900
2025-01-10,1037.406982421875,1200.0,1200.0,1150.0,1195.0,19095000
2025-01-13,1011.4717407226562,1170.0,1225.0,1170.0,1200.0,21845100
2025-01-14,1046.052001953125,1210.0,1225.0,1175.0,1175.0,30809000
2025-01-15,1054.6971435546875,1220.0,1225.0,1200.0,1210.0,9454600
2025-01-16,1037.406982421875,1200.0,1230.0,1200.0,1225.0,10048300
2025-01-17,1037.406982421875,1200.0,1215.0,1200.0,1215.0,13736400
2025-01-20,1080.63232421875,1250.0,1270.0,1200.0,1205.0,15922100
2025-01-21,1076.3096923828125,1245.0,1270.0,1230.0,1255.0,12795900
2025-01-22,1063.3421630859375,1230.0,1250.0,1225.0,1245.0,21429600
2025-01-23,1063.3421630859375,1230.0,1260.0,1230.0,1235.0,14115700
2025-01-24,1028.7618408203125,1190.0,1235.0,1180.0,1235.0,8745500
2025-01-30,968.2464599609375,1120.0,1190.0,1105.0,1190.0,22731900
2025-01-31,959.6015014648438,1110.0,1130.0,1085.0,1120.0,15260000
2025-02-03,946.6338500976562,1095.0,1115.0,1075.0,1110.0,17601300
2025-02-04,955.2788696289062,1105.0,1115.0,1090.0,1100.0,19037800
2025-02-05,972.5691528320312,1125.0,1155.0,1110.0,1155.0,7284600
2025-02-06,972.5691528320312,1125.0,1125.0,1095.0,1120.0,8697200
2025-02-07,976.8916625976562,1130.0,1140.0,1080.0,1125.0,10178800
2025-02-10,955.2788696289062,1105.0,1125.0,1080.0,1125.0,18296800
2025-02-11,955.2788696289062,1105.0,1120.0,1090.0,1105.0,12066800
2025-02-12,955.2788696289062,1105.0,1110.0,1095.0,1105.0,20398900
2025-02-13,955.2788696289062,1105.0,1115.0,1100.0,1110.0,12541000
2025-02-14,959.6015014648438,1110.0,1110.0,1090.0,1105.0,6777300
2025-02-17,963.9239501953125,1115.0,1125.0,1100.0,1100.0,8150500
2025-02-18,1037.406982421875,1200.0,1215.0,1115.0,1115.0,34916000
2025-02-19,1041.7294921875,1205.0,1235.0,1190.0,1215.0,19535200
2025-02-20,1067.6646728515625,1235.0,1250.0,1200.0,1210.0,14590200
2025-02-21,1063.3421630859375,1230.0,1240.0,1210.0,1235.0,6012600
2025-02-24,1050.3746337890625,1215.0,1235.0,1215.0,1235.0,6739900
2025-02-25,1037.406982421875,1200.0,1225.0,1195.0,1220.0,6982800
2025-02-26,1041.7294921875,1205.0,1220.0,1200.0,1200.0,6508500
2025-02-27,1132.5025634765625,1310.0,1330.0,1220.0,1220.0,106148000
2025-02-28,1071.9871826171875,1240.0,1325.0,1240.0,1315.0,68456200
2025-03-03,1067.6646728515625,1235.0,1265.0,1210.0,1250.0,14419900
2025-03-04,1046.052001953125,1210.0,1250.0,1160.0,1245.0,18755400
2025-03-05,1041.7294921875,1205.0,1230.0,1195.0,1210.0,26585700
2025-03-06,1106.5673828125,1280.0,1295.0,1205.0,1205.0,16652000
2025-03-07,1128.1800537109375,1305.0,1330.0,1285.0,1285.0,19320300
2025-03-10,1115.2125244140625,1290.0,1315.0,1265.0,1300.0,18780900
2025-03-11,1106.5673828125,1280.0,1305.0,1270.0,1280.0,11118400
2025-03-12,1128.1800537109375,1305.0,1320.0,1285.0,1285.0,14964100
2025-03-13,1015.794189453125,1175.0,1320.0,1165.0,1320.0,29318000
2025-03-14,985.5365600585938,1140.0,1190.0,1115.0,1185.0,24900600
2025-03-17,972.5691528320312,1125.0,1145.0,1110.0,1145.0,10410200
2025-03-18,937.9888305664062,1085.0,1145.0,1075.0,1130.0,22122500
2025-03-19,946.6338500976562,1095.0,1125.0,1075.0,1100.0,11023700
2025-03-20,950.9564208984375,1100.0,1135.0,1100.0,1100.0,12106900
2025-03-21,950.9564208984375,1100.0,1130.0,1100.0,1110.0,13009500
2025-03-24,946.6338500976562,1095.0,1110.0,1050.0,1105.0,17113500
2025-03-25,981.2140502929688,1135.0,1240.0,1060.0,1095.0,39599000
2025-03-26,955.2788696289062,1105.0,1155.0,1105.0,1135.0,21919200
2025-03-27,946.6338500976562,1095.0,1120.0,1085.0,1105.0,14647900
2025-04-08,838.5706176757812,970.0,990.0,945.0,980.0,35624800
2025-04-09,778.0552368164062,900.0,990.0,890.0,970.0,28171900
2025-04-10,950.9564208984375,1100.0,1125.0,960.0,960.0,54694300
2025-04-11,907.7310791015625,1050.0,1100.0,1035.0,1095.0,44556100
2025-04-14,929.34375,1075.0,1110.0,1050.0,1050.0,42021900
2025-04-15,907.7310791015625,1050.0,1095.0,1050.0,1075.0,38244900
2025-04-16,903.4085693359375,1045.0,1070.0,1035.0,1050.0,43241300
2025-04-17,907.7310791015625,1050.0,1060.0,1035.0,1045.0,29713300
2025-04-21,929.34375,1075.0,1120.0,1050.0,1060.0,20406600
2025-04-22,955.2788696289062,1105.0,1110.0,1075.0,1075.0,8977800
2025-04-23,981.2140502929688,1135.0,1155.0,1115.0,1115.0,25700100
2025-04-24,1033.08447265625,1195.0,1210.0,1125.0,1135.0,37037500
2025-04-25,1024.439453125,1185.0,1215.0,1160.0,1200.0,17807500
2025-04-28,1037.406982421875,1200.0,1225.0,1180.0,1185.0,14284900
2025-04-29,1071.9871826171875,1240.0,1250.0,1185.0,1205.0,31709500
2025-04-30,1089.2772216796875,1260.0,1295.0,1245.0,1245.0,27856200
2025-05-02,1076.3096923828125,1245.0,1275.0,1230.0,1260.0,12944500
2025-05-05,1097.9224853515625,1270.0,1300.0,1250.0,1250.0,25617600
2025-05-06,1097.9224853515625,1270.0,1280.0,1235.0,1275.0,35014300
2025-05-07,1115.2125244140625,1290.0,1310.0,1265.0,1275.0,51677100
2025-05-08,1115.212646484375,1240.0,1265.0,1235.0,1250.0,21267800
2025-05-09,1119.7093505859375,1245.0,1280.0,1235.0,1255.0,13151300
2025-05-14,1128.7030029296875,1255.0,1290.0,1245.0,1245.0,12681700
2025-05-15,1124.2061767578125,1250.0,1265.0,1245.0,1265.0,6869900
2025-05-16,1146.6903076171875,1275.0,1285.0,1245.0,1265.0,16234900
2025-05-19,1142.1934814453125,1270.0,1305.0,1265.0,1280.0,29643700
2025-05-20,1142.1934814453125,1270.0,1300.0,1265.0,1270.0,11316900
2025-05-21,1236.6268310546875,1375.0,1375.0,1275.0,1280.0,79062900
2025-05-22,1205.1490478515625,1340.0,1380.0,1245.0,1375.0,44031200
2025-05-23,1169.1744384765625,1300.0,1330.0,1300.0,1315.0,20126500
2025-05-26,1164.6776123046875,1295.0,1315.0,1270.0,1315.0,16582300
2025-05-27,1160.1807861328125,1290.0,1305.0,1285.0,1305.0,9273300
2025-05-28,1146.6903076171875,1275.0,1305.0,1275.0,1300.0,19460200
2025-06-02,1110.7156982421875,1235.0,1280.0,1205.0,1275.0,18308900
