Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,4338.876953125,4950.0,4970.0,4900.0,4910.0,17924000
2025-01-03,4338.876953125,4950.0,4970.0,4920.0,4950.0,12711800
2025-01-06,4259.98828125,4860.0,5000.0,4860.0,4950.0,18412500
2025-01-07,4312.58056640625,4920.0,4920.0,4850.0,4860.0,20452200
2025-01-08,4216.1611328125,4810.0,4910.0,4810.0,4880.0,23739400
2025-01-09,4321.34619140625,4930.0,4950.0,4830.0,4830.0,23802600
2025-01-10,4295.0498046875,4900.0,4960.0,4860.0,4940.0,31951800
2025-01-13,4163.568359375,4750.0,4920.0,4720.0,4910.0,46247300
2025-01-14,4163.568359375,4750.0,4850.0,4750.0,4770.0,28096700
2025-01-15,4330.111328125,4940.0,4940.0,4780.0,4790.0,27497200
2025-01-16,4277.51904296875,4880.0,5025.0,4880.0,5025.0,30520200
2025-01-17,4330.111328125,4940.0,4970.0,4840.0,4860.0,23691900
2025-01-20,4303.81494140625,4910.0,4960.0,4900.0,4940.0,11873200
2025-01-21,4303.81494140625,4910.0,4970.0,4900.0,4930.0,21762200
2025-01-22,4347.642578125,4960.0,4980.0,4880.0,4920.0,33116700
2025-01-23,4295.0498046875,4900.0,4980.0,4900.0,4960.0,17049700
2025-01-24,4268.75341796875,4870.0,4960.0,4870.0,4900.0,19663900
2025-01-30,4189.86474609375,4780.0,4870.0,4780.0,4870.0,28147100
2025-01-31,4207.3955078125,4800.0,4840.0,4790.0,4790.0,27064100
2025-02-03,4172.333984375,4760.0,4800.0,4740.0,4800.0,33116100
2025-02-04,4207.3955078125,4800.0,4840.0,4760.0,4770.0,20631500
2025-02-05,4154.80322265625,4740.0,4850.0,4730.0,4850.0,20436200
2025-02-06,3988.2607421875,4550.0,4740.0,4520.0,4740.0,61645400
2025-02-07,4075.914794921875,4650.0,4670.0,4530.0,4610.0,33223300
2025-02-10,4005.79150390625,4570.0,4650.0,4520.0,4610.0,40230000
2025-02-11,4040.85302734375,4610.0,4650.0,4570.0,4590.0,32956400
2025-02-12,4067.1494140625,4640.0,4680.0,4620.0,4680.0,30762900
2025-02-13,4084.68017578125,4660.0,4670.0,4580.0,4640.0,21320200
2025-02-14,4102.2109375,4680.0,4730.0,4640.0,4660.0,31409000
2025-02-17,4154.80322265625,4740.0,4780.0,4670.0,4680.0,30270200
2025-02-18,4207.3955078125,4800.0,4840.0,4740.0,4740.0,31828200
2025-02-19,4119.74169921875,4700.0,4840.0,4610.0,4820.0,47951400
2025-02-20,4137.27294921875,4720.0,4740.0,4650.0,4700.0,23653800
2025-02-21,4163.568359375,4750.0,4800.0,4600.0,4740.0,31937400
2025-02-24,4119.74169921875,4700.0,4770.0,4660.0,4750.0,22303600
2025-02-25,3997.026123046875,4560.0,4750.0,4550.0,4710.0,42728600
2025-02-26,4014.556884765625,4580.0,4600.0,4520.0,4560.0,19351300
2025-02-27,4023.322265625,4590.0,4590.0,4480.0,4550.0,37731000
2025-02-28,3970.729736328125,4530.0,4650.0,4370.0,4650.0,70620000
2025-03-03,4102.2109375,4680.0,4720.0,4500.0,4530.0,65345600
2025-03-04,4110.9765625,4690.0,4700.0,4590.0,4680.0,40873900
2025-03-05,4295.0498046875,4900.0,4900.0,4690.0,4700.0,86703900
2025-03-06,4295.0498046875,4900.0,4960.0,4860.0,4900.0,51276300
2025-03-07,4321.34619140625,4930.0,4970.0,4790.0,4900.0,59830500
2025-03-10,4181.09912109375,4770.0,4900.0,4750.0,4900.0,53139600
2025-03-11,4207.3955078125,4800.0,4800.0,4700.0,4720.0,35571600
2025-03-12,4216.1611328125,4810.0,4830.0,4740.0,4760.0,29264500
2025-03-13,4146.03759765625,4730.0,4810.0,4680.0,4790.0,41066600
2025-03-14,4049.61865234375,4620.0,4730.0,4610.0,4730.0,35967600
2025-03-17,4049.61865234375,4620.0,4670.0,4610.0,4660.0,23856300
2025-03-18,4075.914794921875,4650.0,4650.0,4460.0,4630.0,66583100
2025-03-19,4110.9765625,4690.0,4700.0,4610.0,4650.0,37556400
2025-03-20,4128.50732421875,4710.0,4750.0,4640.0,4690.0,23310500
2025-03-21,4242.45703125,4840.0,4840.0,4630.0,4720.0,57730500
2025-03-24,4110.9765625,4690.0,4780.0,4540.0,4780.0,29695400
2025-03-25,4075.914794921875,4650.0,4700.0,4610.0,4700.0,26320300
2025-03-26,4207.3955078125,4800.0,4840.0,4660.0,4660.0,30508200
2025-03-27,4312.58056640625,4920.0,4920.0,4790.0,4800.0,44551200
2025-04-08,3926.902587890625,4480.0,4800.0,4450.0,4800.0,94752400
