Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,4785.82763671875,5850.0,5850.0,5700.0,5700.0,82914600
2025-01-03,4744.9228515625,5800.0,5875.0,5775.0,5850.0,58067100
2025-01-06,4642.66162109375,5675.0,5825.0,5650.0,5825.0,68443700
2025-01-07,4581.3046875,5600.0,5650.0,5550.0,5600.0,96982300
2025-01-08,4704.0185546875,5750.0,5750.0,5600.0,5600.0,118246100
2025-01-09,4704.0185546875,5750.0,5775.0,5700.0,5725.0,56491700
2025-01-10,4581.3046875,5600.0,5775.0,5600.0,5750.0,77751500
2025-01-13,4519.9482421875,5525.0,5550.0,5475.0,5500.0,99953900
2025-01-14,4417.68701171875,5400.0,5575.0,5400.0,5425.0,97351900
2025-01-15,4704.0185546875,5750.0,5825.0,5450.0,5475.0,194025700
2025-01-16,4806.27978515625,5875.0,6200.0,5850.0,6075.0,204359900
2025-01-17,4806.27978515625,5875.0,6050.0,5750.0,5800.0,114054600
2025-01-20,4908.541015625,6000.0,6050.0,5925.0,6000.0,84338400
2025-01-21,4949.44580078125,6050.0,6175.0,6025.0,6100.0,115355900
2025-01-22,5031.25439453125,6150.0,6200.0,6100.0,6150.0,117929800
2025-01-23,5051.70654296875,6175.0,6300.0,6175.0,6200.0,120893700
2025-01-24,5010.80224609375,6125.0,6250.0,6125.0,6250.0,96161800
2025-01-30,4990.35009765625,6100.0,6225.0,6075.0,6100.0,101400400
2025-01-31,4928.9931640625,6025.0,6225.0,6025.0,6175.0,107861000
2025-02-03,4744.9228515625,5800.0,6000.0,5700.0,5975.0,182181700
2025-02-04,4642.66162109375,5675.0,5850.0,5625.0,5825.0,121871500
2025-02-05,4519.9482421875,5525.0,5600.0,5475.0,5600.0,185656000
2025-02-06,4172.259765625,5100.0,5425.0,5000.0,5425.0,642118700
2025-02-07,4213.16455078125,5150.0,5150.0,4950.0,5000.0,407896100
2025-02-10,4090.450927734375,5000.0,5150.0,4990.0,5150.0,169384300
2025-02-11,3992.280029296875,4880.0,4950.0,4750.0,4750.0,316743200
2025-02-12,4041.365234375,4940.0,4950.0,4830.0,4920.0,225073300
2025-02-13,4110.90283203125,5025.0,5075.0,4900.0,4940.0,215271400
2025-02-14,4192.7119140625,5125.0,5200.0,4970.0,5100.0,239709300
2025-02-17,4438.13916015625,5425.0,5475.0,5175.0,5200.0,223837300
2025-02-18,4458.59130859375,5450.0,5550.0,5375.0,5450.0,157430200
2025-02-19,4233.61669921875,5175.0,5400.0,5125.0,5375.0,204335500
2025-02-20,4213.16455078125,5150.0,5225.0,5100.0,5125.0,98363500
2025-02-21,4151.80712890625,5075.0,5100.0,5000.0,5000.0,152528600
2025-02-24,4110.90283203125,5025.0,5075.0,4980.0,5050.0,127578500
2025-02-25,3984.09912109375,4870.0,5025.0,4860.0,5000.0,224607800
2025-02-26,4025.00341796875,4920.0,4980.0,4850.0,4860.0,161836900
2025-02-27,3812.2998046875,4660.0,4950.0,4660.0,4930.0,334919800
2025-02-28,3763.215087890625,4600.0,4690.0,4550.0,4620.0,464696700
2025-03-03,4008.6416015625,4900.0,4980.0,4700.0,4750.0,257118300
