Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,938.96826171875,940.0,945.0,915.0,925.0,76990400
2025-01-03,933.9737548828125,935.0,950.0,915.0,940.0,71623400
2025-01-06,978.92431640625,980.0,985.0,940.0,945.0,149774200
2025-01-07,993.9078979492188,995.0,1010.0,970.0,985.0,156671400
2025-01-08,973.9298095703125,975.0,1020.0,965.0,995.0,134558100
2025-01-09,973.9298095703125,975.0,1000.0,970.0,980.0,62974300
2025-01-10,983.9188232421875,985.0,1005.0,980.0,985.0,64670700
2025-01-13,1008.8914184570312,1010.0,1110.0,985.0,985.0,436158500
2025-01-14,968.935302734375,970.0,1030.0,970.0,1020.0,159751600
2025-01-15,948.957275390625,950.0,995.0,940.0,970.0,100979400
2025-01-16,953.9517822265625,955.0,985.0,940.0,950.0,87010200
2025-01-17,938.96826171875,940.0,965.0,940.0,955.0,92703200
2025-01-20,938.96826171875,940.0,965.0,940.0,950.0,66402700
2025-01-21,918.9901733398438,920.0,950.0,910.0,945.0,90745000
2025-01-22,928.9791870117188,930.0,945.0,915.0,930.0,85750000
2025-01-23,913.9956665039062,915.0,945.0,915.0,940.0,57239500
2025-01-24,904.0066528320312,905.0,925.0,900.0,915.0,43209500
2025-01-30,923.9846801757812,925.0,955.0,890.0,905.0,111820500
2025-01-31,918.9901733398438,920.0,945.0,920.0,940.0,58059100
2025-02-03,909.0011596679688,910.0,925.0,885.0,920.0,63525400
2025-02-04,923.9846801757812,925.0,940.0,910.0,910.0,79930200
2025-02-05,933.9737548828125,935.0,980.0,925.0,960.0,191312800
2025-02-06,909.0011596679688,910.0,940.0,910.0,940.0,60296600
2025-02-07,814.10546875,815.0,860.0,805.0,845.0,224335100
2025-02-10,814.10546875,815.0,835.0,790.0,815.0,180991700
2025-02-11,809.1109008789062,810.0,830.0,785.0,815.0,103862900
2025-02-12,819.0999755859375,820.0,825.0,805.0,810.0,71187500
2025-02-13,799.1218872070312,800.0,830.0,800.0,825.0,54689400
2025-02-14,809.1109008789062,810.0,820.0,805.0,805.0,30686600
2025-02-17,869.0450439453125,870.0,870.0,815.0,815.0,136786600
2025-02-18,859.0560302734375,860.0,880.0,855.0,875.0,38819600
2025-02-19,854.0615234375,855.0,865.0,845.0,860.0,35795000
2025-02-20,839.0780029296875,840.0,865.0,840.0,855.0,26848500
2025-02-21,849.0670166015625,850.0,855.0,830.0,845.0,30422700
2025-02-24,824.094482421875,825.0,850.0,815.0,850.0,35689900
2025-02-25,814.10546875,815.0,835.0,800.0,830.0,33678600
2025-02-26,824.094482421875,825.0,830.0,805.0,815.0,24971300
2025-02-27,799.1218872070312,800.0,830.0,800.0,825.0,32233100
2025-02-28,784.1383666992188,785.0,810.0,760.0,800.0,106344900
2025-03-03,819.0999755859375,820.0,825.0,790.0,795.0,57898600
2025-03-04,799.1218872070312,800.0,810.0,770.0,810.0,53065800
2025-03-05,794.1273803710938,795.0,810.0,790.0,800.0,45107100
2025-03-06,814.10546875,815.0,820.0,795.0,800.0,42743200
2025-03-07,819.0999755859375,820.0,840.0,810.0,825.0,54625400
2025-03-10,809.1109008789062,810.0,830.0,810.0,820.0,19040600
2025-03-11,799.1218872070312,800.0,810.0,790.0,800.0,19734200
2025-03-12,794.1273803710938,795.0,810.0,795.0,800.0,17798000
2025-03-13,799.1218872070312,800.0,805.0,790.0,800.0,15783200
2025-03-14,779.1438598632812,780.0,800.0,775.0,800.0,38504900
2025-03-17,774.1493530273438,775.0,800.0,765.0,795.0,41346600
2025-03-18,654.2810668945312,655.0,780.0,585.0,780.0,391024400
2025-03-19,669.2645874023438,670.0,680.0,630.0,665.0,140632700
2025-03-20,674.2590942382812,675.0,710.0,660.0,675.0,125956900
2025-03-21,699.231689453125,700.0,725.0,650.0,680.0,198490300
