Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,4495.2255859375,4810.0,4900.0,4770.0,4900.0,1610900
2025-01-03,4476.5341796875,4790.0,4840.0,4750.0,4810.0,2528300
2025-01-06,4504.5712890625,4820.0,4870.0,4790.0,4790.0,3358700
2025-01-07,4504.5712890625,4820.0,4850.0,4780.0,4820.0,2193700
2025-01-08,4513.9169921875,4830.0,4900.0,4790.0,4820.0,3899200
2025-01-09,4485.8798828125,4800.0,4860.0,4800.0,4830.0,1946100
2025-01-10,4411.115234375,4720.0,4830.0,4720.0,4820.0,3893700
2025-01-13,4261.5859375,4560.0,4770.0,4560.0,4730.0,5570100
2025-01-14,4205.51220703125,4500.0,4640.0,4500.0,4570.0,4249400
2025-01-15,4298.96826171875,4600.0,4640.0,4560.0,4590.0,3773100
2025-01-16,4233.548828125,4530.0,4670.0,4530.0,4600.0,4765300
2025-01-17,4355.04150390625,4660.0,4660.0,4520.0,4550.0,3421200
2025-01-20,4327.0048828125,4630.0,4720.0,4620.0,4660.0,2413500
2025-01-21,4308.31396484375,4610.0,4750.0,4610.0,4640.0,3924600
2025-01-22,4485.8798828125,4800.0,4810.0,4660.0,4660.0,6377100
2025-01-23,4401.77001953125,4710.0,4800.0,4710.0,4800.0,3337700
2025-01-24,4439.15185546875,4750.0,4750.0,4710.0,4710.0,2742000
2025-01-30,4317.6591796875,4620.0,4750.0,4620.0,4750.0,5179300
2025-01-31,4364.38720703125,4670.0,4760.0,4640.0,4640.0,3119100
2025-02-03,4373.7333984375,4680.0,4680.0,4620.0,4670.0,1769500
2025-02-04,4373.7333984375,4680.0,4720.0,4650.0,4680.0,2398000
2025-02-05,4373.7333984375,4680.0,4730.0,4650.0,4710.0,3095700
2025-02-06,4298.96826171875,4600.0,4730.0,4600.0,4700.0,3126100
2025-02-07,4298.96826171875,4600.0,4650.0,4530.0,4610.0,2969800
2025-02-10,4308.31396484375,4610.0,4650.0,4580.0,4600.0,2122600
2025-02-11,4242.89501953125,4540.0,4610.0,4510.0,4590.0,1561600
2025-02-12,4298.96826171875,4600.0,4610.0,4540.0,4540.0,1408300
2025-02-13,4233.548828125,4530.0,4650.0,4530.0,4570.0,1679100
2025-02-14,4270.931640625,4570.0,4600.0,4540.0,4550.0,1126000
2025-02-17,4289.62255859375,4590.0,4600.0,4540.0,4600.0,2117600
2025-02-18,4345.6962890625,4650.0,4710.0,4580.0,4590.0,4451300
2025-02-19,4336.3505859375,4640.0,4670.0,4600.0,4650.0,2269500
2025-02-20,4308.31396484375,4610.0,4670.0,4570.0,4660.0,3335700
2025-02-21,4355.04150390625,4660.0,4670.0,4580.0,4610.0,4764000
2025-02-24,4345.6962890625,4650.0,4680.0,4600.0,4660.0,2292900
2025-02-25,4196.1669921875,4490.0,4670.0,4480.0,4670.0,3210000
2025-02-26,4214.85791015625,4510.0,4550.0,4450.0,4500.0,2868500
2025-02-27,4140.09375,4430.0,4510.0,4390.0,4510.0,2670200
2025-02-28,3915.79931640625,4190.0,4490.0,4190.0,4430.0,10820200
2025-03-03,4130.748046875,4420.0,4430.0,4170.0,4230.0,3974000
2025-03-04,3981.218505859375,4260.0,4490.0,4250.0,4420.0,6343400
