Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,117.42903137207031,118.0,123.0,106.0,109.0,545588100
2025-01-03,118.4241943359375,119.0,124.0,117.0,118.0,377489500
2025-01-06,114.44355010986328,115.0,121.0,114.0,120.0,206176300
2025-01-07,113.4483871459961,114.0,119.0,113.0,115.0,137626000
2025-01-08,107.4774169921875,108.0,114.0,107.0,114.0,228421000
2025-01-09,105.48709869384766,106.0,111.0,105.0,108.0,138758300
2025-01-10,115.43871307373047,116.0,116.0,106.0,106.0,295634600
2025-01-13,110.46290588378906,111.0,118.0,110.0,117.0,176472700
2025-01-14,112.4532241821289,113.0,115.0,108.0,112.0,200019800
2025-01-15,109.46774291992188,110.0,114.0,109.0,113.0,221801800
2025-01-16,114.44355010986328,115.0,117.0,110.0,111.0,222760500
2025-01-17,110.46290588378906,111.0,117.0,111.0,116.0,113595200
2025-01-20,114.44355010986328,115.0,120.0,109.0,112.0,653923400
2025-01-21,112.4532241821289,113.0,118.0,113.0,116.0,227510800
2025-01-22,113.4483871459961,114.0,117.0,113.0,114.0,189266500
2025-01-23,115.43871307373047,116.0,123.0,115.0,115.0,646131300
2025-01-24,112.4532241821289,113.0,116.0,112.0,115.0,257645900
2025-01-30,110.46290588378906,111.0,114.0,107.0,113.0,212812600
2025-01-31,111.45806884765625,112.0,116.0,111.0,111.0,184235700
2025-02-03,111.45806884765625,112.0,114.0,109.0,114.0,213698400
2025-02-04,116.43386840820312,117.0,129.0,113.0,113.0,2253936600
2025-02-05,112.4532241821289,113.0,121.0,111.0,119.0,1075377800
2025-02-06,111.45806884765625,112.0,114.0,109.0,113.0,436325500
2025-02-07,109.46774291992188,110.0,112.0,106.0,112.0,311155900
2025-02-10,102.5016098022461,103.0,110.0,100.0,110.0,479072800
2025-02-11,111.45806884765625,112.0,115.0,105.0,105.0,688122100
2025-02-12,109.46774291992188,110.0,117.0,106.0,112.0,511777200
2025-02-13,117.42903137207031,118.0,121.0,111.0,113.0,695106800
2025-02-14,121.40967559814453,122.0,125.0,119.0,120.0,756115000
2025-02-17,134.34677124023438,135.0,135.0,121.0,122.0,852894200
2025-02-18,143.30322265625,144.0,149.0,133.0,136.0,964379600
2025-02-19,144.2983856201172,145.0,147.0,139.0,146.0,560661300
2025-02-20,144.2983856201172,145.0,156.0,140.0,145.0,1183443800
2025-02-21,144.2983856201172,145.0,150.0,142.0,146.0,248889100
2025-02-24,139.3225860595703,140.0,146.0,139.0,145.0,234125800
2025-02-25,134.34677124023438,135.0,149.0,135.0,141.0,525366200
