Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,743.9039916992188,825.0,840.0,805.0,815.0,14502100
2025-01-03,757.4295043945312,840.0,840.0,815.0,830.0,11928900
2025-01-06,725.8699951171875,805.0,845.0,805.0,840.0,8987000
2025-01-07,734.8870239257812,815.0,820.0,800.0,815.0,4535400
2025-01-08,716.8529052734375,795.0,815.0,795.0,810.0,9571200
2025-01-09,730.3784790039062,810.0,820.0,785.0,795.0,11874800
2025-01-10,730.3784790039062,810.0,815.0,795.0,810.0,6229700
2025-01-13,743.9039916992188,825.0,850.0,810.0,815.0,21374000
2025-01-14,779.9721069335938,865.0,870.0,820.0,830.0,38167200
2025-01-15,779.9721069335938,865.0,880.0,855.0,870.0,27447600
2025-01-16,761.9380493164062,845.0,870.0,840.0,865.0,12535700
2025-01-17,770.955078125,855.0,860.0,825.0,845.0,15009600
2025-01-20,761.9380493164062,845.0,865.0,835.0,855.0,7821400
2025-01-21,761.9380493164062,845.0,855.0,835.0,850.0,8804100
2025-01-22,784.4805908203125,870.0,905.0,840.0,850.0,66138600
2025-01-23,766.4465942382812,850.0,895.0,850.0,880.0,36483300
2025-01-24,766.4465942382812,850.0,865.0,835.0,855.0,13353700
2025-01-30,766.4465942382812,850.0,865.0,820.0,855.0,19311300
2025-01-31,766.4465942382812,850.0,860.0,825.0,850.0,15210900
2025-02-03,743.9039916992188,825.0,850.0,795.0,840.0,39015300
2025-02-04,743.9039916992188,825.0,835.0,820.0,830.0,9797100
2025-02-05,730.3784790039062,810.0,830.0,810.0,825.0,8463400
2025-02-06,725.8699951171875,805.0,830.0,800.0,830.0,6442000
2025-02-07,757.4295043945312,840.0,840.0,790.0,805.0,17050700
2025-02-10,730.3784790039062,810.0,845.0,810.0,845.0,9859100
2025-02-11,739.3955078125,820.0,825.0,805.0,810.0,5970500
2025-02-12,739.3955078125,820.0,820.0,800.0,820.0,7415000
2025-02-13,725.8699951171875,805.0,820.0,800.0,815.0,4851600
2025-02-14,725.8699951171875,805.0,830.0,805.0,810.0,13531400
2025-02-17,725.8699951171875,805.0,820.0,800.0,815.0,13751700
2025-02-18,725.8699951171875,805.0,810.0,795.0,810.0,11884600
2025-02-19,730.3784790039062,810.0,815.0,795.0,805.0,17498800
2025-02-20,721.3615112304688,800.0,815.0,795.0,815.0,7695200
2025-02-21,703.3274536132812,780.0,805.0,780.0,800.0,12585500
2025-02-24,676.2763671875,750.0,780.0,750.0,780.0,17112500
2025-02-25,676.2763671875,750.0,760.0,695.0,760.0,21786400
2025-02-26,667.2593383789062,740.0,760.0,740.0,750.0,5390400
2025-02-27,658.2423706054688,730.0,750.0,705.0,740.0,10731800
2025-02-28,658.2423706054688,730.0,730.0,670.0,730.0,49300900
2025-03-03,640.208251953125,710.0,745.0,700.0,730.0,20712200
2025-03-04,581.5977172851562,645.0,715.0,645.0,710.0,20763100
2025-03-05,577.0891723632812,640.0,675.0,625.0,645.0,25890300
2025-03-06,590.6146850585938,655.0,675.0,645.0,655.0,14422900
2025-03-07,604.1401977539062,670.0,675.0,650.0,655.0,9374600
2025-03-10,586.106201171875,650.0,680.0,640.0,680.0,13368500
2025-03-11,541.0211181640625,600.0,640.0,600.0,635.0,22821800
2025-03-12,541.0211181640625,600.0,615.0,595.0,605.0,7209900
2025-03-13,536.5126342773438,595.0,610.0,585.0,600.0,12191600
2025-03-14,527.4955444335938,585.0,600.0,575.0,595.0,12556800
2025-03-17,509.4615478515625,565.0,595.0,565.0,585.0,8629400
2025-03-18,500.44451904296875,555.0,600.0,530.0,570.0,21127500
2025-03-19,504.9530334472656,560.0,575.0,550.0,555.0,10503300
2025-03-20,522.987060546875,580.0,600.0,565.0,570.0,14203600
2025-03-21,509.4615478515625,565.0,590.0,545.0,590.0,30396400
2025-03-24,504.9530334472656,560.0,570.0,530.0,555.0,23067800
2025-03-25,500.44451904296875,555.0,575.0,550.0,570.0,3824600
2025-03-26,513.9700317382812,570.0,585.0,560.0,560.0,6625900
2025-03-27,541.0211181640625,600.0,600.0,555.0,570.0,18923900
2025-04-08,486.9189758300781,540.0,565.0,510.0,510.0,22943800
2025-04-09,522.987060546875,580.0,580.0,530.0,535.0,15474500
2025-04-10,563.5635986328125,625.0,640.0,595.0,600.0,21890400
2025-04-11,554.546630859375,615.0,625.0,600.0,610.0,3846600
2025-04-14,563.5635986328125,625.0,635.0,620.0,630.0,6076600
2025-04-15,572.5806274414062,635.0,680.0,620.0,635.0,24283700
2025-04-16,550.0381469726562,610.0,655.0,610.0,635.0,7323200
2025-04-17,554.546630859375,615.0,630.0,610.0,615.0,4977800
2025-04-21,532.0040283203125,590.0,615.0,585.0,615.0,6376600
2025-04-22,559.0551147460938,620.0,645.0,595.0,595.0,14266800
2025-04-23,568.0721435546875,630.0,635.0,615.0,630.0,12326800
2025-04-24,563.5635986328125,625.0,645.0,615.0,635.0,5963700
2025-04-25,572.5806274414062,635.0,640.0,620.0,635.0,6417900
2025-04-28,572.5806274414062,625.0,635.0,620.0,630.0,4553200
2025-04-29,568.0,620.0,640.0,615.0,630.0,7755200
2025-04-30,554.258056640625,605.0,620.0,605.0,620.0,8674300
2025-05-02,540.51611328125,590.0,615.0,590.0,605.0,13999900
2025-05-05,563.4193725585938,615.0,620.0,595.0,595.0,11693700
2025-05-06,590.9032592773438,645.0,645.0,610.0,620.0,18004200
2025-05-07,577.1613159179688,630.0,650.0,630.0,650.0,10976300
2025-05-08,558.8387451171875,610.0,645.0,610.0,635.0,10210300
2025-05-09,513.0322875976562,560.0,625.0,540.0,610.0,46247800
2025-05-14,535.9354858398438,585.0,595.0,565.0,570.0,21853200
2025-05-15,526.7742309570312,575.0,590.0,570.0,585.0,24093800
2025-05-16,526.7742309570312,575.0,595.0,565.0,575.0,32735600
2025-05-19,558.8387451171875,610.0,615.0,570.0,580.0,141644600
2025-05-20,577.1613159179688,630.0,665.0,610.0,635.0,181472800
2025-05-21,581.741943359375,635.0,640.0,615.0,630.0,83394900
2025-05-22,572.5806274414062,625.0,645.0,615.0,630.0,105209800
2025-05-23,568.0,620.0,640.0,620.0,635.0,64934200
2025-05-26,554.258056640625,605.0,620.0,600.0,620.0,46410900
2025-05-27,549.6774291992188,600.0,615.0,595.0,605.0,31104600
2025-05-28,540.51611328125,590.0,610.0,590.0,605.0,41381100
2025-06-02,531.3548583984375,580.0,585.0,565.0,585.0,51145600
2025-06-03,517.6129150390625,565.0,585.0,560.0,585.0,30290900
2025-06-04,549.6774291992188,600.0,605.0,565.0,570.0,70129300
2025-06-05,545.0968017578125,595.0,605.0,585.0,605.0,23666100
2025-06-10,535.9354858398438,585.0,600.0,580.0,595.0,22472000
2025-06-11,540.51611328125,590.0,595.0,580.0,585.0,21318500
2025-06-12,540.51611328125,590.0,605.0,585.0,600.0,26034400
2025-06-13,581.741943359375,635.0,645.0,585.0,595.0,129711100
2025-06-16,563.4193725585938,615.0,660.0,615.0,645.0,101371300
2025-06-17,558.8387451171875,610.0,630.0,600.0,620.0,42855100
2025-06-18,645.8709716796875,705.0,705.0,610.0,615.0,276015600
2025-06-19,632.1290283203125,690.0,715.0,650.0,710.0,243633000
2025-06-20,609.225830078125,665.0,725.0,665.0,690.0,182654300
2025-06-23,622.9677734375,680.0,710.0,670.0,680.0,112484300
2025-06-24,563.4193725585938,615.0,665.0,615.0,665.0,99364300
2025-06-25,531.3548583984375,580.0,635.0,580.0,620.0,109204700
2025-06-26,522.1935424804688,570.0,590.0,560.0,585.0,75114900
2025-06-30,531.3548583984375,580.0,585.0,570.0,570.0,30935300
2025-07-01,535.9354858398438,585.0,595.0,575.0,580.0,31492600
2025-07-02,522.1935424804688,570.0,595.0,565.0,590.0,42434400
2025-07-03,540.51611328125,590.0,595.0,570.0,570.0,33157600
2025-07-04,526.7742309570312,575.0,595.0,570.0,590.0,15814600
2025-07-07,522.1935424804688,570.0,580.0,560.0,575.0,19023500
2025-07-08,531.3548583984375,580.0,585.0,570.0,570.0,17389000
2025-07-09,535.9354858398438,585.0,590.0,575.0,580.0,21234000
2025-07-10,545.0968017578125,595.0,600.0,585.0,585.0,23478400
2025-07-11,549.6774291992188,600.0,605.0,590.0,595.0,19139900
2025-07-14,531.3548583984375,580.0,605.0,575.0,600.0,30875900
2025-07-15,535.9354858398438,585.0,590.0,575.0,585.0,16031500
2025-07-16,535.9354858398438,585.0,595.0,575.0,590.0,20921900
2025-07-17,535.9354858398438,585.0,590.0,575.0,585.0,19525800
2025-07-18,535.9354858398438,585.0,590.0,580.0,585.0,25260400
2025-07-21,526.7742309570312,575.0,590.0,570.0,590.0,38164000
2025-07-22,526.7742309570312,575.0,585.0,565.0,575.0,43863600
2025-07-23,522.1935424804688,570.0,585.0,565.0,580.0,33147700
2025-07-24,568.0,620.0,640.0,575.0,575.0,260484400
2025-07-25,581.741943359375,635.0,660.0,625.0,625.0,180849600
2025-07-28,568.0,620.0,640.0,605.0,610.0,106341600
2025-07-29,572.5806274414062,625.0,630.0,610.0,620.0,33667700
2025-07-30,581.741943359375,635.0,655.0,625.0,630.0,97197100
2025-07-31,577.1613159179688,630.0,640.0,615.0,635.0,42335200
2025-08-01,581.741943359375,635.0,640.0,620.0,635.0,39847800
2025-08-04,586.3225708007812,640.0,660.0,620.0,635.0,106297200
2025-08-05,586.3225708007812,640.0,660.0,620.0,640.0,84743500
2025-08-06,577.1613159179688,630.0,650.0,625.0,650.0,28874600
2025-08-07,568.0,620.0,635.0,600.0,630.0,59712500
2025-08-08,549.6774291992188,600.0,620.0,600.0,620.0,25854600
2025-08-11,545.0968017578125,595.0,605.0,590.0,600.0,18614700
2025-08-12,540.51611328125,590.0,605.0,590.0,595.0,21189500
2025-08-13,535.9354858398438,585.0,610.0,580.0,595.0,38535500
2025-08-14,535.9354858398438,585.0,595.0,580.0,590.0,17156400
2025-08-15,526.7742309570312,575.0,595.0,570.0,590.0,27211300
2025-08-19,535.9354858398438,585.0,585.0,575.0,575.0,24609000
2025-08-20,540.51611328125,590.0,590.0,580.0,585.0,20721500
2025-08-21,535.9354858398438,585.0,595.0,580.0,595.0,22810200
2025-08-22,535.9354858398438,585.0,590.0,580.0,585.0,13223700
2025-08-25,526.7742309570312,575.0,590.0,575.0,585.0,33015600
2025-08-26,526.7742309570312,575.0,585.0,570.0,580.0,26093400
2025-08-27,540.51611328125,590.0,600.0,575.0,575.0,31395200
2025-08-28,531.3548583984375,580.0,595.0,575.0,590.0,23220200
2025-08-29,517.6129150390625,565.0,580.0,550.0,575.0,56838400
2025-09-01,513.0322875976562,560.0,565.0,525.0,545.0,23558500
2025-09-02,526.7742309570312,575.0,580.0,560.0,560.0,21653500
2025-09-03,540.51611328125,590.0,600.0,575.0,575.0,35664700
2025-09-04,554.258056640625,605.0,625.0,585.0,595.0,106629600
2025-09-08,554.258056640625,605.0,650.0,605.0,610.0,163516300
2025-09-09,572.5806274414062,625.0,630.0,595.0,605.0,71167300
2025-09-10,558.8387451171875,610.0,630.0,605.0,625.0,22396700
2025-09-11,627.5484008789062,685.0,685.0,625.0,640.0,271358900
2025-09-12,622.9677734375,680.0,690.0,655.0,685.0,106700300
2025-09-15,604.6452026367188,660.0,690.0,655.0,690.0,66123500
2025-09-16,600.0645141601562,655.0,680.0,645.0,660.0,66526600
2025-09-17,604.6452026367188,660.0,685.0,650.0,660.0,56621500
2025-09-18,581.741943359375,635.0,670.0,635.0,665.0,41644900
2025-09-19,581.741943359375,635.0,645.0,620.0,635.0,62637100
2025-09-22,577.1613159179688,630.0,650.0,625.0,640.0,35618000
2025-09-23,581.741943359375,635.0,640.0,620.0,630.0,38735300
2025-09-24,568.0,620.0,640.0,615.0,640.0,34831400
2025-09-25,613.8064575195312,670.0,685.0,620.0,625.0,131150800
2025-09-26,595.48388671875,650.0,675.0,645.0,670.0,38240800
2025-09-29,645.8709716796875,705.0,710.0,655.0,660.0,124514700
2025-09-30,641.2903442382812,700.0,765.0,690.0,705.0,251594600
2025-10-01,682.5161743164062,745.0,765.0,670.0,700.0,182298500
2025-10-02,659.6129150390625,720.0,750.0,715.0,745.0,63340800
2025-10-03,655.0322875976562,715.0,740.0,705.0,725.0,49188000
2025-10-06,659.6129150390625,720.0,730.0,700.0,715.0,50900300
2025-10-07,636.709716796875,695.0,725.0,690.0,720.0,58486500
2025-10-08,659.6129150390625,720.0,720.0,670.0,695.0,80170800
2025-10-09,641.2903442382812,700.0,745.0,695.0,745.0,70247200
2025-10-10,632.1290283203125,690.0,715.0,685.0,705.0,34097500
2025-10-13,604.6452026367188,660.0,685.0,650.0,680.0,91735100
2025-10-14,572.5806274414062,625.0,675.0,620.0,665.0,104043500
2025-10-15,554.258056640625,605.0,630.0,600.0,625.0,55825900
2025-10-16,554.258056640625,605.0,620.0,600.0,600.0,25275000
2025-10-17,540.51611328125,590.0,610.0,585.0,605.0,40294600
2025-10-20,549.6774291992188,600.0,605.0,590.0,595.0,33899000
2025-10-21,563.4193725585938,615.0,625.0,600.0,605.0,44523600
2025-10-22,554.258056640625,605.0,630.0,605.0,625.0,24015600
2025-10-23,554.258056640625,605.0,620.0,595.0,600.0,25992900
2025-10-24,558.8387451171875,610.0,620.0,605.0,605.0,18532000
2025-10-27,540.51611328125,590.0,615.0,580.0,610.0,50112700
2025-10-28,540.51611328125,590.0,605.0,585.0,590.0,25430200
2025-10-29,558.8387451171875,610.0,615.0,590.0,595.0,34479200
2025-10-30,577.1613159179688,630.0,635.0,605.0,610.0,53914400
2025-10-31,563.4193725585938,615.0,635.0,610.0,630.0,20869300
