Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,309.8958740234375,328.0,350.0,328.0,350.0,57940500
2025-01-03,309.8958740234375,328.0,334.0,328.0,328.0,5209900
2025-01-06,308.0062561035156,326.0,332.0,326.0,330.0,4690400
2025-01-07,311.7854919433594,330.0,334.0,320.0,328.0,8151600
2025-01-08,304.22705078125,322.0,332.0,320.0,332.0,26824500
2025-01-09,298.5581970214844,316.0,324.0,314.0,322.0,12475600
2025-01-10,300.4478454589844,318.0,322.0,312.0,318.0,8767100
2025-01-13,340.1296081542969,360.0,396.0,318.0,320.0,174728700
2025-01-14,332.5711669921875,352.0,384.0,352.0,360.0,49397700
2025-01-15,349.5776672363281,370.0,372.0,356.0,356.0,13606400
2025-01-16,345.7984313964844,366.0,378.0,360.0,374.0,14642000
2025-01-17,342.01922607421875,362.0,376.0,360.0,368.0,14838800
2025-01-20,340.1296081542969,360.0,368.0,356.0,362.0,8718400
2025-01-21,340.1296081542969,360.0,366.0,358.0,362.0,8196100
2025-01-22,355.2464599609375,376.0,378.0,364.0,366.0,21416400
2025-01-23,342.01922607421875,362.0,380.0,362.0,378.0,9803600
2025-01-24,340.1296081542969,360.0,368.0,360.0,364.0,4015700
2025-01-30,353.35687255859375,374.0,374.0,360.0,360.0,19104000
2025-01-31,404.3763427734375,428.0,454.0,380.0,380.0,141364600
2025-02-03,408.1555480957031,432.0,438.0,412.0,430.0,64909600
2025-02-04,413.8243713378906,438.0,464.0,432.0,438.0,71039600
2025-02-05,444.05810546875,470.0,470.0,438.0,442.0,62215300
2025-02-06,438.3892822265625,464.0,476.0,450.0,472.0,61190300
2025-02-07,432.720458984375,458.0,466.0,432.0,466.0,18185300
2025-02-10,423.2724304199219,448.0,464.0,442.0,460.0,14736400
2025-02-11,440.27886962890625,466.0,480.0,458.0,460.0,29561700
2025-02-12,430.8308410644531,456.0,468.0,454.0,466.0,23159700
2025-02-13,436.4996643066406,462.0,466.0,448.0,458.0,7735500
2025-02-14,462.9541931152344,490.0,505.0,466.0,468.0,64655600
2025-02-17,462.9541931152344,490.0,520.0,480.0,490.0,34070600
2025-02-18,461.0646057128906,488.0,498.0,480.0,492.0,17380700
