Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,3456.830078125,3570.0,3660.0,3560.0,3620.0,3175000
2025-01-03,3447.14697265625,3560.0,3600.0,3550.0,3570.0,1514600
2025-01-06,3369.682861328125,3480.0,3580.0,3470.0,3570.0,8128600
2025-01-07,3360.000244140625,3470.0,3500.0,3470.0,3480.0,5193700
2025-01-08,3311.585205078125,3420.0,3480.0,3400.0,3470.0,7999800
2025-01-09,3301.902099609375,3410.0,3440.0,3400.0,3420.0,3614100
2025-01-10,3321.26806640625,3430.0,3460.0,3410.0,3410.0,2808200
2025-01-13,3321.26806640625,3430.0,3500.0,3430.0,3450.0,5468400
2025-01-14,3563.343017578125,3680.0,3750.0,3440.0,3440.0,18120900
2025-01-15,3534.294189453125,3650.0,3710.0,3580.0,3700.0,8441400
2025-01-16,3476.196044921875,3590.0,3630.0,3580.0,3620.0,3703700
2025-01-17,3456.830078125,3570.0,3630.0,3560.0,3600.0,3584000
2025-01-20,3466.51318359375,3580.0,3650.0,3570.0,3570.0,4849200
2025-01-21,3466.51318359375,3580.0,3640.0,3580.0,3600.0,3025900
2025-01-22,3427.781005859375,3540.0,3620.0,3540.0,3590.0,3338000
2025-01-23,3311.585205078125,3420.0,3540.0,3420.0,3540.0,6833300
2025-01-24,3108.2421875,3210.0,3460.0,3200.0,3430.0,19583400
2025-01-30,2943.631103515625,3040.0,3230.0,3010.0,3220.0,16002000
2025-01-31,2904.899169921875,3000.0,3080.0,2990.0,3040.0,12502300
2025-02-03,2749.97119140625,2840.0,3020.0,2810.0,3010.0,18695500
2025-02-04,2730.605224609375,2820.0,2910.0,2800.0,2850.0,8754300
2025-02-05,2749.97119140625,2840.0,2880.0,2800.0,2850.0,7042800
2025-02-06,2749.97119140625,2840.0,2870.0,2780.0,2870.0,7340300
2025-02-07,2837.1181640625,2930.0,2940.0,2800.0,2850.0,10357200
2025-02-10,2740.288330078125,2830.0,2940.0,2830.0,2940.0,6072800
2025-02-11,2624.09228515625,2710.0,2870.0,2710.0,2830.0,5669900
2025-02-12,2624.09228515625,2710.0,2780.0,2700.0,2710.0,7446400
2025-02-13,2691.873046875,2780.0,2800.0,2720.0,2740.0,6294000
2025-02-14,2691.873046875,2780.0,2840.0,2780.0,2800.0,4746400
2025-02-17,2875.85009765625,2970.0,3000.0,2810.0,2810.0,7969100
2025-02-18,2895.21630859375,2990.0,3020.0,2940.0,2970.0,6871600
2025-02-19,2798.38623046875,2890.0,2990.0,2890.0,2990.0,3953500
2025-02-20,2827.435302734375,2920.0,2930.0,2850.0,2890.0,2729100
2025-02-21,2953.314208984375,3050.0,3090.0,2960.0,2990.0,11746800
2025-02-24,2846.80126953125,2940.0,3040.0,2930.0,3040.0,5632100
2025-02-25,2662.82421875,2750.0,2940.0,2750.0,2940.0,5995000
2025-02-26,2788.703369140625,2880.0,2950.0,2720.0,2750.0,6349100
2025-02-27,2866.1669921875,2960.0,3030.0,2880.0,2890.0,11446600
2025-02-28,2817.752197265625,2910.0,2950.0,2780.0,2950.0,7489100
2025-03-03,2808.069091796875,2900.0,2930.0,2860.0,2910.0,4180200
2025-03-04,2662.82421875,2750.0,2930.0,2710.0,2920.0,5889000
2025-03-05,2759.654052734375,2850.0,2890.0,2760.0,2770.0,5139200
2025-03-06,2749.97119140625,2840.0,2920.0,2820.0,2840.0,4389000
2025-03-07,3001.729248046875,3100.0,3170.0,2880.0,2890.0,22740400
2025-03-10,2711.2392578125,2800.0,3080.0,2780.0,3080.0,30887900
2025-03-11,2517.579345703125,2600.0,2780.0,2560.0,2780.0,31433900
2025-03-12,2469.164306640625,2550.0,2610.0,2520.0,2600.0,15506700
2025-03-13,2449.79833984375,2530.0,2600.0,2510.0,2590.0,11095400
2025-03-14,2382.017333984375,2460.0,2560.0,2460.0,2560.0,16465100
2025-03-17,2459.4814453125,2540.0,2580.0,2460.0,2480.0,28916200
2025-03-18,2352.96826171875,2430.0,2550.0,2390.0,2540.0,22559600
2025-03-19,2323.91943359375,2400.0,2440.0,2340.0,2430.0,28604900
2025-03-20,2227.08935546875,2300.0,2430.0,2290.0,2390.0,24321500
2025-03-21,2072.161376953125,2140.0,2300.0,2140.0,2300.0,34194400
2025-03-24,2033.429443359375,2100.0,2140.0,2020.0,2110.0,32224400
2025-03-25,2101.21044921875,2170.0,2250.0,2040.0,2100.0,35882200
2025-03-26,2236.772216796875,2310.0,2340.0,2170.0,2190.0,31655900
2025-03-27,2198.040283203125,2270.0,2300.0,2240.0,2300.0,10752000
2025-04-08,1868.8184814453125,1930.0,1980.0,1930.0,1980.0,27392200
2025-04-09,1781.6715087890625,1840.0,1920.0,1825.0,1895.0,40803800
2025-04-10,1975.3314208984375,2040.0,2150.0,1930.0,2000.0,64205600
2025-04-11,2120.576416015625,2190.0,2240.0,1990.0,2020.0,29223200
2025-04-14,2207.723388671875,2280.0,2310.0,2200.0,2200.0,21657600
2025-04-15,2227.08935546875,2300.0,2350.0,2230.0,2280.0,16184900
2025-04-16,2265.8212890625,2340.0,2390.0,2230.0,2300.0,18846800
2025-04-17,2314.236328125,2390.0,2440.0,2340.0,2340.0,13504200
2025-04-21,2314.236328125,2390.0,2460.0,2380.0,2400.0,9904000
2025-04-22,2478.84716796875,2560.0,2570.0,2370.0,2400.0,18202100
2025-04-23,2372.334228515625,2450.0,2600.0,2420.0,2600.0,19213600
2025-04-24,2362.6513671875,2440.0,2530.0,2420.0,2450.0,17237600
2025-04-25,2430.432373046875,2510.0,2560.0,2460.0,2460.0,14385700
2025-04-28,2430.432373046875,2510.0,2540.0,2480.0,2530.0,4893500
2025-04-29,2430.432373046875,2510.0,2530.0,2500.0,2520.0,4837700
2025-04-30,2411.066162109375,2490.0,2590.0,2490.0,2560.0,27129800
2025-05-02,2401.383544921875,2480.0,2530.0,2460.0,2490.0,10919000
2025-05-05,2420.749267578125,2500.0,2540.0,2490.0,2490.0,8458400
2025-05-06,2565.994384765625,2650.0,2660.0,2510.0,2540.0,34148800
2025-05-07,2759.654052734375,2850.0,2970.0,2640.0,2650.0,70354500
2025-05-08,2672.50732421875,2760.0,2920.0,2750.0,2870.0,39319500
2025-05-09,2769.337158203125,2860.0,2880.0,2760.0,2760.0,26095600
2025-05-14,2808.069091796875,2900.0,2980.0,2880.0,2910.0,28666600
2025-05-15,2749.97119140625,2840.0,2930.0,2840.0,2900.0,13347200
2025-05-16,2856.484375,2950.0,3080.0,2880.0,2900.0,64101300
2025-05-19,2904.899169921875,3000.0,3040.0,2970.0,2970.0,24720300
2025-05-20,2837.1181640625,2930.0,3010.0,2930.0,3000.0,14460700
2025-05-21,3195.38916015625,3300.0,3320.0,2950.0,2950.0,61047300
2025-05-22,3292.21923828125,3400.0,3440.0,3310.0,3330.0,58538300
2025-05-23,3427.781005859375,3540.0,3570.0,3460.0,3460.0,25383700
2025-05-26,3485.87890625,3600.0,3750.0,3540.0,3540.0,43848000
2025-05-27,3459.734375,3520.0,3600.0,3510.0,3600.0,14369800
2025-05-28,3449.90576171875,3510.0,3650.0,3500.0,3530.0,24858300
2025-06-02,3469.563232421875,3530.0,3540.0,3450.0,3520.0,12540300
2025-06-03,3528.535888671875,3590.0,3640.0,3540.0,3550.0,17136600
2025-06-04,3803.7421875,3870.0,3920.0,3610.0,3630.0,47796900
2025-06-05,3646.4814453125,3710.0,3900.0,3680.0,3880.0,23768200
2025-06-10,3440.076904296875,3500.0,3730.0,3400.0,3710.0,50171100
2025-06-11,3459.734375,3520.0,3540.0,3370.0,3500.0,39270300
2025-06-12,3400.76171875,3460.0,3520.0,3440.0,3510.0,16121900
2025-06-13,3371.275390625,3430.0,3530.0,3430.0,3470.0,8545600
2025-06-16,3567.85107421875,3630.0,3660.0,3400.0,3430.0,30644600
2025-06-17,3567.85107421875,3630.0,3660.0,3560.0,3640.0,17240400
2025-06-18,3400.76171875,3460.0,3640.0,3440.0,3640.0,14199000
2025-06-19,3253.329833984375,3310.0,3510.0,3310.0,3460.0,15213400
2025-06-20,3194.357177734375,3250.0,3340.0,3230.0,3310.0,12718700
2025-06-23,3046.92529296875,3100.0,3210.0,3050.0,3210.0,27991200
2025-06-24,3115.726806640625,3170.0,3210.0,3120.0,3120.0,8125300
2025-06-25,3037.096435546875,3090.0,3210.0,3080.0,3210.0,6352000
2025-06-26,3174.699462890625,3230.0,3270.0,3100.0,3100.0,12277000
2025-06-30,3390.932861328125,3450.0,3500.0,3230.0,3270.0,15322400
2025-07-01,3440.076904296875,3500.0,3530.0,3390.0,3460.0,15143600
2025-07-02,3371.275390625,3430.0,3510.0,3390.0,3500.0,9152200
2025-07-03,3390.932861328125,3450.0,3510.0,3430.0,3450.0,6395100
2025-07-04,3499.049560546875,3560.0,3580.0,3470.0,3500.0,14179600
2025-07-07,3361.446533203125,3420.0,3600.0,3400.0,3600.0,11432500
2025-07-08,3263.15869140625,3320.0,3420.0,3310.0,3410.0,7802900
2025-07-09,3253.329833984375,3310.0,3360.0,3300.0,3350.0,5835800
2025-07-10,3302.473876953125,3360.0,3420.0,3320.0,3320.0,9744800
2025-07-11,3351.61767578125,3410.0,3450.0,3390.0,3400.0,7850500
2025-07-14,3400.76171875,3460.0,3470.0,3370.0,3430.0,7575100
2025-07-15,3410.590576171875,3470.0,3520.0,3400.0,3470.0,12145700
2025-07-16,3440.076904296875,3500.0,3540.0,3500.0,3520.0,7790500
2025-07-17,3361.446533203125,3420.0,3510.0,3420.0,3510.0,7597400
2025-07-18,3272.9873046875,3330.0,3460.0,3320.0,3440.0,14926100
2025-07-21,3587.5087890625,3650.0,3690.0,3350.0,3350.0,29292700
2025-07-22,3567.85107421875,3630.0,3820.0,3630.0,3700.0,41062200
2025-07-23,3626.823974609375,3690.0,3700.0,3570.0,3680.0,8159000
2025-07-24,3646.4814453125,3710.0,3750.0,3650.0,3700.0,10317800
2025-07-25,3587.5087890625,3650.0,3750.0,3610.0,3710.0,7136100
2025-07-28,3656.310302734375,3720.0,3760.0,3640.0,3670.0,12230900
2025-07-29,3695.62548828125,3760.0,3770.0,3700.0,3730.0,9309700
2025-07-30,3607.166259765625,3670.0,3790.0,3660.0,3760.0,7383900
2025-07-31,3390.932861328125,3450.0,3650.0,3450.0,3650.0,20708600
2025-08-01,3499.049560546875,3560.0,3570.0,3460.0,3460.0,6300500
2025-08-04,3705.4541015625,3770.0,3790.0,3570.0,3580.0,17970800
2025-08-05,3626.823974609375,3690.0,3800.0,3690.0,3780.0,12625200
2025-08-06,3823.399658203125,3890.0,3890.0,3700.0,3750.0,19456700
2025-08-07,4029.80419921875,4100.0,4140.0,3810.0,3900.0,48350900
2025-08-08,3941.34521484375,4010.0,4120.0,4010.0,4110.0,15578300
2025-08-11,3852.885986328125,3920.0,4080.0,3920.0,4030.0,12747300
2025-08-12,3852.885986328125,3920.0,3990.0,3870.0,3920.0,9275200
2025-08-13,3862.71484375,3930.0,4070.0,3930.0,4000.0,11556400
2025-08-14,3862.71484375,3930.0,4020.0,3910.0,4020.0,4446100
2025-08-15,3626.823974609375,3690.0,3980.0,3670.0,3900.0,16634600
2025-08-19,3656.310302734375,3720.0,3780.0,3670.0,3740.0,8810800
