Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,6916.31689453125,7475.0,7750.0,7325.0,7750.0,6664900
2025-01-03,6985.71142578125,7550.0,7650.0,7450.0,7525.0,6037900
2025-01-06,6823.791015625,7375.0,7500.0,7325.0,7500.0,5623300
2025-01-07,6893.185546875,7450.0,7450.0,7275.0,7375.0,9008100
2025-01-08,6916.31689453125,7475.0,7475.0,7375.0,7475.0,4544100
2025-01-09,6939.44873046875,7500.0,7575.0,7375.0,7475.0,4878300
2025-01-10,7147.6318359375,7725.0,7875.0,7525.0,7525.0,9687000
2025-01-13,7147.6318359375,7725.0,7775.0,7525.0,7700.0,9607900
2025-01-14,6962.57958984375,7525.0,7700.0,7500.0,7700.0,11063800
2025-01-15,7124.50048828125,7700.0,7700.0,7525.0,7525.0,8521800
2025-01-16,7008.84326171875,7575.0,7800.0,7575.0,7700.0,12172900
2025-01-17,7031.974609375,7600.0,7625.0,7450.0,7575.0,7870400
2025-01-20,6823.791015625,7375.0,7600.0,7375.0,7600.0,6379800
2025-01-21,6893.185546875,7450.0,7500.0,7375.0,7400.0,6124100
2025-01-22,7055.10595703125,7625.0,7700.0,7450.0,7450.0,11271200
2025-01-23,6939.44873046875,7500.0,7775.0,7500.0,7675.0,10736000
2025-01-24,6985.71142578125,7550.0,7775.0,7500.0,7575.0,8203900
2025-01-30,7055.10595703125,7625.0,7650.0,7500.0,7550.0,6145500
2025-01-31,7263.28955078125,7850.0,7850.0,7575.0,7625.0,11044600
2025-02-03,7055.10595703125,7625.0,7850.0,7525.0,7850.0,10474800
2025-02-04,7124.50048828125,7700.0,7825.0,7600.0,7625.0,7501300
2025-02-05,6962.57958984375,7525.0,7700.0,7450.0,7575.0,9710600
2025-02-06,6962.57958984375,7525.0,7550.0,7450.0,7525.0,6866800
2025-02-07,7078.2373046875,7650.0,7650.0,7400.0,7550.0,7629300
2025-02-10,7193.89501953125,7775.0,8175.0,7675.0,7675.0,14592500
2025-02-11,7124.50048828125,7700.0,7800.0,7650.0,7775.0,6946200
2025-02-12,7217.0263671875,7800.0,7850.0,7725.0,7725.0,5349600
2025-02-13,7217.0263671875,7800.0,7950.0,7700.0,7800.0,8661800
2025-02-14,7170.763671875,7750.0,7900.0,7750.0,7800.0,3998600
2025-02-17,7240.158203125,7825.0,7925.0,7750.0,7750.0,4776400
2025-02-18,7263.28955078125,7850.0,7875.0,7775.0,7825.0,2868600
2025-02-19,7402.07861328125,8000.0,8075.0,7825.0,7850.0,12307500
2025-02-20,7378.94677734375,7975.0,8000.0,7775.0,8000.0,7553700
2025-02-21,7124.50048828125,7700.0,7975.0,7700.0,7975.0,8930700
2025-02-24,7309.55224609375,7900.0,7900.0,7700.0,7700.0,4720100
2025-02-25,7240.158203125,7825.0,7950.0,7750.0,7900.0,5652200
2025-02-26,7147.6318359375,7725.0,7775.0,7450.0,7750.0,11788900
2025-02-27,7031.974609375,7600.0,7700.0,7500.0,7700.0,7256500
2025-02-28,6592.47607421875,7125.0,7625.0,7050.0,7550.0,22647000
2025-03-03,6800.65966796875,7350.0,7500.0,7100.0,7200.0,7086800
2025-03-04,6777.5283203125,7325.0,7450.0,7175.0,7350.0,6242600
2025-03-05,6870.05419921875,7425.0,7475.0,7275.0,7325.0,7505800
2025-03-06,6754.396484375,7300.0,7500.0,7300.0,7425.0,6797700
2025-03-07,6708.1337890625,7250.0,7325.0,7225.0,7275.0,6418600
2025-03-10,6985.71142578125,7550.0,7550.0,7225.0,7225.0,9491200
2025-03-11,6731.2646484375,7275.0,7475.0,7275.0,7475.0,9518800
2025-03-12,6916.31689453125,7475.0,7500.0,7275.0,7275.0,8069300
2025-03-13,6754.396484375,7300.0,7475.0,7250.0,7475.0,7096800
2025-03-14,6638.7392578125,7175.0,7325.0,7125.0,7300.0,8582900
2025-03-17,6731.2646484375,7275.0,7325.0,7150.0,7200.0,6236900
2025-03-18,6546.21337890625,7075.0,7275.0,6900.0,7275.0,11584800
