Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,2178.00634765625,2380.0,2460.0,2370.0,2460.0,14055700
2025-01-03,2187.15771484375,2390.0,2420.0,2380.0,2400.0,5456200
2025-01-06,2150.552734375,2350.0,2410.0,2320.0,2410.0,14448700
2025-01-07,2141.4013671875,2340.0,2370.0,2320.0,2350.0,5080800
2025-01-08,2141.4013671875,2340.0,2370.0,2310.0,2340.0,6845000
2025-01-09,2187.15771484375,2390.0,2430.0,2340.0,2340.0,4544400
2025-01-10,2178.00634765625,2380.0,2410.0,2380.0,2410.0,2506400
2025-01-13,2187.15771484375,2390.0,2390.0,2340.0,2380.0,3847600
2025-01-14,2159.703857421875,2360.0,2410.0,2360.0,2410.0,3118000
2025-01-15,2178.00634765625,2380.0,2390.0,2350.0,2360.0,5435700
2025-01-16,2150.552734375,2350.0,2380.0,2340.0,2380.0,5786100
2025-01-17,2086.49365234375,2280.0,2350.0,2270.0,2350.0,11054100
2025-01-20,2059.039794921875,2250.0,2310.0,2250.0,2290.0,5699500
2025-01-21,2095.64501953125,2290.0,2310.0,2260.0,2260.0,5291400
2025-01-22,2104.796142578125,2300.0,2340.0,2290.0,2300.0,9231700
2025-01-23,2132.25,2330.0,2360.0,2300.0,2320.0,13081300
2025-01-24,2132.25,2330.0,2370.0,2310.0,2330.0,6047500
2025-01-30,2095.64501953125,2290.0,2330.0,2250.0,2330.0,6271400
2025-01-31,2113.947509765625,2310.0,2340.0,2290.0,2330.0,14427200
2025-02-03,2049.888427734375,2240.0,2310.0,2210.0,2310.0,18361900
2025-02-04,2059.039794921875,2250.0,2270.0,2220.0,2240.0,18326000
2025-02-05,2040.7371826171875,2230.0,2260.0,2200.0,2260.0,9938400
2025-02-06,2004.132080078125,2190.0,2250.0,2150.0,2250.0,13348300
2025-02-07,2031.5858154296875,2220.0,2230.0,2160.0,2200.0,3139100
2025-02-10,1757.0472412109375,1920.0,2230.0,1905.0,2220.0,32268900
2025-02-11,1487.084228515625,1625.0,1920.0,1580.0,1920.0,128399400
2025-02-12,1592.323974609375,1740.0,1760.0,1610.0,1635.0,56036000
2025-02-13,1587.7484130859375,1735.0,1755.0,1680.0,1750.0,27100000
2025-02-14,1560.2945556640625,1705.0,1750.0,1700.0,1745.0,19760300
2025-02-17,1592.323974609375,1740.0,1765.0,1695.0,1700.0,20808800
2025-02-18,1583.1727294921875,1730.0,1770.0,1725.0,1740.0,21608100
2025-02-19,1555.7188720703125,1700.0,1730.0,1675.0,1730.0,35882300
2025-02-20,1606.051025390625,1755.0,1850.0,1700.0,1700.0,57943700
2025-02-21,1583.1727294921875,1730.0,1795.0,1720.0,1775.0,15661100
2025-02-24,1532.8406982421875,1675.0,1735.0,1665.0,1730.0,20609600
2025-02-25,1477.9329833984375,1615.0,1690.0,1610.0,1690.0,22161900
2025-02-26,1487.084228515625,1625.0,1640.0,1550.0,1630.0,22083200
2025-02-27,1450.4791259765625,1585.0,1645.0,1570.0,1640.0,17873600
2025-02-28,1354.3905029296875,1480.0,1585.0,1470.0,1585.0,39963500
2025-03-03,1464.2060546875,1600.0,1615.0,1505.0,1510.0,26227400
2025-03-04,1436.752197265625,1570.0,1610.0,1545.0,1600.0,25027300
2025-03-05,1445.9034423828125,1580.0,1630.0,1580.0,1605.0,24717800
2025-03-06,1409.2982177734375,1540.0,1595.0,1530.0,1585.0,43035100
2025-03-07,1409.2982177734375,1540.0,1555.0,1535.0,1540.0,14592500
2025-03-10,1409.2982177734375,1540.0,1555.0,1510.0,1540.0,17374200
2025-03-11,1386.420166015625,1515.0,1560.0,1505.0,1560.0,24721800
2025-03-12,1400.14697265625,1530.0,1545.0,1505.0,1515.0,16425300
2025-03-13,1400.14697265625,1530.0,1555.0,1515.0,1545.0,13951300
2025-03-14,1436.752197265625,1570.0,1585.0,1510.0,1530.0,19188100
2025-03-17,1459.63037109375,1595.0,1605.0,1565.0,1575.0,16203100
2025-03-18,1386.420166015625,1515.0,1595.0,1480.0,1595.0,24932700
2025-03-19,1345.2392578125,1470.0,1520.0,1465.0,1520.0,33901000
2025-03-20,1290.33154296875,1410.0,1490.0,1400.0,1480.0,29414400
2025-03-21,1221.6968994140625,1335.0,1425.0,1330.0,1415.0,44726500
2025-03-24,1294.9072265625,1415.0,1415.0,1310.0,1335.0,40493200
2025-03-25,1336.0880126953125,1460.0,1465.0,1390.0,1415.0,18255800
2025-03-26,1381.8443603515625,1510.0,1540.0,1460.0,1460.0,22649100
2025-03-27,1331.5123291015625,1455.0,1520.0,1450.0,1510.0,18572300
2025-04-08,1148.4866943359375,1255.0,1350.0,1240.0,1350.0,38192800
2025-04-09,1235.423828125,1350.0,1365.0,1255.0,1255.0,56227700
2025-04-10,1331.5123291015625,1455.0,1485.0,1405.0,1415.0,53545000
2025-04-11,1313.2098388671875,1435.0,1460.0,1410.0,1455.0,29860100
2025-04-14,1377.268798828125,1505.0,1520.0,1465.0,1470.0,26466000
2025-04-15,1436.752197265625,1570.0,1590.0,1510.0,1515.0,26007300
2025-04-16,1459.63037109375,1595.0,1630.0,1570.0,1570.0,26783500
2025-04-17,1587.7484130859375,1735.0,1775.0,1595.0,1600.0,58742600
2025-04-21,1537.416259765625,1680.0,1760.0,1640.0,1735.0,42611600
2025-04-22,1578.59716796875,1725.0,1735.0,1680.0,1690.0,22362900
2025-04-23,1587.7484130859375,1735.0,1755.0,1710.0,1740.0,18944500
2025-04-24,1697.5638427734375,1855.0,1855.0,1735.0,1735.0,42670900
2025-04-25,1688.41259765625,1845.0,1885.0,1830.0,1870.0,22223300
2025-04-28,1692.9881591796875,1850.0,1940.0,1830.0,1850.0,37674400
2025-04-29,1770.774169921875,1935.0,2030.0,1845.0,1855.0,92888700
2025-04-30,1601.475341796875,1750.0,2040.0,1700.0,1950.0,99538400
2025-05-02,1729.5933837890625,1890.0,1940.0,1830.0,1895.0,79438300
2025-05-05,1752.4715576171875,1915.0,1975.0,1865.0,1910.0,25967500
2025-05-06,1784.5010986328125,1950.0,1965.0,1910.0,1925.0,27720500
2025-05-07,1784.5010986328125,1950.0,1955.0,1910.0,1950.0,29363700
2025-05-08,1706.7152099609375,1865.0,1955.0,1855.0,1950.0,22152200
2025-05-09,1665.5343017578125,1820.0,1900.0,1790.0,1865.0,26088800
2025-05-14,1725.0177001953125,1885.0,1915.0,1845.0,1855.0,16648000
2025-05-15,1793.65234375,1960.0,1980.0,1890.0,1890.0,28935600
2025-05-16,1848.56005859375,2020.0,2020.0,1920.0,1970.0,41016900
2025-05-19,1921.7703857421875,2100.0,2130.0,2010.0,2020.0,28894000
2025-05-20,1876.013916015625,2050.0,2160.0,2000.0,2120.0,26534500
2025-05-21,1921.7703857421875,2100.0,2140.0,2040.0,2060.0,23125400
2025-05-22,1903.4677734375,2080.0,2130.0,2070.0,2120.0,13825200
2025-05-23,1940.072998046875,2120.0,2130.0,2080.0,2100.0,7605100
2025-05-26,1912.619140625,2090.0,2130.0,2090.0,2120.0,12912500
2025-05-27,1967.5269775390625,2150.0,2200.0,2110.0,2120.0,15258300
2025-05-28,1912.619140625,2090.0,2180.0,2090.0,2160.0,20327200
2025-06-02,1894.3165283203125,2070.0,2110.0,2010.0,2090.0,19769200
