Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,22146.732421875,26175.0,26725.0,26175.0,26525.0,894700
2025-01-03,22252.49609375,26300.0,26500.0,26050.0,26175.0,453800
2025-01-06,21829.443359375,25800.0,26350.0,25800.0,26300.0,981400
2025-01-07,21829.443359375,25800.0,25950.0,25575.0,25800.0,526200
2025-01-08,21469.8515625,25375.0,25825.0,25375.0,25800.0,836400
2025-01-09,21406.390625,25300.0,25500.0,25275.0,25425.0,594700
2025-01-10,21385.240234375,25275.0,25450.0,25125.0,25300.0,798900
2025-01-13,21342.935546875,25225.0,25475.0,24975.0,25375.0,1550600
2025-01-14,21491.00390625,25400.0,25825.0,25300.0,25700.0,735000
2025-01-15,21787.140625,25750.0,25750.0,25400.0,25400.0,532800
2025-01-16,21998.666015625,26000.0,26175.0,25750.0,25875.0,676500
2025-01-17,22083.275390625,26100.0,26150.0,25925.0,26000.0,538900
2025-01-20,21914.052734375,25900.0,26375.0,25800.0,26150.0,611500
2025-01-21,22104.427734375,26125.0,26300.0,25950.0,26025.0,689600
2025-01-22,22358.2578125,26425.0,26575.0,26125.0,26150.0,1068000
2025-01-23,22337.10546875,26400.0,26625.0,26325.0,26425.0,826200
2025-01-24,22273.6484375,26325.0,26500.0,26300.0,26400.0,426400
2025-01-30,21914.052734375,25900.0,26300.0,25800.0,26300.0,683300
2025-01-31,21892.90234375,25875.0,25900.0,25550.0,25900.0,683500
2025-02-03,22062.12109375,26075.0,26075.0,25675.0,25875.0,709200
2025-02-04,21892.90234375,25875.0,26150.0,25825.0,26075.0,376800
2025-02-05,22040.970703125,26050.0,26500.0,25850.0,26500.0,583900
2025-02-06,21533.30859375,25450.0,26050.0,25300.0,26050.0,925900
2025-02-07,21723.681640625,25675.0,25975.0,25075.0,25475.0,691800
2025-02-10,21321.783203125,25200.0,25825.0,25200.0,25825.0,417400
2025-02-11,21216.01953125,25075.0,25325.0,25050.0,25200.0,660800
2025-02-12,21448.69921875,25350.0,25700.0,25025.0,25700.0,619300
2025-02-13,21512.15625,25425.0,25425.0,25100.0,25350.0,344100
2025-02-14,21660.22265625,25600.0,25600.0,25375.0,25375.0,453200
2025-02-17,21765.986328125,25725.0,25725.0,25375.0,25600.0,533100
2025-02-18,21808.291015625,25775.0,25975.0,25675.0,25725.0,352400
2025-02-19,21744.8359375,25700.0,25975.0,25575.0,25775.0,728200
2025-02-20,21342.935546875,25225.0,25725.0,25200.0,25700.0,644900
2025-02-21,21385.240234375,25275.0,25400.0,25100.0,25250.0,468400
2025-02-24,21321.783203125,25200.0,25325.0,25100.0,25275.0,379700
2025-02-25,21004.494140625,24825.0,25250.0,24700.0,25175.0,990000
2025-02-26,20877.580078125,24675.0,25000.0,24400.0,24775.0,691600
2025-02-27,21004.494140625,24825.0,25475.0,24650.0,24700.0,973900
2025-02-28,20052.62890625,23700.0,24825.0,23600.0,24825.0,2066100
2025-03-03,20327.61328125,24025.0,24250.0,23725.0,23725.0,727100
2025-03-04,19523.81640625,23075.0,24100.0,23000.0,24000.0,1785400
2025-03-05,19650.73046875,23225.0,23425.0,23075.0,23125.0,1186700
2025-03-06,19883.41015625,23500.0,23700.0,23325.0,23375.0,1027300
2025-03-07,20052.62890625,23700.0,23775.0,23350.0,23525.0,913500
2025-03-10,20179.544921875,23850.0,23850.0,23275.0,23800.0,1178200
2025-03-11,20221.849609375,23900.0,23900.0,23100.0,23650.0,1112100
2025-03-12,19693.03515625,23275.0,23725.0,23200.0,23725.0,1057100
2025-03-13,19798.798828125,23400.0,23400.0,23025.0,23300.0,1342600
2025-03-14,19566.12109375,23125.0,23325.0,23050.0,23250.0,473200
2025-03-17,19396.8984375,22925.0,23175.0,22900.0,23125.0,1119500
2025-03-18,19037.3046875,22500.0,23100.0,22350.0,22925.0,1516000
2025-03-19,19164.220703125,22650.0,22800.0,22400.0,22500.0,822100
2025-03-20,19375.748046875,22900.0,23200.0,22725.0,22750.0,586600
2025-03-21,19016.154296875,22475.0,23100.0,22475.0,23000.0,1740200
2025-03-24,18508.4921875,21875.0,22550.0,21400.0,22475.0,1593900
2025-03-25,18995.001953125,22450.0,22475.0,21900.0,21900.0,966900
2025-03-26,19418.052734375,22950.0,23050.0,22450.0,22500.0,1743400
2025-03-27,19418.052734375,22950.0,23075.0,22750.0,22950.0,1181800
2025-04-08,18466.1875,21825.0,22275.0,21400.0,22000.0,3073300
2025-04-09,19269.984375,22775.0,22850.0,21850.0,21900.0,3290600
2025-04-10,19693.03515625,23275.0,23600.0,23075.0,23300.0,3388300
2025-04-11,19798.798828125,23400.0,23500.0,23150.0,23275.0,1245500
2025-04-14,20983.341796875,24800.0,24850.0,23675.0,23700.0,4473900
2025-04-15,20898.73046875,24700.0,25175.0,24625.0,24900.0,4223600
2025-04-16,20814.12109375,24600.0,25000.0,24425.0,24725.0,3318400
2025-04-17,20983.341796875,24800.0,24800.0,24500.0,24650.0,5325400
2025-04-21,20629.8203125,22175.0,22650.0,22175.0,22600.0,6782300
2025-04-22,20769.3671875,22325.0,22350.0,22025.0,22050.0,2911500
2025-04-23,20746.109375,22300.0,22600.0,22275.0,22450.0,3329300
2025-04-24,20513.529296875,22050.0,22450.0,22050.0,22325.0,2916400
2025-04-25,20560.046875,22100.0,22225.0,21950.0,22225.0,2714200
2025-04-28,20536.7890625,22075.0,22300.0,22000.0,22175.0,1644000
2025-04-29,20513.529296875,22050.0,22150.0,22000.0,22100.0,1698900
2025-04-30,20467.013671875,22000.0,22100.0,21950.0,22100.0,1870400
2025-05-02,20420.498046875,21950.0,22000.0,21875.0,22000.0,1423800
2025-05-05,20513.529296875,22050.0,22050.0,21900.0,21975.0,1268000
2025-05-06,20722.8515625,22275.0,22300.0,22050.0,22050.0,2018600
2025-05-07,20792.625,22350.0,22450.0,22300.0,22325.0,2375000
2025-05-08,20583.3046875,22125.0,22500.0,22050.0,22400.0,1592200
2025-05-09,20560.046875,22100.0,22150.0,22050.0,22125.0,638400
2025-05-14,20908.916015625,22475.0,22500.0,22250.0,22250.0,2269500
2025-05-15,20885.658203125,22450.0,22625.0,22300.0,22500.0,1764100
2025-05-16,21025.205078125,22600.0,22750.0,22400.0,22625.0,2323600
2025-05-19,21211.26953125,22800.0,23000.0,22600.0,22600.0,2527500
2025-05-20,20769.3671875,22325.0,22900.0,22300.0,22850.0,2735800
2025-05-21,20978.689453125,22550.0,22625.0,22325.0,22325.0,1890000
2025-05-22,21071.720703125,22650.0,22650.0,22425.0,22550.0,1369400
2025-05-23,20932.173828125,22500.0,22575.0,22500.0,22575.0,615400
2025-05-26,20839.142578125,22400.0,22650.0,22250.0,22500.0,1469500
2025-05-27,20955.431640625,22525.0,22550.0,22400.0,22400.0,876900
2025-05-28,21001.947265625,22575.0,22600.0,22500.0,22525.0,2043900
2025-06-02,20676.3359375,22225.0,22600.0,22025.0,22575.0,2012500
2025-06-03,20653.078125,22200.0,22375.0,22100.0,22350.0,1445200
2025-06-04,20746.109375,22300.0,22350.0,22175.0,22200.0,970400
2025-06-05,20653.078125,22200.0,22400.0,22175.0,22300.0,1457000
2025-06-10,20885.658203125,22450.0,22450.0,22150.0,22200.0,1808000
2025-06-11,21025.205078125,22600.0,22650.0,22425.0,22450.0,1067200
2025-06-12,21094.978515625,22675.0,22850.0,22600.0,22600.0,1083600
2025-06-13,21350.81640625,22950.0,22950.0,22675.0,22700.0,1663400
2025-06-16,21955.525390625,23600.0,24050.0,22975.0,22975.0,4774000
2025-06-17,21792.720703125,23425.0,23775.0,23250.0,23600.0,2106500
2025-06-18,21932.267578125,23575.0,23725.0,23425.0,23425.0,1233000
2025-06-19,21188.01171875,22775.0,23575.0,22600.0,23575.0,3290300
2025-06-20,20815.8828125,22375.0,22800.0,22375.0,22775.0,6660000
2025-06-23,20769.3671875,22325.0,22600.0,22125.0,22375.0,2240200
2025-06-24,20653.078125,22200.0,22500.0,22200.0,22350.0,2644700
2025-06-25,20560.046875,22100.0,22450.0,22100.0,22450.0,1607900
2025-06-26,20490.271484375,22025.0,22125.0,22000.0,22100.0,1949200
2025-06-30,20467.013671875,22000.0,22175.0,22000.0,22125.0,1986500
2025-07-01,20536.7890625,22075.0,22175.0,22000.0,22125.0,1262900
2025-07-02,20722.8515625,22275.0,22350.0,22075.0,22075.0,1375700
2025-07-03,20536.7890625,22075.0,22325.0,22075.0,22300.0,1454600
2025-07-04,20560.046875,22100.0,22200.0,22050.0,22100.0,998800
2025-07-07,20560.046875,22100.0,22125.0,22025.0,22100.0,543200
2025-07-08,20490.271484375,22025.0,22100.0,22025.0,22100.0,1107200
2025-07-09,20513.529296875,22050.0,22150.0,22025.0,22050.0,897700
2025-07-10,20722.8515625,22275.0,22325.0,22100.0,22100.0,1024900
2025-07-11,20932.173828125,22500.0,22675.0,22325.0,22325.0,1142000
2025-07-14,20885.658203125,22450.0,22650.0,22450.0,22525.0,1112400
2025-07-15,20839.142578125,22400.0,22525.0,22350.0,22450.0,846100
2025-07-16,20908.916015625,22475.0,22550.0,22425.0,22425.0,694900
2025-07-17,20885.658203125,22450.0,22525.0,22400.0,22475.0,614100
2025-07-18,20955.431640625,22525.0,22550.0,22400.0,22450.0,1068900
2025-07-21,20978.689453125,22550.0,22900.0,22525.0,22525.0,1393600
2025-07-22,21211.26953125,22800.0,22850.0,22575.0,22600.0,2102800
2025-07-23,21327.55859375,22925.0,23075.0,22725.0,22975.0,1586300
2025-07-24,21490.365234375,23100.0,23200.0,22925.0,22950.0,1649700
2025-07-25,21350.81640625,22950.0,23300.0,22950.0,23125.0,1610900
2025-07-28,21629.9140625,23250.0,23300.0,22975.0,23000.0,1455200
2025-07-29,21606.654296875,23225.0,23375.0,23100.0,23300.0,1126400
2025-07-30,21815.978515625,23450.0,23675.0,23250.0,23300.0,2376600
2025-07-31,21397.33203125,23000.0,23475.0,22700.0,23450.0,2701500
2025-08-01,21327.55859375,22925.0,23350.0,22750.0,22925.0,1632900
2025-08-04,21490.365234375,23100.0,23175.0,22850.0,23075.0,1102700
2025-08-05,21420.58984375,23025.0,23125.0,22950.0,23100.0,1064100
2025-08-06,21467.107421875,23075.0,23150.0,22975.0,23025.0,1150600
2025-08-07,21513.623046875,23125.0,23175.0,23050.0,23100.0,885300
2025-08-08,21722.9453125,23350.0,23425.0,23125.0,23200.0,1786400
2025-08-11,22048.55859375,23700.0,23775.0,23350.0,23350.0,2788200
2025-08-12,20978.689453125,22550.0,23025.0,22400.0,23025.0,7191100
2025-08-13,20908.916015625,22475.0,22600.0,22400.0,22550.0,2367200
2025-08-14,20839.142578125,22400.0,22500.0,22400.0,22475.0,1698600
2025-08-15,20699.59375,22250.0,22475.0,22250.0,22400.0,2124100
2025-08-19,20513.529296875,22050.0,22275.0,22050.0,22275.0,3385300
2025-08-20,20722.8515625,22275.0,22350.0,22100.0,22275.0,1804800
2025-08-21,20722.8515625,22275.0,22375.0,22100.0,22350.0,1485900
2025-08-22,20746.109375,22300.0,22350.0,22225.0,22350.0,1067500
2025-08-25,20839.142578125,22400.0,22525.0,22325.0,22325.0,1821700
2025-08-26,20815.8828125,22375.0,22525.0,22375.0,22400.0,1590500
2025-08-27,20839.142578125,22400.0,22500.0,22325.0,22400.0,1218300
2025-08-28,20862.400390625,22425.0,22475.0,22400.0,22400.0,667000
2025-08-29,20583.3046875,22125.0,22400.0,22125.0,22400.0,2852800
2025-09-01,20653.078125,22200.0,22275.0,21900.0,22000.0,2715700
2025-09-02,20792.625,22350.0,22475.0,22200.0,22200.0,995100
2025-09-03,20722.8515625,22275.0,22475.0,22275.0,22350.0,1490800
2025-09-04,20792.625,22350.0,22375.0,22275.0,22275.0,1016800
2025-09-08,20722.8515625,22275.0,22450.0,22250.0,22350.0,1626400
2025-09-09,20699.59375,22250.0,22300.0,22075.0,22225.0,1474200
2025-09-10,20653.078125,22200.0,22375.0,22175.0,22325.0,943900
2025-09-11,20769.3671875,22325.0,22450.0,22325.0,22325.0,1168400
2025-09-12,20769.3671875,22325.0,22400.0,22250.0,22250.0,704500
2025-09-15,20885.658203125,22450.0,22475.0,22325.0,22325.0,746900
2025-09-16,20792.625,22350.0,22550.0,22350.0,22450.0,780100
