Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,1273.0177001953125,1340.0,1375.0,1340.0,1370.0,14746400
2025-01-03,1258.767578125,1325.0,1360.0,1315.0,1345.0,25497900
2025-01-06,1216.0169677734375,1280.0,1340.0,1280.0,1330.0,22169200
2025-01-07,1225.51708984375,1290.0,1315.0,1280.0,1280.0,19463100
2025-01-08,1211.2669677734375,1275.0,1310.0,1270.0,1300.0,32640900
2025-01-09,1206.516845703125,1270.0,1285.0,1255.0,1275.0,19039900
2025-01-10,1197.0167236328125,1260.0,1270.0,1245.0,1270.0,34369300
2025-01-13,1201.7667236328125,1265.0,1280.0,1245.0,1260.0,28554700
2025-01-14,1163.7662353515625,1225.0,1270.0,1225.0,1265.0,25570500
2025-01-15,1192.2667236328125,1255.0,1270.0,1245.0,1245.0,27373400
2025-01-16,1173.266357421875,1235.0,1265.0,1235.0,1260.0,26983900
2025-01-17,1163.7662353515625,1225.0,1240.0,1210.0,1240.0,28924700
2025-01-20,1159.0162353515625,1220.0,1235.0,1215.0,1225.0,17223300
2025-01-21,1178.016357421875,1240.0,1245.0,1220.0,1225.0,39341900
2025-01-22,1197.0167236328125,1260.0,1260.0,1235.0,1240.0,31461300
2025-01-23,1173.266357421875,1235.0,1265.0,1235.0,1260.0,16196600
2025-01-24,1159.0162353515625,1220.0,1255.0,1220.0,1250.0,21583000
2025-01-30,1173.266357421875,1235.0,1240.0,1195.0,1220.0,28410500
2025-01-31,1201.7667236328125,1265.0,1265.0,1240.0,1240.0,15686200
2025-02-03,1140.0159912109375,1200.0,1265.0,1185.0,1255.0,27741200
2025-02-04,1187.5166015625,1250.0,1265.0,1225.0,1230.0,27751900
2025-02-05,1149.5159912109375,1210.0,1250.0,1210.0,1235.0,35245500
2025-02-06,1235.0172119140625,1300.0,1300.0,1230.0,1230.0,50754500
2025-02-07,1201.7667236328125,1265.0,1325.0,1245.0,1310.0,51937400
2025-02-10,1254.0174560546875,1320.0,1330.0,1240.0,1265.0,47231200
2025-02-11,1187.5166015625,1250.0,1325.0,1250.0,1320.0,34737600
2025-02-12,1220.76708984375,1285.0,1290.0,1255.0,1255.0,23966600
2025-02-13,1225.51708984375,1290.0,1310.0,1275.0,1285.0,23376500
