Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,1348.26513671875,1610.0,1610.0,1590.0,1610.0,18989200
2025-01-03,1335.7037353515625,1595.0,1620.0,1595.0,1610.0,18495500
2025-01-06,1436.195556640625,1715.0,1725.0,1595.0,1595.0,159352500
2025-01-07,1377.5753173828125,1645.0,1720.0,1635.0,1720.0,66967600
2025-01-08,1394.323974609375,1665.0,1680.0,1640.0,1640.0,25784000
2025-01-09,1402.6982421875,1675.0,1690.0,1650.0,1665.0,29178300
2025-01-10,1427.8211669921875,1705.0,1710.0,1675.0,1675.0,38298100
2025-01-13,1436.195556640625,1715.0,1725.0,1690.0,1705.0,40585600
2025-01-14,1385.9495849609375,1655.0,1720.0,1655.0,1720.0,38453400
2025-01-15,1385.9495849609375,1655.0,1675.0,1650.0,1655.0,19889800
2025-01-16,1377.5753173828125,1645.0,1675.0,1640.0,1670.0,23295200
2025-01-17,1365.0137939453125,1630.0,1660.0,1620.0,1655.0,24404700
2025-01-20,1348.26513671875,1610.0,1650.0,1595.0,1625.0,27396800
2025-01-21,1348.26513671875,1610.0,1630.0,1600.0,1620.0,13780400
2025-01-22,1327.329345703125,1585.0,1625.0,1580.0,1620.0,19929500
2025-01-23,1381.7623291015625,1650.0,1660.0,1595.0,1610.0,36992500
2025-01-24,1381.7623291015625,1650.0,1670.0,1630.0,1655.0,25240000
2025-01-30,1365.0137939453125,1630.0,1650.0,1610.0,1650.0,15516700
2025-01-31,1339.8907470703125,1600.0,1635.0,1595.0,1635.0,30190500
2025-02-03,1331.5164794921875,1590.0,1605.0,1560.0,1600.0,21401500
2025-02-04,1327.329345703125,1585.0,1620.0,1580.0,1600.0,9938300
2025-02-05,1365.0137939453125,1630.0,1635.0,1605.0,1630.0,33165300
2025-02-06,1310.5806884765625,1565.0,1640.0,1565.0,1635.0,22370800
2025-02-07,1318.955078125,1575.0,1595.0,1530.0,1565.0,19952200
2025-02-10,1335.7037353515625,1595.0,1620.0,1560.0,1575.0,23764300
2025-02-11,1365.0137939453125,1630.0,1655.0,1605.0,1605.0,43807400
2025-02-12,1373.38818359375,1640.0,1650.0,1620.0,1640.0,20008400
2025-02-13,1360.8265380859375,1625.0,1655.0,1605.0,1640.0,41667900
2025-02-14,1377.5753173828125,1645.0,1660.0,1625.0,1630.0,23390200
2025-02-17,1411.072509765625,1685.0,1690.0,1635.0,1650.0,22340400
2025-02-18,1423.634033203125,1700.0,1715.0,1685.0,1685.0,28874000
2025-02-19,1411.072509765625,1685.0,1710.0,1670.0,1710.0,20119600
2025-02-20,1411.072509765625,1685.0,1700.0,1675.0,1685.0,13862000
2025-02-21,1390.13671875,1660.0,1685.0,1645.0,1685.0,14786000
2025-02-24,1394.323974609375,1665.0,1710.0,1640.0,1655.0,11261400
2025-02-25,1369.200927734375,1635.0,1680.0,1615.0,1680.0,19998400
2025-02-26,1352.452392578125,1615.0,1660.0,1585.0,1645.0,21624900
2025-02-27,1281.2706298828125,1530.0,1615.0,1505.0,1595.0,73543200
2025-02-28,1260.3348388671875,1505.0,1550.0,1480.0,1520.0,43721600
2025-03-03,1272.8963623046875,1520.0,1535.0,1495.0,1500.0,34176400
2025-03-04,1272.8963623046875,1520.0,1535.0,1505.0,1520.0,27451200
2025-03-05,1272.8963623046875,1520.0,1565.0,1505.0,1520.0,32786900
2025-03-06,1260.3348388671875,1505.0,1540.0,1505.0,1525.0,50714000
2025-03-07,1264.52197265625,1510.0,1525.0,1500.0,1510.0,11712400
2025-03-10,1243.586181640625,1485.0,1530.0,1480.0,1530.0,43077600
2025-03-11,1214.276123046875,1450.0,1485.0,1445.0,1480.0,44526500
2025-03-12,1264.52197265625,1510.0,1520.0,1465.0,1465.0,45179100
2025-03-13,1302.2064208984375,1555.0,1585.0,1515.0,1520.0,63285800
2025-03-14,1285.457763671875,1535.0,1565.0,1530.0,1565.0,35398200
2025-03-17,1277.08349609375,1525.0,1570.0,1515.0,1570.0,39754100
2025-03-18,1264.52197265625,1510.0,1540.0,1460.0,1540.0,41412500
2025-03-19,1256.147705078125,1500.0,1525.0,1490.0,1510.0,22820400
2025-03-20,1289.6448974609375,1540.0,1555.0,1500.0,1500.0,43586500
2025-03-21,1289.6448974609375,1540.0,1550.0,1505.0,1535.0,182221200
2025-03-24,1277.08349609375,1525.0,1565.0,1510.0,1540.0,24988100
2025-03-25,1256.147705078125,1500.0,1545.0,1500.0,1545.0,32498000
2025-03-26,1298.019287109375,1550.0,1580.0,1505.0,1505.0,47414500
2025-03-27,1302.2064208984375,1555.0,1570.0,1545.0,1555.0,19119500
2025-04-08,1210.0888671875,1445.0,1480.0,1425.0,1450.0,63430400
2025-04-09,1247.7733154296875,1490.0,1490.0,1440.0,1445.0,43725000
2025-04-10,1298.019287109375,1550.0,1570.0,1525.0,1525.0,34754100
2025-04-11,1323.1422119140625,1580.0,1590.0,1530.0,1550.0,16478400
2025-04-14,1373.38818359375,1640.0,1650.0,1585.0,1585.0,23460700
2025-04-15,1411.072509765625,1685.0,1695.0,1650.0,1650.0,33703200
2025-04-16,1398.5111083984375,1670.0,1685.0,1645.0,1675.0,28370500
2025-04-17,1402.6982421875,1675.0,1680.0,1655.0,1670.0,10827500
2025-04-21,1406.8853759765625,1680.0,1685.0,1660.0,1675.0,8551100
2025-04-22,1402.6982421875,1675.0,1690.0,1670.0,1685.0,13810700
2025-04-23,1436.195556640625,1715.0,1765.0,1685.0,1690.0,49755300
2025-04-24,1482.254150390625,1770.0,1795.0,1725.0,1730.0,76104800
2025-04-25,1444.56982421875,1725.0,1785.0,1710.0,1780.0,67658200
2025-04-28,1432.00830078125,1710.0,1735.0,1700.0,1725.0,51689100
2025-04-29,1440.382568359375,1720.0,1735.0,1710.0,1720.0,33941700
2025-04-30,1411.072509765625,1685.0,1700.0,1625.0,1650.0,105786900
2025-05-02,1369.200927734375,1635.0,1690.0,1635.0,1685.0,56084000
2025-05-05,1365.0137939453125,1630.0,1650.0,1630.0,1640.0,32208900
2025-05-06,1356.6395263671875,1620.0,1635.0,1610.0,1630.0,38047300
2025-05-07,1369.200927734375,1635.0,1645.0,1620.0,1630.0,59351500
2025-05-08,1339.8907470703125,1600.0,1645.0,1600.0,1635.0,63549600
2025-05-09,1344.0780029296875,1605.0,1620.0,1595.0,1610.0,29456400
2025-05-14,1390.13671875,1660.0,1665.0,1615.0,1615.0,65241300
2025-05-15,1394.323974609375,1665.0,1680.0,1640.0,1665.0,60188100
2025-05-16,1415.259765625,1690.0,1710.0,1650.0,1675.0,59109700
2025-05-19,1457.13134765625,1740.0,1750.0,1700.0,1700.0,109661400
2025-05-20,1444.56982421875,1725.0,1775.0,1725.0,1750.0,63617200
2025-05-21,1461.318359375,1745.0,1765.0,1710.0,1745.0,80257200
2025-05-22,1507.377197265625,1800.0,1815.0,1735.0,1745.0,135348700
2025-05-23,1482.254150390625,1770.0,1790.0,1765.0,1785.0,54946000
2025-05-26,1519.9385986328125,1815.0,1815.0,1765.0,1785.0,76740100
2025-05-27,1528.31298828125,1825.0,1840.0,1795.0,1825.0,74236900
2025-05-28,1524.1258544921875,1820.0,1895.0,1810.0,1840.0,293189500
2025-06-02,1524.1258544921875,1820.0,1840.0,1810.0,1830.0,68459800
2025-06-03,1553.43603515625,1855.0,1865.0,1810.0,1835.0,67261200
2025-06-04,1540.8743896484375,1840.0,1870.0,1825.0,1865.0,48378500
2025-06-05,1536.6873779296875,1835.0,1850.0,1820.0,1845.0,37769600
2025-06-10,1570.1845703125,1875.0,1895.0,1840.0,1845.0,117597000
2025-06-11,1578.558837890625,1885.0,1890.0,1860.0,1880.0,158767600
2025-06-12,1557.3135986328125,1680.0,1720.0,1680.0,1715.0,153459400
2025-06-13,1548.0439453125,1670.0,1700.0,1660.0,1690.0,70277200
2025-06-16,1561.948486328125,1685.0,1725.0,1670.0,1695.0,96290000
2025-06-17,1561.948486328125,1685.0,1705.0,1670.0,1705.0,36250600
2025-06-18,1548.0439453125,1670.0,1705.0,1660.0,1700.0,49528600
2025-06-19,1524.86962890625,1645.0,1680.0,1620.0,1680.0,54367500
2025-06-20,1473.8861083984375,1590.0,1645.0,1590.0,1640.0,133442500
2025-06-23,1497.0604248046875,1615.0,1650.0,1590.0,1590.0,78199600
2025-06-24,1469.251220703125,1585.0,1635.0,1580.0,1620.0,70685300
2025-06-25,1418.2677001953125,1530.0,1595.0,1530.0,1590.0,53211700
2025-06-26,1436.8072509765625,1550.0,1560.0,1530.0,1530.0,53960500
2025-06-30,1497.0604248046875,1615.0,1620.0,1565.0,1580.0,79848800
2025-07-01,1469.251220703125,1585.0,1630.0,1570.0,1630.0,29640100
2025-07-02,1464.6163330078125,1580.0,1590.0,1570.0,1590.0,22601400
