Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,861.3422241210938,940.0,950.0,935.0,945.0,3980800
2025-01-03,856.7606201171875,935.0,965.0,925.0,945.0,6731300
2025-01-06,847.597412109375,925.0,945.0,925.0,935.0,5511300
2025-01-07,824.6893310546875,900.0,930.0,900.0,925.0,8202600
2025-01-08,829.2709350585938,905.0,915.0,900.0,900.0,3982200
2025-01-09,824.6893310546875,900.0,915.0,895.0,905.0,5822400
2025-01-10,824.6893310546875,900.0,905.0,890.0,900.0,3927900
2025-01-13,833.8525390625,910.0,930.0,900.0,905.0,8510900
2025-01-14,833.8525390625,910.0,930.0,905.0,910.0,4506000
2025-01-15,847.597412109375,925.0,935.0,905.0,910.0,7504300
2025-01-16,856.7606201171875,935.0,940.0,915.0,930.0,5611300
2025-01-17,843.0158081054688,920.0,940.0,915.0,935.0,4391600
2025-01-20,838.4341430664062,915.0,930.0,915.0,925.0,4023300
2025-01-21,847.597412109375,925.0,925.0,910.0,915.0,5100400
2025-01-22,971.3008422851562,1060.0,1060.0,920.0,925.0,94014000
2025-01-23,962.1375732421875,1050.0,1110.0,1035.0,1065.0,84510000
2025-01-24,916.321533203125,1000.0,1055.0,1000.0,1050.0,26106600
2025-01-30,893.4135131835938,975.0,1000.0,965.0,1000.0,10524000
2025-01-31,870.5054321289062,950.0,980.0,950.0,975.0,23847200
2025-02-03,838.4341430664062,915.0,965.0,915.0,955.0,14914900
2025-02-04,833.8525390625,910.0,945.0,910.0,920.0,14012800
2025-02-05,852.1790161132812,930.0,955.0,915.0,915.0,31123800
2025-02-06,829.2709350585938,905.0,950.0,900.0,935.0,16653300
2025-02-07,815.5261840820312,890.0,905.0,875.0,905.0,12828200
2025-02-10,797.1997680664062,870.0,895.0,870.0,890.0,10396200
2025-02-11,755.9652709960938,825.0,875.0,820.0,870.0,21823500
2025-02-12,760.546875,830.0,850.0,825.0,850.0,9864500
2025-02-13,810.944580078125,885.0,910.0,810.0,830.0,17896400
2025-02-14,810.944580078125,885.0,895.0,850.0,885.0,26785100
2025-02-17,815.5261840820312,890.0,900.0,875.0,875.0,6707000
2025-02-18,797.1997680664062,870.0,910.0,865.0,895.0,14255400
2025-02-19,833.8525390625,910.0,930.0,870.0,875.0,29212700
2025-02-20,856.7606201171875,935.0,960.0,910.0,915.0,26762700
2025-02-21,838.4341430664062,915.0,955.0,910.0,935.0,6841100
2025-02-24,865.923828125,945.0,965.0,910.0,915.0,19460400
2025-02-25,847.597412109375,925.0,960.0,915.0,945.0,15698200
2025-02-26,847.597412109375,925.0,960.0,890.0,925.0,10901000
2025-02-27,833.8525390625,910.0,940.0,905.0,920.0,8734700
2025-02-28,801.7813720703125,875.0,940.0,850.0,910.0,13708500
2025-03-03,820.1077880859375,895.0,915.0,875.0,875.0,7306000
2025-03-04,783.4548950195312,855.0,900.0,855.0,895.0,7375900
2025-03-05,792.6181030273438,865.0,880.0,855.0,855.0,3273100
2025-03-06,792.6181030273438,865.0,885.0,860.0,870.0,7209500
2025-03-07,769.7100830078125,840.0,865.0,835.0,865.0,13810100
2025-03-10,755.9652709960938,825.0,845.0,825.0,840.0,4922200
2025-03-11,746.802001953125,815.0,830.0,810.0,825.0,7667400
2025-03-12,746.802001953125,815.0,825.0,810.0,815.0,10054500
2025-03-13,737.6387939453125,805.0,820.0,800.0,810.0,15645200
2025-03-14,700.9859619140625,765.0,805.0,760.0,805.0,19704000
2025-03-17,696.4043579101562,760.0,780.0,760.0,765.0,9035100
2025-03-18,668.9147338867188,730.0,770.0,705.0,765.0,15012700
2025-03-19,687.2411499023438,750.0,760.0,725.0,730.0,8664800
2025-03-20,691.82275390625,755.0,770.0,750.0,750.0,7526500
2025-03-21,719.3124389648438,785.0,785.0,730.0,760.0,13586900
2025-03-24,700.9859619140625,765.0,800.0,760.0,785.0,8368400
2025-03-25,714.7308349609375,780.0,795.0,755.0,765.0,6199300
2025-03-26,751.3836059570312,820.0,825.0,765.0,780.0,16327600
2025-03-27,737.6387939453125,805.0,825.0,805.0,820.0,7528200
2025-04-08,700.9859619140625,765.0,765.0,700.0,750.0,16041100
2025-04-09,705.5675659179688,770.0,790.0,755.0,775.0,18945300
2025-04-10,737.6387939453125,805.0,815.0,780.0,790.0,19108600
2025-04-11,737.6387939453125,805.0,815.0,800.0,805.0,6165600
2025-04-14,769.7100830078125,840.0,845.0,810.0,810.0,14882700
2025-04-15,788.0364990234375,860.0,865.0,840.0,845.0,12691700
2025-04-16,765.1284790039062,835.0,870.0,825.0,870.0,10213300
2025-04-17,769.7100830078125,840.0,845.0,825.0,835.0,4194700
2025-04-21,778.873291015625,850.0,860.0,840.0,840.0,5951500
2025-04-22,792.6181030273438,865.0,870.0,840.0,855.0,9237900
2025-04-23,792.6181030273438,865.0,880.0,860.0,875.0,8723500
2025-04-24,843.0158081054688,920.0,920.0,870.0,870.0,24384200
2025-04-25,884.2503051757812,965.0,1000.0,925.0,930.0,38235300
2025-04-28,847.597412109375,925.0,960.0,915.0,960.0,14886200
2025-04-29,861.3422241210938,940.0,945.0,920.0,920.0,9060300
2025-04-30,833.8525390625,910.0,940.0,905.0,940.0,10821700
2025-05-02,838.4341430664062,915.0,925.0,910.0,910.0,3794600
2025-05-05,838.4341430664062,915.0,925.0,905.0,920.0,3705200
2025-05-06,861.3422241210938,940.0,940.0,915.0,915.0,6987200
2025-05-07,865.923828125,945.0,960.0,930.0,945.0,14781700
2025-05-08,875.0870361328125,955.0,965.0,930.0,945.0,16560600
2025-05-09,865.923828125,945.0,970.0,940.0,960.0,6222000
2025-05-14,893.4135131835938,975.0,995.0,950.0,950.0,22676300
2025-05-15,989.627197265625,1080.0,1080.0,980.0,980.0,46043400
2025-05-16,1163.7283935546875,1270.0,1325.0,1110.0,1110.0,357890700
2025-05-19,1136.2386474609375,1240.0,1315.0,1230.0,1285.0,108295900
2025-05-20,1191.218017578125,1300.0,1405.0,1260.0,1260.0,313859900
2025-05-21,1278.2684326171875,1395.0,1470.0,1295.0,1325.0,424993300
2025-05-22,1250.7789306640625,1365.0,1420.0,1360.0,1410.0,158215800
2025-05-23,1223.289306640625,1335.0,1375.0,1315.0,1365.0,75247700
2025-05-26,1237.0340576171875,1350.0,1350.0,1260.0,1325.0,179136000
2025-05-27,1232.4525146484375,1345.0,1410.0,1320.0,1380.0,207423600
2025-05-28,1237.0340576171875,1350.0,1355.0,1310.0,1350.0,75770500
2025-06-02,1195.799560546875,1305.0,1350.0,1290.0,1350.0,79937400
2025-06-03,1204.9627685546875,1315.0,1355.0,1300.0,1300.0,97197100
2025-06-04,1200.3812255859375,1310.0,1365.0,1290.0,1325.0,127540900
2025-06-05,1223.289306640625,1335.0,1350.0,1300.0,1310.0,134376100
2025-06-10,1246.197265625,1360.0,1430.0,1350.0,1350.0,264597100
2025-06-11,1241.61572265625,1355.0,1390.0,1345.0,1385.0,84697400
2025-06-12,1369.900634765625,1495.0,1495.0,1335.0,1355.0,267989300
2025-06-13,1314.92138671875,1435.0,1475.0,1415.0,1460.0,149723400
2025-06-16,1489.1400146484375,1565.0,1565.0,1400.0,1410.0,303901100
2025-06-17,1531.958740234375,1610.0,1650.0,1540.0,1595.0,276517200
2025-06-18,1484.3824462890625,1560.0,1620.0,1515.0,1610.0,196289500
2025-06-19,1398.7449951171875,1470.0,1555.0,1450.0,1550.0,131912900
2025-06-20,1317.8651123046875,1385.0,1490.0,1385.0,1470.0,160332200
2025-06-23,1256.015869140625,1320.0,1360.0,1280.0,1315.0,160655700
2025-06-24,1260.7735595703125,1325.0,1380.0,1265.0,1370.0,179643400
2025-06-25,1256.015869140625,1320.0,1370.0,1315.0,1350.0,112204000
2025-06-26,1260.7735595703125,1325.0,1350.0,1310.0,1340.0,50154400
2025-06-30,1346.4110107421875,1415.0,1415.0,1335.0,1355.0,201873800
2025-07-01,1317.8651123046875,1385.0,1435.0,1385.0,1405.0,75658700
2025-07-02,1294.076904296875,1360.0,1395.0,1345.0,1395.0,66693600
2025-07-03,1370.1990966796875,1440.0,1450.0,1370.0,1370.0,81555900
2025-07-04,1336.8956298828125,1405.0,1465.0,1400.0,1465.0,54728800
