Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,140.56869506835938,167.0,170.0,159.0,164.0,282849300
2025-01-03,138.88525390625,165.0,169.0,163.0,168.0,187113000
2025-01-06,140.56869506835938,167.0,173.0,165.0,166.0,302869500
2025-01-07,139.7269744873047,166.0,168.0,165.0,167.0,85822100
2025-01-08,135.51834106445312,161.0,167.0,159.0,167.0,129491400
2025-01-09,131.30967712402344,156.0,162.0,155.0,161.0,225160000
2025-01-10,137.20179748535156,163.0,166.0,156.0,156.0,108650400
2025-01-13,140.56869506835938,167.0,168.0,163.0,164.0,109457800
2025-01-14,153.1946258544922,182.0,186.0,163.0,169.0,474255800
2025-01-15,147.30252075195312,175.0,194.0,173.0,185.0,841198200
2025-01-16,142.2521514892578,169.0,179.0,169.0,176.0,216764800
2025-01-17,146.4608154296875,174.0,176.0,166.0,169.0,194817700
2025-01-20,148.98599243164062,177.0,186.0,174.0,175.0,271787500
2025-01-21,148.98599243164062,177.0,184.0,174.0,178.0,174132700
2025-01-22,148.14425659179688,176.0,179.0,175.0,177.0,70124600
2025-01-23,145.61907958984375,173.0,181.0,171.0,177.0,176576200
2025-01-24,143.09390258789062,170.0,175.0,168.0,173.0,142249000
2025-01-30,150.66944885253906,179.0,179.0,170.0,170.0,169660600
2025-01-31,152.35292053222656,181.0,186.0,175.0,180.0,207270400
2025-02-03,149.82772827148438,178.0,182.0,173.0,181.0,114165600
2025-02-04,154.03636169433594,183.0,188.0,178.0,178.0,263580500
2025-02-05,157.4032745361328,187.0,193.0,181.0,185.0,400976200
2025-02-06,160.77020263671875,191.0,193.0,184.0,190.0,280412900
2025-02-07,171.71267700195312,204.0,204.0,183.0,190.0,394503900
2025-02-10,173.39613342285156,206.0,218.0,200.0,204.0,405463800
2025-02-11,176.76304626464844,210.0,222.0,199.0,208.0,432995700
2025-02-12,186.86378479003906,222.0,228.0,212.0,212.0,534262200
2025-02-13,188.5472412109375,224.0,230.0,218.0,228.0,332436100
2025-02-14,188.5472412109375,224.0,230.0,214.0,224.0,306552500
2025-02-17,188.5472412109375,224.0,232.0,222.0,224.0,187442700
2025-02-18,188.5472412109375,224.0,228.0,220.0,224.0,104165200
2025-02-19,195.28106689453125,232.0,238.0,224.0,224.0,304449000
2025-02-20,191.91415405273438,228.0,234.0,222.0,234.0,180669500
2025-02-21,195.28106689453125,232.0,238.0,222.0,228.0,232563500
2025-02-24,195.28106689453125,232.0,236.0,226.0,230.0,154371600
2025-02-25,173.39613342285156,206.0,244.0,204.0,230.0,556060000
2025-02-26,175.07958984375,208.0,214.0,199.0,206.0,214438900
2025-02-27,166.66229248046875,198.0,212.0,195.0,210.0,194006300
2025-02-28,159.928466796875,190.0,198.0,183.0,193.0,495182100
2025-03-03,170.02920532226562,202.0,208.0,194.0,197.0,371392700
2025-03-04,166.66229248046875,198.0,202.0,193.0,200.0,206199400
2025-03-05,168.34576416015625,200.0,206.0,199.0,202.0,233810500
2025-03-06,178.4464874267578,212.0,212.0,200.0,200.0,296813500
2025-03-07,173.39613342285156,206.0,214.0,206.0,212.0,189954700
2025-03-10,173.39613342285156,206.0,212.0,204.0,206.0,151745500
2025-03-11,167.5040283203125,199.0,200.0,194.0,200.0,107406900
2025-03-12,161.61192321777344,192.0,202.0,192.0,199.0,100460700
2025-03-13,158.24501037597656,188.0,194.0,186.0,193.0,91064800
2025-03-14,157.4032745361328,187.0,191.0,177.0,188.0,156006800
2025-03-17,166.66229248046875,198.0,199.0,186.0,190.0,155695600
2025-03-18,163.29537963867188,194.0,200.0,177.0,200.0,469390000
2025-03-19,167.5040283203125,199.0,202.0,190.0,194.0,252008600
2025-03-20,170.02920532226562,202.0,208.0,196.0,200.0,279192700
2025-03-21,168.34576416015625,200.0,202.0,193.0,202.0,162856400
2025-03-24,164.13710021972656,195.0,202.0,192.0,200.0,123482800
2025-03-25,159.928466796875,190.0,198.0,190.0,195.0,54800100
2025-03-26,162.4536590576172,193.0,197.0,192.0,192.0,99618800
2025-03-27,168.34576416015625,200.0,204.0,191.0,193.0,146068700
2025-04-08,146.4608154296875,174.0,180.0,170.0,172.0,146552600
2025-04-09,154.8780975341797,184.0,185.0,172.0,174.0,149733600
2025-04-10,164.13710021972656,195.0,195.0,186.0,190.0,161017000
2025-04-11,157.4032745361328,187.0,193.0,187.0,191.0,71919300
2025-04-14,159.0867462158203,189.0,192.0,188.0,189.0,67647700
2025-04-15,159.0867462158203,189.0,195.0,188.0,190.0,122615300
2025-04-16,155.71981811523438,185.0,191.0,185.0,189.0,41552600
2025-04-17,157.4032745361328,187.0,189.0,183.0,185.0,82454700
2025-04-21,158.24501037597656,188.0,189.0,185.0,187.0,54500100
2025-04-22,156.56153869628906,186.0,193.0,185.0,188.0,94877000
2025-04-23,155.71981811523438,185.0,189.0,184.0,188.0,85608500
2025-04-24,154.03636169433594,183.0,186.0,183.0,186.0,61954500
2025-04-25,167.5040283203125,199.0,199.0,183.0,183.0,226220100
2025-04-28,171.71267700195312,204.0,216.0,196.0,200.0,415123200
2025-04-29,171.71267700195312,204.0,208.0,202.0,208.0,82181300
2025-04-30,171.71267700195312,204.0,206.0,200.0,204.0,100358600
2025-05-02,171.71267700195312,204.0,212.0,204.0,206.0,164625800
2025-05-05,171.71267700195312,204.0,208.0,202.0,204.0,76159400
2025-05-06,173.39613342285156,206.0,208.0,204.0,206.0,78991400
2025-05-07,175.07958984375,208.0,208.0,200.0,208.0,197132100
2025-05-08,176.92251586914062,192.0,196.0,191.0,193.0,210352000
2025-05-09,167.7078094482422,182.0,194.0,182.0,192.0,158919200
2025-05-14,170.4722137451172,185.0,187.0,181.0,185.0,106858300
2025-05-15,167.7078094482422,182.0,187.0,180.0,185.0,99472400
2025-05-16,160.33602905273438,174.0,184.0,173.0,183.0,167119800
2025-05-19,158.49310302734375,172.0,178.0,171.0,175.0,175048100
2025-05-20,156.65016174316406,170.0,175.0,168.0,172.0,351718500
2025-05-21,155.72866821289062,169.0,173.0,169.0,171.0,106453300
2025-05-22,160.33602905273438,174.0,175.0,169.0,169.0,231776300
2025-05-23,158.49310302734375,172.0,175.0,171.0,175.0,98622500
2025-05-26,154.8072052001953,168.0,174.0,166.0,172.0,140568900
2025-05-27,151.12132263183594,164.0,170.0,163.0,169.0,120074700
2025-05-28,149.27838134765625,162.0,168.0,158.0,164.0,463155900
2025-06-02,148.35691833496094,161.0,165.0,160.0,163.0,151456600
2025-06-03,146.5139617919922,159.0,162.0,156.0,162.0,153024000
2025-06-04,152.04278564453125,165.0,169.0,159.0,160.0,335154100
2025-06-05,148.35691833496094,161.0,165.0,161.0,165.0,145989900
