Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,2314.16552734375,2700.0,2740.0,2680.0,2710.0,38776700
2025-01-03,2357.020263671875,2750.0,2770.0,2730.0,2740.0,49907500
2025-01-06,2305.59423828125,2690.0,2770.0,2660.0,2760.0,54087800
2025-01-07,2202.74267578125,2570.0,2680.0,2570.0,2670.0,109758000
2025-01-08,2271.310546875,2650.0,2700.0,2590.0,2590.0,100688500
2025-01-09,2245.59765625,2620.0,2700.0,2620.0,2690.0,55206700
2025-01-10,2297.0234375,2680.0,2690.0,2630.0,2640.0,54496800
2025-01-13,2288.45263671875,2670.0,2740.0,2650.0,2670.0,90816500
2025-01-14,2245.59765625,2620.0,2690.0,2610.0,2670.0,53116800
2025-01-15,2254.16845703125,2630.0,2670.0,2620.0,2640.0,52867900
2025-01-16,2219.884521484375,2590.0,2660.0,2590.0,2660.0,118890200
2025-01-17,2279.88134765625,2660.0,2680.0,2610.0,2630.0,107245400
2025-01-20,2237.026611328125,2610.0,2690.0,2610.0,2670.0,49752300
2025-01-21,2254.16845703125,2630.0,2660.0,2600.0,2630.0,86549000
2025-01-22,2339.87841796875,2730.0,2750.0,2650.0,2680.0,128617700
2025-01-23,2322.736328125,2710.0,2750.0,2710.0,2730.0,63216100
2025-01-24,2305.59423828125,2690.0,2750.0,2690.0,2740.0,49844700
2025-01-30,2262.739501953125,2640.0,2710.0,2610.0,2690.0,89736900
2025-01-31,2279.88134765625,2660.0,2710.0,2660.0,2660.0,83736900
2025-02-03,2254.16845703125,2630.0,2630.0,2560.0,2620.0,91801900
2025-02-04,2262.739501953125,2640.0,2660.0,2590.0,2640.0,95311100
2025-02-05,2245.59765625,2620.0,2640.0,2590.0,2600.0,110400300
2025-02-06,2194.171630859375,2560.0,2630.0,2520.0,2630.0,90471900
2025-02-07,2219.884521484375,2590.0,2590.0,2510.0,2550.0,105020200
2025-02-10,2091.31982421875,2440.0,2550.0,2440.0,2520.0,153328500
