Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,409.10626220703125,410.0,418.0,408.0,410.0,38362000
2025-01-03,399.1280517578125,400.0,414.0,398.0,410.0,75130400
2025-01-06,393.14111328125,394.0,404.0,390.0,400.0,24658800
2025-01-07,395.1367492675781,396.0,402.0,374.0,394.0,55464800
2025-01-08,373.1847229003906,374.0,396.0,368.0,396.0,80433900
2025-01-09,373.1847229003906,374.0,376.0,362.0,374.0,97288800
2025-01-10,379.1716613769531,380.0,388.0,374.0,376.0,76407400
2025-01-13,472.9667663574219,474.0,474.0,390.0,404.0,213887900
2025-01-14,588.7139282226562,590.0,590.0,498.0,505.0,269069600
2025-01-15,733.3977661132812,735.0,735.0,650.0,700.0,182882400
2025-01-16,913.0054321289062,915.0,915.0,635.0,880.0,508654700
2025-01-17,917.9945068359375,920.0,1070.0,815.0,890.0,452753700
2025-01-20,982.852783203125,985.0,1065.0,920.0,920.0,264452900
2025-01-21,977.8637084960938,980.0,1060.0,975.0,1005.0,124720600
2025-01-22,903.0272216796875,905.0,1015.0,900.0,990.0,121923600
2025-01-23,903.0272216796875,905.0,960.0,840.0,910.0,138147700
2025-01-24,977.8637084960938,980.0,1030.0,885.0,905.0,138715400
2025-01-30,1222.32958984375,1225.0,1225.0,1000.0,1000.0,233978200
2025-01-31,1222.32958984375,1225.0,1225.0,1225.0,1225.0,0
2025-02-03,1391.9591064453125,1395.0,1490.0,1180.0,1220.0,310057000
2025-02-04,1391.9591064453125,1395.0,1395.0,1395.0,1395.0,0
2025-02-05,1391.9591064453125,1395.0,1395.0,1395.0,1395.0,0
2025-02-06,1526.664794921875,1530.0,1530.0,1530.0,1530.0,31087900
2025-02-07,1676.3377685546875,1680.0,1680.0,1680.0,1680.0,53755600
2025-02-10,1511.697509765625,1515.0,1835.0,1515.0,1835.0,26416700
2025-02-11,1362.0244140625,1365.0,1400.0,1365.0,1400.0,48823300
2025-02-12,1496.730224609375,1500.0,1500.0,1400.0,1400.0,24918800
2025-02-13,1646.4031982421875,1650.0,1650.0,1650.0,1650.0,47823500
2025-02-14,1796.0762939453125,1800.0,1800.0,1725.0,1725.0,33265800
2025-02-17,1721.23974609375,1725.0,1890.0,1600.0,1845.0,140449700
2025-02-18,1671.3486328125,1675.0,1730.0,1540.0,1700.0,139860000
2025-02-19,1766.1416015625,1770.0,1850.0,1705.0,1710.0,161367200
2025-02-20,2065.487548828125,2070.0,2160.0,1730.0,1770.0,208570500
2025-02-21,2324.9208984375,2330.0,2440.0,2050.0,2070.0,239814200
2025-02-24,2444.6591796875,2450.0,2590.0,2350.0,2350.0,174974700
2025-02-25,2205.1826171875,2210.0,2570.0,2040.0,2490.0,190327600
2025-02-26,2604.310546875,2610.0,2610.0,2090.0,2240.0,184642700
2025-02-27,2564.397705078125,2570.0,2730.0,2500.0,2690.0,177996000
2025-02-28,2374.81201171875,2380.0,2600.0,2290.0,2510.0,101431100
2025-03-03,2504.5283203125,2510.0,2530.0,2360.0,2500.0,78494100
2025-03-04,2065.487548828125,2070.0,2480.0,1945.0,2410.0,194400700
2025-03-05,2155.29150390625,2160.0,2270.0,2070.0,2180.0,111457200
2025-03-06,2225.138916015625,2230.0,2320.0,2140.0,2210.0,75607900
2025-03-07,2324.9208984375,2330.0,2370.0,2140.0,2200.0,74884900
2025-03-10,2145.313232421875,2150.0,2410.0,2150.0,2330.0,74200400
2025-03-11,1875.9017333984375,1880.0,2100.0,1860.0,2080.0,139250500
2025-03-12,1621.457763671875,1625.0,1935.0,1595.0,1880.0,165071600
2025-03-13,1930.781982421875,1935.0,1985.0,1625.0,1670.0,198016300
2025-03-14,1731.2178955078125,1735.0,1980.0,1665.0,1975.0,117977200
